age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,115,62,53,09,29,United States,2020-01-01,2021-09-25
1-4 years,59,29,30,09,29,United States,2020-01-01,2021-09-25
5-14 years,154,86,68,09,29,United States,2020-01-01,2021-09-25
15-24 years,1463,865,598,09,29,United States,2020-01-01,2021-09-25
25-34 years,6394,3976,2418,09,29,United States,2020-01-01,2021-09-25
35-44 years,16094,10219,5875,09,29,United States,2020-01-01,2021-09-25
45-54 years,40923,26713,14210,09,29,United States,2020-01-01,2021-09-25
55-64 years,93724,58690,35034,09,29,United States,2020-01-01,2021-09-25
65-74 years,154373,93069,61304,09,29,United States,2020-01-01,2021-09-25
75-84 years,182511,102506,80005,09,29,United States,2020-01-01,2021-09-25
85 years and over,191362,82052,109310,09,29,United States,2020-01-01,2021-09-25
