age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,144,75,69,11,10,United States,2020-01-01,2021-11-06
1-4 years,66,33,33,11,10,United States,2020-01-01,2021-11-06
5-14 years,191,102,89,11,10,United States,2020-01-01,2021-11-06
15-24 years,1830,1086,744,11,10,United States,2020-01-01,2021-11-06
25-34 years,7888,4846,3042,11,10,United States,2020-01-01,2021-11-06
35-44 years,20005,12598,7407,11,10,United States,2020-01-01,2021-11-06
45-54 years,49072,31816,17256,11,10,United States,2020-01-01,2021-11-06
55-64 years,107985,67145,40840,11,10,United States,2020-01-01,2021-11-06
65-74 years,171319,102683,68636,11,10,United States,2020-01-01,2021-11-06
75-84 years,196475,110231,86244,11,10,United States,2020-01-01,2021-11-06
85 years and over,201987,86977,115010,11,10,United States,2020-01-01,2021-11-06
