age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,302,168,134,07,20,United States,2020-01-01,2022-07-16
1-4 years,161,80,81,07,20,United States,2020-01-01,2022-07-16
5-14 years,363,185,178,07,20,United States,2020-01-01,2022-07-16
15-24 years,2709,1599,1110,07,20,United States,2020-01-01,2022-07-16
25-34 years,11392,6991,4401,07,20,United States,2020-01-01,2022-07-16
35-44 years,28098,17461,10637,07,20,United States,2020-01-01,2022-07-16
45-54 years,67291,43098,24193,07,20,United States,2020-01-01,2022-07-16
55-64 years,148701,91706,56995,07,20,United States,2020-01-01,2022-07-16
65-74 years,233043,138550,94493,07,20,United States,2020-01-01,2022-07-16
75-84 years,262816,147560,115256,07,20,United States,2020-01-01,2022-07-16
85 years and over,263099,115631,147468,07,20,United States,2020-01-01,2022-07-16
