age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,260,139,121,04,20,United States,2020-01-01,2022-04-16
1-4 years,126,65,61,04,20,United States,2020-01-01,2022-04-16
5-14 years,321,167,154,04,20,United States,2020-01-01,2022-04-16
15-24 years,2613,1546,1067,04,20,United States,2020-01-01,2022-04-16
25-34 years,11035,6774,4261,04,20,United States,2020-01-01,2022-04-16
35-44 years,27474,17081,10393,04,20,United States,2020-01-01,2022-04-16
45-54 years,66102,42377,23725,04,20,United States,2020-01-01,2022-04-16
55-64 years,145751,89964,55787,04,20,United States,2020-01-01,2022-04-16
65-74 years,228066,135617,92449,04,20,United States,2020-01-01,2022-04-16
75-84 years,255634,143669,111965,04,20,United States,2020-01-01,2022-04-16
85 years and over,253816,111550,142266,04,20,United States,2020-01-01,2022-04-16
