age_group,deaths,month,day
Under 1 year,4,05,06
1-4 years,2,05,06
5-14 years,4,05,06
15-24 years,48,05,06
25-34 years,317,05,06
35-44 years,796,05,06
45-54 years,2262,05,06
55-64 years,5422,05,06
65-74 years,9359,05,06
75-84 years,12026,05,06
85 years and over,13776,05,06
