age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,269,144,125,05,04,United States,2020-01-01,2022-04-30
1-4 years,134,67,67,05,04,United States,2020-01-01,2022-04-30
5-14 years,329,171,158,05,04,United States,2020-01-01,2022-04-30
15-24 years,2636,1557,1079,05,04,United States,2020-01-01,2022-04-30
25-34 years,11127,6828,4299,05,04,United States,2020-01-01,2022-04-30
35-44 years,27637,17179,10458,05,04,United States,2020-01-01,2022-04-30
45-54 years,66442,42602,23840,05,04,United States,2020-01-01,2022-04-30
55-64 years,146597,90466,56131,05,04,United States,2020-01-01,2022-04-30
65-74 years,229254,136351,92903,05,04,United States,2020-01-01,2022-04-30
75-84 years,257059,144466,112593,05,04,United States,2020-01-01,2022-04-30
85 years and over,255194,112125,143069,05,04,United States,2020-01-01,2022-04-30
