age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,356,196,160,09,28,United States,2020-01-01,2022-09-24
1-4 years,190,99,91,09,28,United States,2020-01-01,2022-09-24
5-14 years,407,202,205,09,28,United States,2020-01-01,2022-09-24
15-24 years,2812,1672,1140,09,28,United States,2020-01-01,2022-09-24
25-34 years,11697,7170,4527,09,28,United States,2020-01-01,2022-09-24
35-44 years,28784,17842,10942,09,28,United States,2020-01-01,2022-09-24
45-54 years,68690,43905,24785,09,28,United States,2020-01-01,2022-09-24
55-64 years,152159,93705,58454,09,28,United States,2020-01-01,2022-09-24
65-74 years,239824,142413,97411,09,28,United States,2020-01-01,2022-09-24
75-84 years,272647,152919,119728,09,28,United States,2020-01-01,2022-09-24
85 years and over,275840,121437,154403,09,28,United States,2020-01-01,2022-09-24
