age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,126,69,57,10,13,United States,2020-01-01,2021-10-09
1-4 years,60,29,31,10,13,United States,2020-01-01,2021-10-09
5-14 years,165,92,73,10,13,United States,2020-01-01,2021-10-09
15-24 years,1603,946,657,10,13,United States,2020-01-01,2021-10-09
25-34 years,6981,4319,2662,10,13,United States,2020-01-01,2021-10-09
35-44 years,17612,11154,6458,10,13,United States,2020-01-01,2021-10-09
45-54 years,44057,28706,15351,10,13,United States,2020-01-01,2021-10-09
55-64 years,99112,61820,37292,10,13,United States,2020-01-01,2021-10-09
65-74 years,160596,96646,63950,10,13,United States,2020-01-01,2021-10-09
75-84 years,187611,105312,82299,10,13,United States,2020-01-01,2021-10-09
85 years and over,195007,83730,111277,10,13,United States,2020-01-01,2021-10-09
