age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,410,228,182,01,11,United States,2020-01-01,2023-01-07
1-4 years,224,119,105,01,11,United States,2020-01-01,2023-01-07
5-14 years,440,225,215,01,11,United States,2020-01-01,2023-01-07
15-24 years,2900,1725,1175,01,11,United States,2020-01-01,2023-01-07
25-34 years,11981,7347,4634,01,11,United States,2020-01-01,2023-01-07
35-44 years,29300,18134,11166,01,11,United States,2020-01-01,2023-01-07
45-54 years,69796,44483,25313,01,11,United States,2020-01-01,2023-01-07
55-64 years,155223,95383,59840,01,11,United States,2020-01-01,2023-01-07
65-74 years,246719,146313,100406,01,11,United States,2020-01-01,2023-01-07
75-84 years,283600,158930,124670,01,11,United States,2020-01-01,2023-01-07
85 years and over,290619,128055,162564,01,11,United States,2020-01-01,2023-01-07
