age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,380,211,169,11,09,United States,2020-01-01,2022-11-05
1-4 years,202,106,96,11,09,United States,2020-01-01,2022-11-05
5-14 years,423,213,210,11,09,United States,2020-01-01,2022-11-05
15-24 years,2842,1688,1154,11,09,United States,2020-01-01,2022-11-05
25-34 years,11819,7241,4578,11,09,United States,2020-01-01,2022-11-05
35-44 years,28980,17966,11014,11,09,United States,2020-01-01,2022-11-05
45-54 years,69142,44132,25010,11,09,United States,2020-01-01,2022-11-05
55-64 years,153400,94375,59025,11,09,United States,2020-01-01,2022-11-05
65-74 years,242477,143909,98568,11,09,United States,2020-01-01,2022-11-05
75-84 years,276653,155128,121525,11,09,United States,2020-01-01,2022-11-05
85 years and over,281221,123830,157391,11,09,United States,2020-01-01,2022-11-05
