age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,154,83,71,12,01,United States,2020-01-01,2021-11-27
1-4 years,70,36,34,12,01,United States,2020-01-01,2021-11-27
5-14 years,200,108,92,12,01,United States,2020-01-01,2021-11-27
15-24 years,1922,1145,777,12,01,United States,2020-01-01,2021-11-27
25-34 years,8318,5098,3220,12,01,United States,2020-01-01,2021-11-27
35-44 years,21061,13241,7820,12,01,United States,2020-01-01,2021-11-27
45-54 years,51317,33201,18116,12,01,United States,2020-01-01,2021-11-27
55-64 years,112153,69682,42471,12,01,United States,2020-01-01,2021-11-27
65-74 years,176771,105791,70980,12,01,United States,2020-01-01,2021-11-27
75-84 years,201398,113020,88378,12,01,United States,2020-01-01,2021-11-27
85 years and over,206038,88852,117186,12,01,United States,2020-01-01,2021-11-27
