age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,369,203,166,10,26,United States,2020-01-01,2022-10-22
1-4 years,196,101,95,10,26,United States,2020-01-01,2022-10-22
5-14 years,418,211,207,10,26,United States,2020-01-01,2022-10-22
15-24 years,2833,1683,1150,10,26,United States,2020-01-01,2022-10-22
25-34 years,11775,7211,4564,10,26,United States,2020-01-01,2022-10-22
35-44 years,28906,17920,10986,10,26,United States,2020-01-01,2022-10-22
45-54 years,69004,44061,24943,10,26,United States,2020-01-01,2022-10-22
55-64 years,153013,94157,58856,10,26,United States,2020-01-01,2022-10-22
65-74 years,241581,143409,98172,10,26,United States,2020-01-01,2022-10-22
75-84 years,275359,154429,120930,10,26,United States,2020-01-01,2022-10-22
85 years and over,279475,123066,156409,10,26,United States,2020-01-01,2022-10-22
