age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,336,190,146,08,17,United States,2020-01-01,2022-08-13
1-4 years,175,88,87,08,17,United States,2020-01-01,2022-08-13
5-14 years,384,196,188,08,17,United States,2020-01-01,2022-08-13
15-24 years,2767,1640,1127,08,17,United States,2020-01-01,2022-08-13
25-34 years,11536,7076,4460,08,17,United States,2020-01-01,2022-08-13
35-44 years,28446,17647,10799,08,17,United States,2020-01-01,2022-08-13
45-54 years,67999,43500,24499,08,17,United States,2020-01-01,2022-08-13
55-64 years,150499,92758,57741,08,17,United States,2020-01-01,2022-08-13
65-74 years,236302,140372,95930,08,17,United States,2020-01-01,2022-08-13
75-84 years,267439,150106,117333,08,17,United States,2020-01-01,2022-08-13
85 years and over,268982,118311,150671,08,17,United States,2020-01-01,2022-08-13
