age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,163,91,72,12,15,United States,2020-01-01,2021-12-11
1-4 years,73,36,37,12,15,United States,2020-01-01,2021-12-11
5-14 years,204,111,93,12,15,United States,2020-01-01,2021-12-11
15-24 years,1999,1191,808,12,15,United States,2020-01-01,2021-12-11
25-34 years,8608,5291,3317,12,15,United States,2020-01-01,2021-12-11
35-44 years,21806,13688,8118,12,15,United States,2020-01-01,2021-12-11
45-54 years,52933,34239,18694,12,15,United States,2020-01-01,2021-12-11
55-64 years,115378,71666,43712,12,15,United States,2020-01-01,2021-12-11
65-74 years,181273,108364,72909,12,15,United States,2020-01-01,2021-12-11
75-84 years,205613,115377,90236,12,15,United States,2020-01-01,2021-12-11
85 years and over,209453,90459,118994,12,15,United States,2020-01-01,2021-12-11
