age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,194,107,87,01,26,United States,2020-01-01,2022-01-22
1-4 years,86,45,41,01,26,United States,2020-01-01,2022-01-22
5-14 years,228,125,103,01,26,United States,2020-01-01,2022-01-22
15-24 years,2254,1332,922,01,26,United States,2020-01-01,2022-01-22
25-34 years,9579,5903,3676,01,26,United States,2020-01-01,2022-01-22
35-44 years,24233,15197,9036,01,26,United States,2020-01-01,2022-01-22
45-54 years,58383,37707,20676,01,26,United States,2020-01-01,2022-01-22
55-64 years,126987,78722,48265,01,26,United States,2020-01-01,2022-01-22
65-74 years,197498,117695,79803,01,26,United States,2020-01-01,2022-01-22
75-84 years,221779,124369,97410,01,26,United States,2020-01-01,2022-01-22
85 years and over,223040,96764,126276,01,26,United States,2020-01-01,2022-01-22
