age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,399,222,177,12,21,United States,2020-01-01,2022-12-17
1-4 years,212,111,101,12,21,United States,2020-01-01,2022-12-17
5-14 years,434,221,213,12,21,United States,2020-01-01,2022-12-17
15-24 years,2884,1712,1172,12,21,United States,2020-01-01,2022-12-17
25-34 years,11922,7309,4613,12,21,United States,2020-01-01,2022-12-17
35-44 years,29197,18079,11118,12,21,United States,2020-01-01,2022-12-17
45-54 years,69561,44359,25202,12,21,United States,2020-01-01,2022-12-17
55-64 years,154574,95027,59547,12,21,United States,2020-01-01,2022-12-17
65-74 years,245132,145428,99704,12,21,United States,2020-01-01,2022-12-17
75-84 years,281010,157523,123487,12,21,United States,2020-01-01,2022-12-17
85 years and over,287058,126440,160618,12,21,United States,2020-01-01,2022-12-17
