age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,385,215,170,11,23,United States,2020-01-01,2022-11-19
1-4 years,208,109,99,11,23,United States,2020-01-01,2022-11-19
5-14 years,427,217,210,11,23,United States,2020-01-01,2022-11-19
15-24 years,2853,1696,1157,11,23,United States,2020-01-01,2022-11-19
25-34 years,11859,7262,4597,11,23,United States,2020-01-01,2022-11-19
35-44 years,29056,18010,11046,11,23,United States,2020-01-01,2022-11-19
45-54 years,69299,44218,25081,11,23,United States,2020-01-01,2022-11-19
55-64 years,153800,94590,59210,11,23,United States,2020-01-01,2022-11-19
65-74 years,243333,144396,98937,11,23,United States,2020-01-01,2022-11-19
75-84 years,278052,155898,122154,11,23,United States,2020-01-01,2022-11-19
85 years and over,283009,124627,158382,11,23,United States,2020-01-01,2022-11-19
