age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,291,159,132,05,25,United States,2020-01-01,2022-05-21
1-4 years,140,69,71,05,25,United States,2020-01-01,2022-05-21
5-14 years,336,175,161,05,25,United States,2020-01-01,2022-05-21
15-24 years,2663,1576,1087,05,25,United States,2020-01-01,2022-05-21
25-34 years,11233,6897,4336,05,25,United States,2020-01-01,2022-05-21
35-44 years,27806,17285,10521,05,25,United States,2020-01-01,2022-05-21
45-54 years,66774,42807,23967,05,25,United States,2020-01-01,2022-05-21
55-64 years,147381,90945,56436,05,25,United States,2020-01-01,2022-05-21
65-74 years,230573,137113,93460,05,25,United States,2020-01-01,2022-05-21
75-84 years,258676,145363,113313,05,25,United States,2020-01-01,2022-05-21
85 years and over,257052,112952,144100,05,25,United States,2020-01-01,2022-05-21
