iso2,iso3,LocID,location_fin,location_jhu,loc_type_fin,location_ihme,loc_id,month_jhu,day_jhu,deaths_jhu,deaths_ihme,month_ihme,day_ihme,date_ihme_prod,country_region,geo_type_valid,population
NA,NA,NA,Australian Capital Territory,Australian Capital Territory,NA,NA,NA,08,24,3,NA,NA,NA,NA,Australia,province_state,NA
NA,NA,NA,New South Wales,New South Wales,NA,NA,NA,08,24,52,NA,NA,NA,NA,Australia,province_state,NA
NA,NA,NA,Northern Territory,Northern Territory,NA,NA,NA,08,24,0,NA,NA,NA,NA,Australia,province_state,NA
NA,NA,NA,Queensland,Queensland,NA,NA,NA,08,24,6,NA,NA,NA,NA,Australia,province_state,NA
NA,NA,NA,South Australia,South Australia,NA,NA,NA,08,24,4,NA,NA,NA,NA,Australia,province_state,NA
NA,NA,NA,Tasmania,Tasmania,NA,NA,NA,08,24,13,NA,NA,NA,NA,Australia,province_state,NA
NA,NA,NA,Victoria,Victoria,NA,NA,NA,08,24,430,NA,NA,NA,NA,Australia,province_state,NA
NA,NA,NA,Western Australia,Western Australia,NA,NA,NA,08,24,9,NA,NA,NA,NA,Australia,province_state,NA
NA,NA,BR12,Acre,Acre,Brazil,Acre,BR12,08,24,600,661.454495660035,12,01,2020_08_21,Brazil,province_state,NA
NA,NA,BR27,Alagoas,Alagoas,Brazil,Alagoas,BR27,08,24,1818,2454.29825424944,12,01,2020_08_21,Brazil,province_state,NA
NA,NA,BR16,Amapa,Amapa,Brazil,Amapa,BR16,08,24,631,886.889255396568,12,01,2020_08_21,Brazil,province_state,NA
NA,NA,BR13,Amazonas,Amazonas,Brazil,Amazonas,BR13,08,24,3563,5230.76590896374,12,01,2020_08_21,Brazil,province_state,NA
NA,NA,BR29,Bahia,Bahia,Brazil,Bahia,BR29,08,24,4905,14309.4060974443,12,01,2020_08_21,Brazil,province_state,NA
NA,NA,BR23,Ceara,Ceara,Brazil,Ceara,BR23,08,24,8289,9646.68345621194,12,01,2020_08_21,Brazil,province_state,NA
NA,NA,BR53,Distrito Federal,Distrito Federal,Brazil,Distrito Federal,BR53,08,24,2274,3580.89268836319,12,01,2020_08_21,Brazil,province_state,NA
NA,NA,BR32,Espirito Santo,Espirito Santo,Brazil,Espirito Santo,BR32,08,24,3026,5137.60377339117,12,01,2020_08_21,Brazil,province_state,NA
NA,NA,BR52,Goias,Goias,Brazil,Goias,BR52,08,24,2743,6946.07856435961,12,01,2020_08_21,Brazil,province_state,NA
NA,NA,BR21,Maranhao,Maranhao,Brazil,Maranhao,BR21,08,24,3352,4036.1302515678,12,01,2020_08_21,Brazil,province_state,NA
NA,NA,BR51,Mato Grosso,Mato Grosso,Brazil,Mato Grosso,BR51,08,24,2525,3836.30967275019,12,01,2020_08_21,Brazil,province_state,NA
NA,NA,BR50,Mato Grosso do Sul,Mato Grosso do Sul,Brazil,Mato Grosso do Sul,BR50,08,24,738,2529.65794615771,12,01,2020_08_21,Brazil,province_state,NA
NA,NA,BR31,Minas Gerais,Minas Gerais,Brazil,Minas Gerais,BR31,08,24,4790,15609.8431371228,12,01,2020_08_21,Brazil,province_state,NA
NA,NA,BR15,Para,Para,Brazil,Para,BR15,08,24,6057,7110.99205212088,12,01,2020_08_21,Brazil,province_state,NA
NA,NA,BR25,Paraiba,Paraiba,Brazil,Paraiba,BR25,08,24,2308,3857.85190116829,12,01,2020_08_21,Brazil,province_state,NA
