Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
China,Cntry/Terr,"1,439,323.774",153.3,7.12,120,0.00,0.00,0.00,365,0.00,0.00,0.00,7.67,74.9,79.3,77.1,0.00,0.00,0.00
"China, Taiwan Province of China",Cntry/Terr,"23,816.775",672.6,7.50,120,0.00,0.00,0.00,365,0.00,0.00,0.00,8.09,78.0,83.3,80.6,0.00,0.00,0.00
Heilongjiang,China,"38,461.125",84.7,6.67,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Henan,China,"98,844.373",591.9,6.80,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Beijing,China,"22,086.180","1,314.7",5.58,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Tianjin,China,"16,016.070","1,416.7",5.42,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Hebei,China,"77,845.071",414.7,6.38,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Inner Mongolia,China,"26,044.057",22.0,5.95,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Liaoning,China,"44,623.518",305.9,7.39,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Jilin,China,"27,592.345",147.2,6.26,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Shanghai,China,"24,895.657","3,926.1",5.40,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Zhejiang,China,"59,983.359",588.1,5.58,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Anhui,China,"65,274.199",467.2,5.96,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Fujian,China,"40,737.416",335.1,6.20,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Jiangxi,China,"47,843.137",286.5,6.06,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Shandong,China,"103,253.406",671.3,7.18,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Hunan,China,"70,934.167",337.8,7.08,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Guangdong,China,"118,131.330",656.3,4.55,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Guangxi,China,"50,857.686",215.5,5.96,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Hainan,China,"9,689.620",285.0,6.01,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Chongqing,China,"32,032.139",389.2,7.54,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Sichuan,China,"85,873.612",177.1,7.01,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Guizhou,China,"37,148.668",211.1,6.85,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Yunnan,China,"49,811.822",126.4,6.32,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
Shaanxi,China,"39,619.778",192.7,6.24,120,0.00,0.00,0.00,365,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA
