Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
Quintana Roo,Mexico,"1,497.403",33.4,3.35,152,1.21,2.88,4.26,365,1.62,3.86,5.72,5.61,67.7,74.4,71.0,-4.91,-4.22,-4.57
Ica,Peru,954.364,44.7,NA,152,3.25,4.10,6.07,365,2.97,3.76,5.56,14.46,67.6,72.2,69.9,-3.89,-3.41,-3.65
Baja California,Mexico,"3,605.789",50.5,4.88,152,1.82,3.28,4.85,365,2.05,3.70,5.47,6.83,68.2,75.0,71.5,-4.80,-4.19,-4.50
Rondonia,Brazil,"1,797.626",7.6,NA,152,5.26,6.06,8.97,365,3.12,3.59,5.31,NA,NA,NA,NA,NA,NA,NA
Madre de Dios,Peru,158.084,1.9,NA,152,1.35,3.17,4.70,365,1.51,3.54,5.24,8.01,65.1,69.5,67.2,-3.19,-2.66,-2.93
Mato Grosso,Brazil,"3,524.464",3.9,NA,152,4.29,4.93,7.31,365,3.03,3.49,5.17,NA,NA,NA,NA,NA,NA,NA
Callao,Peru,"1,119.096","7,669.8",NA,152,3.20,3.95,5.86,365,2.81,3.48,5.15,14.11,68.6,73.0,70.8,-3.67,-3.25,-3.47
Baja California Sur,Mexico,727.007,9.8,3.82,152,2.19,3.93,5.82,365,1.93,3.46,5.13,6.73,68.3,75.1,71.6,-4.57,-3.99,-4.29
Moquegua,Peru,197.521,12.6,NA,152,3.65,4.11,6.09,365,3.07,3.46,5.13,16.08,67.2,71.8,69.4,-3.48,-3.06,-3.28
Ciudad de Mexico,Mexico,"10,298.920","6,888.8",6.23,152,3.84,4.31,6.39,365,2.97,3.33,4.94,9.82,69.0,75.6,72.2,-4.56,-3.91,-4.24
Queretaro,Mexico,"2,094.397",179.0,4.36,152,2.86,4.56,6.75,365,2.04,3.26,4.82,7.37,68.4,74.9,71.6,-4.34,-3.70,-4.03
Mexico (State),Mexico,"17,378.187",777.5,4.50,152,2.22,3.70,5.48,365,1.95,3.24,4.80,7.20,68.7,74.3,71.4,-4.45,-3.51,-3.99
Distrito Federal,Brazil,"3,049.880",529.4,NA,152,3.47,4.00,5.92,365,2.79,3.21,4.75,NA,NA,NA,NA,NA,NA,NA
Tacna,Peru,371.146,23.1,NA,152,3.67,5.24,7.76,365,2.24,3.20,4.74,12.69,66.5,71.1,68.8,-3.07,-2.66,-2.87
Tumbes,Peru,252.031,54.0,NA,152,2.49,3.67,5.44,365,2.11,3.12,4.62,12.29,66.5,71.3,68.9,-2.94,-2.52,-2.74
Ucayali,Peru,552.917,5.4,NA,152,2.64,5.05,7.48,365,1.62,3.10,4.59,10.63,64.4,69.1,66.7,-2.68,-2.23,-2.46
Lima,Peru,"10,693.435",307.0,NA,152,2.92,3.44,5.10,365,2.63,3.09,4.58,14.71,68.6,72.9,70.7,-3.28,-2.90,-3.09
Sonora,Mexico,"3,077.474",17.1,5.60,152,1.93,2.81,4.16,365,2.12,3.08,4.57,8.01,68.3,75.1,71.6,-4.05,-3.50,-3.78
Rio de Janeiro,Brazil,"17,463.128",399.2,NA,152,3.45,3.96,5.87,365,2.59,2.98,4.42,NA,NA,NA,NA,NA,NA,NA
Amazonas (BR),Brazil,"4,192.173",2.7,NA,152,4.41,5.08,7.52,365,2.59,2.98,4.41,NA,NA,NA,NA,NA,NA,NA
Coahuila de Zaragoza,Mexico,"3,150.456",20.7,5.31,152,1.59,2.38,3.52,365,1.96,2.94,4.35,7.61,68.8,75.4,72.0,-3.94,-3.42,-3.69
Espirito Santo,Brazil,"4,064.780",88.2,NA,152,3.37,3.88,5.75,365,2.51,2.88,4.27,NA,NA,NA,NA,NA,NA,NA
Roraima,Brazil,612.715,2.7,NA,152,3.35,3.85,5.70,365,2.48,2.85,4.23,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,Mexico,"1,360.852",242.3,4.37,152,1.85,2.97,4.40,365,1.75,2.81,4.16,7.00,69.1,75.6,72.3,-3.87,-3.30,-3.59
Rio Grande do Sul,Brazil,"11,507.839",40.9,NA,152,4.03,4.64,6.87,365,2.43,2.80,4.14,NA,NA,NA,NA,NA,NA,NA
Mato Grosso do Sul,Brazil,"2,810.886",7.9,NA,152,3.83,4.41,6.53,365,2.42,2.78,4.12,NA,NA,NA,NA,NA,NA,NA
Goias,Brazil,"7,098.918",20.9,NA,152,3.46,3.98,5.90,365,2.38,2.74,4.06,NA,NA,NA,NA,NA,NA,NA
Chihuahua,Mexico,"3,832.828",15.5,7.58,152,1.60,2.44,3.61,365,1.74,2.64,3.92,7.37,68.8,75.5,72.1,-3.61,-3.13,-3.38
Parana,Brazil,"11,565.208",58.0,NA,152,3.83,4.41,6.53,365,2.27,2.61,3.87,NA,NA,NA,NA,NA,NA,NA
Sao Paulo,Brazil,"46,446.155",187.1,NA,152,3.34,3.85,5.70,365,2.23,2.57,3.81,NA,NA,NA,NA,NA,NA,NA
Nuevo Leon,Mexico,"5,360.737",83.5,4.97,152,1.95,2.84,4.21,365,1.76,2.57,3.80,7.47,69.4,76.0,72.6,-3.56,-3.09,-3.33
La Libertad,Peru,"1,990.970",78.1,NA,152,2.13,2.64,3.91,365,2.04,2.52,3.74,14.40,67.8,72.3,70.0,-2.70,-2.37,-2.54
Hidalgo,Mexico,"3,072.136",147.6,4.87,152,2.19,2.83,4.19,365,1.92,2.49,3.69,8.52,68.9,75.0,71.9,-3.38,-2.79,-3.09
Ancash,Peru,"1,216.095",33.9,NA,152,3.06,3.31,4.90,365,2.30,2.49,3.69,17.58,66.6,71.4,68.9,-2.51,-2.15,-2.33
Peru,Cntry/Terr,"32,971.846",25.8,5.45,152,2.31,2.88,4.27,365,1.97,2.46,3.64,7.90,70.7,76.5,73.5,-3.59,-3.15,-3.37
Junin,Peru,"1,393.373",31.4,NA,152,2.82,3.72,5.51,365,1.85,2.44,3.62,14.88,65.3,70.0,67.6,-2.26,-1.91,-2.09
Sergipe,Brazil,"2,325.083",106.0,NA,152,2.69,3.10,4.59,365,2.12,2.44,3.62,NA,NA,NA,NA,NA,NA,NA
Santa Catarina,Brazil,"7,247.033",75.7,NA,152,3.32,3.82,5.66,365,2.09,2.40,3.56,NA,NA,NA,NA,NA,NA,NA
Guanajuato,Mexico,"6,295.742",205.6,4.95,152,2.11,2.93,4.33,365,1.71,2.37,3.51,7.81,68.9,75.5,72.1,-3.27,-2.80,-3.04
Pasco,Peru,284.581,11.4,NA,152,2.61,4.02,5.95,365,1.54,2.36,3.50,12.95,65.2,69.9,67.5,-2.18,-1.86,-2.02
Tlaxcala,Mexico,"1,345.008",336.5,4.73,152,1.86,2.55,3.78,365,1.72,2.36,3.49,7.83,69.1,75.3,72.2,-3.30,-2.75,-3.03
Puebla,Mexico,"6,612.709",192.8,5.37,152,2.24,3.02,4.47,365,1.74,2.35,3.48,8.14,68.6,75.1,71.7,-3.19,-2.72,-2.96
Brazil,Cntry/Terr,"212,559.409",25.4,6.42,152,3.03,3.48,5.16,365,2.04,2.35,3.48,8.81,69.1,76.5,72.7,-3.32,-3.21,-3.27
Sinaloa,Mexico,"3,215.596",56.0,5.59,152,1.44,1.91,2.83,365,1.76,2.34,3.46,8.18,69.0,75.6,72.2,-3.18,-2.74,-2.96
San Martin,Peru,909.611,17.7,NA,152,1.41,2.27,3.37,365,1.44,2.32,3.44,12.13,65.4,70.1,67.7,-2.07,-1.74,-1.91
Jordan,Cntry/Terr,"10,203.140",114.9,3.86,152,1.32,3.32,4.91,365,0.93,2.32,3.44,4.90,70.3,74.4,72.3,-2.66,-2.07,-2.37
Mexico (Country),Cntry/Terr,"128,932.753",66.3,5.97,152,1.82,2.50,3.71,365,1.66,2.28,3.38,7.87,69.2,75.3,72.2,-3.18,-2.65,-2.92
Tabasco,Mexico,"2,555.914",103.3,4.98,152,0.90,1.42,2.10,365,1.42,2.24,3.31,7.02,69.0,75.6,72.2,-3.07,-2.65,-2.86
North Macedonia,Cntry/Terr,"2,083.380",82.6,10.02,152,3.35,2.90,4.30,365,2.53,2.19,3.25,12.85,71.3,76.0,73.6,-2.59,-1.96,-2.29
State of Palestine,Cntry/Terr,"5,101.416",847.4,3.46,152,0.99,3.15,4.67,365,0.68,2.19,3.24,4.18,70.1,74.0,72.0,-2.48,-1.91,-2.20
Arequipa,Peru,"1,556.127",24.6,NA,152,2.01,2.36,3.49,365,1.85,2.18,3.23,14.27,68.6,73.0,70.8,-2.42,-2.14,-2.28
Ceara,Brazil,"9,236.905",62.0,NA,152,2.73,3.14,4.65,365,1.89,2.18,3.22,NA,NA,NA,NA,NA,NA,NA
San Luis Potosi,Mexico,"2,972.710",48.6,5.14,152,1.86,2.25,3.33,365,1.79,2.16,3.20,8.78,69.3,75.1,72.1,-3.00,-2.43,-2.72
Minas Gerais,Brazil,"21,411.788",36.5,NA,152,3.21,3.69,5.47,365,1.88,2.16,3.20,NA,NA,NA,NA,NA,NA,NA
Paraguay,Cntry/Terr,"7,132.530",18.0,5.48,152,2.33,3.81,5.64,365,1.29,2.10,3.11,6.96,69.5,74.2,71.8,-2.85,-2.31,-2.58
Colombia,Cntry/Terr,"50,882.884",45.9,5.53,152,2.15,2.60,3.85,365,1.73,2.09,3.09,7.56,71.2,77.3,74.2,-3.46,-2.84,-3.16
