age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,350,194,156,09,14,United States,2020-01-01,2022-09-10
1-4 years,183,93,90,09,14,United States,2020-01-01,2022-09-10
5-14 years,398,200,198,09,14,United States,2020-01-01,2022-09-10
15-24 years,2799,1661,1138,09,14,United States,2020-01-01,2022-09-10
25-34 years,11651,7140,4511,09,14,United States,2020-01-01,2022-09-10
35-44 years,28692,17786,10906,09,14,United States,2020-01-01,2022-09-10
45-54 years,68485,43791,24694,09,14,United States,2020-01-01,2022-09-10
55-64 years,151666,93420,58246,09,14,United States,2020-01-01,2022-09-10
65-74 years,238783,141821,96962,09,14,United States,2020-01-01,2022-09-10
75-84 years,271061,152106,118955,09,14,United States,2020-01-01,2022-09-10
85 years and over,273690,120471,153219,09,14,United States,2020-01-01,2022-09-10
