age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,389,216,173,12,07,United States,2020-01-01,2022-12-03
1-4 years,209,110,99,12,07,United States,2020-01-01,2022-12-03
5-14 years,428,217,211,12,07,United States,2020-01-01,2022-12-03
15-24 years,2865,1700,1165,12,07,United States,2020-01-01,2022-12-03
25-34 years,11892,7287,4605,12,07,United States,2020-01-01,2022-12-03
35-44 years,29119,18048,11071,12,07,United States,2020-01-01,2022-12-03
45-54 years,69405,44277,25128,12,07,United States,2020-01-01,2022-12-03
55-64 years,154129,94777,59352,12,07,United States,2020-01-01,2022-12-03
65-74 years,244086,144828,99258,12,07,United States,2020-01-01,2022-12-03
75-84 years,279276,156547,122729,12,07,United States,2020-01-01,2022-12-03
85 years and over,284751,125413,159338,12,07,United States,2020-01-01,2022-12-03
