age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,306,171,135,07,27,United States,2020-01-01,2022-07-23
1-4 years,165,84,81,07,27,United States,2020-01-01,2022-07-23
5-14 years,364,186,178,07,27,United States,2020-01-01,2022-07-23
15-24 years,2719,1607,1112,07,27,United States,2020-01-01,2022-07-23
25-34 years,11418,7005,4413,07,27,United States,2020-01-01,2022-07-23
35-44 years,28182,17509,10673,07,27,United States,2020-01-01,2022-07-23
45-54 years,67433,43178,24255,07,27,United States,2020-01-01,2022-07-23
55-64 years,149004,91895,57109,07,27,United States,2020-01-01,2022-07-23
65-74 years,233643,138885,94758,07,27,United States,2020-01-01,2022-07-23
75-84 years,263696,148005,115691,07,27,United States,2020-01-01,2022-07-23
85 years and over,264264,116152,148112,07,27,United States,2020-01-01,2022-07-23
