age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,413,230,183,01,25,United States,2020-01-01,2023-01-21
1-4 years,227,121,106,01,25,United States,2020-01-01,2023-01-21
5-14 years,444,226,218,01,25,United States,2020-01-01,2023-01-21
15-24 years,2915,1731,1184,01,25,United States,2020-01-01,2023-01-21
25-34 years,12019,7367,4652,01,25,United States,2020-01-01,2023-01-21
35-44 years,29380,18182,11198,01,25,United States,2020-01-01,2023-01-21
45-54 years,69981,44596,25385,01,25,United States,2020-01-01,2023-01-21
55-64 years,155789,95681,60108,01,25,United States,2020-01-01,2023-01-21
65-74 years,248027,147026,101001,01,25,United States,2020-01-01,2023-01-21
75-84 years,285742,160118,125624,01,25,United States,2020-01-01,2023-01-21
85 years and over,293657,129391,164266,01,25,United States,2020-01-01,2023-01-21
