,Location,Loc_type,Mid2020Pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
245,New York,U.S.A.,19780,161.7,7.83,83,6.73,5.05,6.36,163,3.55,2.67,3.36,76,81.2,-2.08,-1.86
243,New Jersey,U.S.A.,9008,468.8,8.31,81,6,4.53,5.7,161,3.17,2.39,3.01,75.8,80.9,-1.79,-1.54
219,Connecticut,U.S.A.,3614,288,8.73,77,5.27,3.71,4.67,157,2.74,1.93,2.43,76.3,81.7,-1.42,-1.27
136,San Marino,Cntry/Terr,34,565.6,NA,90,5.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,Massachusetts,U.S.A.,6986,344.1,8.57,76,4.96,3.72,4.69,156,3.02,2.27,2.86,75.8,81.3,-1.61,-1.43
252,Rhode Island,U.S.A.,1070,395.5,9.59,68,3.8,2.67,3.37,148,2.68,1.88,2.37,76,80.9,-1.27,-1.13
115,Belgium,Cntry/Terr,11590,382.7,9.78,82,3.68,2.37,2.99,162,1.89,1.22,1.54,78.6,83.2,-0.94,-0.82
221,District of Columbia,U.S.A.,712,4477.2,7.15,70,3.49,3.52,4.44,150,2.39,2.42,3.04,73.4,79.6,-1.55,-1.57
25,Andorra,Cntry/Terr,77,164.4,NA,74,3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,Louisiana,U.S.A.,4713,41.8,9.78,82,2.73,2.35,2.96,162,1.41,1.21,1.53,72.9,78.6,-0.76,-0.7
235,Michigan,U.S.A.,10115,68.7,9.8,78,2.6,1.94,2.44,158,1.37,1.02,1.29,74.9,79.9,-0.68,-0.62
172,United Kingdom,Cntry/Terr,67886,280.6,9.42,91,2.37,1.62,2.04,171,1.4,0.96,1.2,79,82.4,-0.8,-0.66
151,Spain,Cntry/Terr,46755,93.7,9.26,93,2.28,1.33,1.68,173,1.64,0.96,1.2,80.1,85.5,-0.87,-0.81
251,Pennsylvania,U.S.A.,12966,111.7,10.59,77,2.14,1.46,1.84,157,1.15,0.79,0.99,75,80.4,-0.53,-0.51
233,Maryland,U.S.A.,6110,241.3,8.25,76,2.1,1.73,2.18,156,1.11,0.91,1.15,75.7,81.2,-0.67,-0.64
226,Illinois,U.S.A.,12887,89.5,8.57,79,2.06,1.63,2.06,159,1.14,0.9,1.13,76,81.1,-0.65,-0.6
220,Delaware,U.S.A.,979,193.4,9.54,70,2.06,1.49,1.88,150,1.03,0.74,0.94,75.4,80.9,-0.5,-0.48
156,Sweden,Cntry/Terr,10099,24.6,9.14,82,2.02,1.3,1.64,162,1.18,0.76,0.96,80.6,84.1,-0.64,-0.53
112,Sint Maarten (Dutch part),Cntry/Terr,43,1261.2,NA,64,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,Italy,Cntry/Terr,60462,205.6,10.7,104,1.96,1.03,1.3,184,1.42,0.75,0.94,80.7,85,-0.73,-0.65
102,Montserrat,Cntry/Terr,5,50,NA,41,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,Isle of Man,Cntry/Terr,85,149.2,NA,64,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,Northern Mariana Islands,Cntry/Terr,58,125.1,NA,64,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,Indiana,U.S.A.,6768,72.8,9.84,79,1.53,1.23,1.55,159,0.8,0.65,0.81,74.2,79.5,-0.4,-0.4
37,France,Cntry/Terr,65274,119.2,9.39,111,1.47,0.88,1.11,191,0.92,0.56,0.7,79.3,85,-0.56,-0.55
65,Ireland,Cntry/Terr,4938,71.7,6.27,86,1.43,1.33,1.68,166,0.76,0.7,0.88,80.2,83.5,-0.6,-0.49
109,Netherlands,Cntry/Terr,17135,508.2,8.96,91,1.41,0.95,1.19,171,0.77,0.51,0.65,80.3,83.7,-0.45,-0.37
173,Channel Islands,Cntry/Terr,174,915,7.89,71,1.36,0.96,1.21,NA,NA,NA,NA,NA,NA,NA,NA
237,Mississippi,U.S.A.,3020,24.9,10.82,73,1.32,1.12,1.41,153,0.75,0.64,0.8,71.9,78,-0.34,-0.35
177,United States of America,Cntry/Terr,331003,36.2,8.93,95,1.26,1,1.26,175,0.85,0.68,0.85,75.9,81,-0.55,-0.52
218,Colorado,U.S.A.,5762,21.4,6.79,79,1.22,1.11,1.4,159,1.38,1.26,1.59,76.9,81.7,-0.98,-0.86
242,New Hampshire,U.S.A.,1373,59.1,9.31,64,1.14,0.79,1,144,0.65,0.45,0.57,76,81.6,-0.29,-0.31
236,Minnesota,U.S.A.,5677,27.5,9.96,71,1.02,0.8,1,151,0.73,0.57,0.72,78,82.5,-0.43,-0.41
244,New Mexico,U.S.A.,2122,6.7,8.94,67,0.99,0.75,0.94,147,0.65,0.49,0.62,74.9,80.8,-0.35,-0.36
248,Ohio,U.S.A.,11827,111.5,10.61,76,0.95,0.71,0.89,156,0.64,0.48,0.6,74.3,79.5,-0.3,-0.3
228,Iowa,U.S.A.,3194,22.1,9.71,71,0.94,0.68,0.85,151,0.79,0.57,0.71,76.5,81.3,-0.39,-0.38
223,Georgia,U.S.A.,10629,70.9,7.97,80,0.92,0.88,1.11,160,0.59,0.57,0.71,74.9,79.9,-0.38,-0.37
122,Bermuda,Cntry/Terr,62,1245.5,NA,59,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,Switzerland,Cntry/Terr,8655,219,8.11,92,0.88,0.58,0.72,172,0.47,0.31,0.39,81.7,85.4,-0.3,-0.28
30,Ecuador,Cntry/Terr,17643,71,5.15,82,0.88,1.45,1.83,162,0.74,1.21,1.52,73.6,79.2,-0.85,-0.84
7,Canada,Cntry/Terr,37742,4.2,7.83,87,0.86,0.62,0.78,167,0.47,0.34,0.43,80.3,84.2,-0.31,-0.3
259,Virginia,U.S.A.,8615,84,8.1,76,0.81,0.67,0.85,156,0.7,0.58,0.73,76.6,81.2,-0.42,-0.41
86,Luxembourg,Cntry/Terr,626,241.7,7.11,84,0.77,0.64,0.8,164,0.39,0.32,0.41,80.1,84.2,-0.27,-0.25
98,Monaco,Cntry/Terr,39,26338.3,NA,50,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,Brazil,Cntry/Terr,212559,25.4,6.63,79,0.74,1,1.26,159,1.36,1.84,2.32,71.4,78.6,-1.09,-1.15
124,Peru,Cntry/Terr,32972,25.8,5.67,77,0.73,1.07,1.35,157,1.39,2.05,2.59,73.1,78.5,-1.22,-1.16
241,Nevada,U.S.A.,3071,10.8,8.22,75,0.68,0.59,0.74,155,0.53,0.46,0.58,75.7,80.7,-0.32,-0.33
213,Alabama,U.S.A.,4945,37.6,10.92,71,0.68,0.54,0.68,151,0.41,0.32,0.41,72.7,78.3,-0.18,-0.21
215,Arizona,U.S.A.,7262,24.7,8.23,75,0.67,0.51,0.64,155,0.87,0.66,0.83,76.6,82,-0.53,-0.52
127,Portugal,Cntry/Terr,10197,111.3,10.87,80,0.65,0.37,0.46,160,0.37,0.21,0.26,79.1,84.8,-0.16,-0.16
238,Missouri,U.S.A.,6200,34.7,10.12,77,0.61,0.46,0.58,157,0.37,0.28,0.36,74.8,80,-0.19,-0.21
137,Sao Tome and Principe,Cntry/Terr,219,228.3,4.74,36,0.56,2.17,2.73,NA,NA,NA,NA,NA,NA,NA,NA
260,Washington,U.S.A.,7628,44.2,7.7,100,0.55,0.46,0.58,180,0.32,0.27,0.34,77.7,82.2,-0.24,-0.25
222,Florida,U.S.A.,21586,154.3,9.7,83,0.53,0.33,0.42,163,0.39,0.24,0.3,76.9,82.5,-0.22,-0.25
18,Mayotte,Cntry/Terr,273,727.5,2.75,65,0.52,1.46,1.83,NA,NA,NA,NA,NA,NA,NA,NA
240,Nebraska,U.S.A.,1952,9.8,8.79,68,0.52,0.4,0.5,148,0.6,0.47,0.59,77.1,81.5,-0.33,-0.32
262,Wisconsin,U.S.A.,5883,41.8,9.09,77,0.51,0.37,0.47,157,0.32,0.23,0.29,77,81.5,-0.17,-0.19
246,North Carolina,U.S.A.,10501,83.2,9.07,71,0.49,0.4,0.51,151,0.35,0.28,0.36,75.4,80.3,-0.19,-0.21
230,Kentucky,U.S.A.,4520,43.9,10.82,76,0.49,0.39,0.49,156,0.28,0.22,0.28,72.8,77.8,-0.13,-0.16
247,North Dakota,U.S.A.,770,4.3,8.49,66,0.48,0.36,0.45,146,0.31,0.24,0.3,77.3,82,-0.18,-0.2
217,California,U.S.A.,40011,99,6.78,86,0.47,0.41,0.51,166,0.71,0.61,0.77,78.1,83,-0.55,-0.53
253,South Carolina,U.S.A.,5145,66,9.84,76,0.47,0.37,0.46,156,0.33,0.26,0.33,74.2,79.7,-0.17,-0.2
97,Mexico,Cntry/Terr,128933,66.3,6.14,78,0.46,0.74,0.93,158,0.01,0.02,0.02,72.3,77.9,-0.01,-0.12
28,Denmark,Cntry/Terr,5792,136.5,9.88,82,0.45,0.31,0.39,162,0.24,0.17,0.21,79,82.8,-0.13,-0.13
254,South Dakota,U.S.A.,893,4.5,9.19,60,0.44,0.32,0.4,140,0.24,0.17,0.22,76.6,81.9,-0.11,-0.16
44,Germany,Cntry/Terr,83784,240.4,11.45,88,0.43,0.24,0.31,168,0.24,0.13,0.17,79,83.7,-0.11,-0.12
249,Oklahoma,U.S.A.,3989,22.4,10.29,74,0.43,0.35,0.44,154,0.22,0.18,0.22,73.6,78.6,-0.11,-0.14
135,Saint Martin (French part),Cntry/Terr,39,729.4,NA,67,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Vermont,U.S.A.,634,26.5,9.63,76,0.42,0.29,0.36,156,0.21,0.14,0.18,76.7,81.7,-0.1,-0.14
229,Kansas,U.S.A.,2946,13.9,9.29,71,0.4,0.31,0.39,151,0.19,0.14,0.18,76.2,80.9,-0.1,-0.13
232,Maine,U.S.A.,1356,17,10.99,69,0.37,0.23,0.29,149,0.3,0.19,0.24,75.9,81,-0.12,-0.15
99,Republic of Moldova,Cntry/Terr,4034,122.8,11.81,77,0.37,0.43,0.54,NA,NA,NA,NA,NA,NA,NA,NA
