,Location,Loc_type,Mid2020Pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
90,Maldives,Cntry/Terr,541,1801.8,2.79,35,0.14,0.36,0.46,NA,NA,NA,NA,NA,NA,NA,NA
141,Serbia,Cntry/Terr,8737,99.9,13.23,77,0.13,0.11,0.13,157,0.07,0.06,0.07,73.5,78.7,-0.03,-0.06
164,United Arab Emirates,Cntry/Terr,9890,118.3,1.62,76,0.13,0.48,0.61,NA,NA,NA,NA,NA,NA,NA,NA
92,Malta,Cntry/Terr,442,1379.8,8.6,58,0.13,0.09,0.11,NA,NA,NA,NA,NA,NA,NA,NA
126,Poland,Cntry/Terr,37847,123.6,10.37,85,0.13,0.09,0.12,165,0.07,0.05,0.07,74.9,82.6,-0.03,-0.06
56,Honduras,Cntry/Terr,9905,88.5,4.48,71,0.13,0.3,0.38,151,0.22,0.53,0.66,72.8,77.3,-0.33,-0.42
22,Croatia,Cntry/Terr,4105,73.4,13.22,73,0.13,0.08,0.1,153,0.06,0.04,0.05,75.5,81.6,-0.02,-0.05
85,Lithuania,Cntry/Terr,2722,43.4,14,77,0.12,0.07,0.09,157,0.07,0.04,0.05,70.4,81.4,-0.02,-0.06
16,Colombia,Cntry/Terr,50883,45.9,5.73,75,0.11,0.15,0.19,155,0.2,0.29,0.36,74.5,79.9,-0.2,-0.27
1,Bulgaria,Cntry/Terr,6948,64,15.51,87,0.09,0.06,0.08,167,0.08,0.06,0.07,71.7,78.7,-0.03,-0.07
139,Saudi Arabia,Cntry/Terr,34814,16.2,3.58,73,0.09,0.23,0.29,NA,NA,NA,NA,NA,NA,NA,NA
239,Montana,U.S.A.,1076,2.9,9.71,68,0.09,0.06,0.08,148,0.04,0.03,0.03,76.6,81,-0.02,-0.07
130,Qatar,Cntry/Terr,2881,248.2,1.32,69,0.08,0.28,0.35,NA,NA,NA,NA,NA,NA,NA,NA
214,Alaska,U.S.A.,745,0.5,5.96,62,0.08,0.09,0.11,142,0.04,0.04,0.05,76.2,81.2,-0.03,-0.08
80,Latvia,Cntry/Terr,1886,30.3,14.78,63,0.08,0.05,0.06,143,0.04,0.02,0.03,70.4,80,-0.01,-0.05
169,Ukraine,Cntry/Terr,43734,75.5,15.19,84,0.08,0.06,0.08,164,0.05,0.04,0.05,67.2,76.9,-0.01,-0.07
148,South Africa,Cntry/Terr,59309,48.9,9.45,70,0.07,0.18,0.23,NA,NA,NA,NA,NA,NA,NA,NA
47,Greece,Cntry/Terr,10423,80.9,11.09,86,0.07,0.04,0.05,166,0.04,0.02,0.03,80,84.7,-0.02,-0.04
100,Montenegro,Cntry/Terr,628,46.7,10.77,72,0.07,0.07,0.08,NA,NA,NA,NA,NA,NA,NA,NA
106,Oman,Cntry/Terr,5107,16.5,2.45,66,0.07,0.24,0.3,NA,NA,NA,NA,NA,NA,NA,NA
32,Equatorial Guinea,Cntry/Terr,1403,50,8.94,45,0.07,0.33,0.42,NA,NA,NA,NA,NA,NA,NA,NA
9,Cayman Islands,Cntry/Terr,66,273.8,NA,82,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,Hawaii,U.S.A.,1440,86.5,7.98,64,0.07,0.04,0.06,144,0.03,0.02,0.03,79,85.3,-0.02,-0.07
5,Algeria,Cntry/Terr,43851,18.4,4.73,86,0.07,0.12,0.15,NA,NA,NA,NA,NA,NA,NA,NA
54,Guyana,Cntry/Terr,787,4,7.67,85,0.07,0.12,0.15,NA,NA,NA,NA,NA,NA,NA,NA
24,Cyprus,Cntry/Terr,1207,130.7,7.2,79,0.07,0.06,0.08,159,0.02,0.02,0.03,79.1,83.1,-0.01,-0.04
95,Bahrain,Cntry/Terr,1702,2238.9,2.47,82,0.06,0.17,0.21,NA,NA,NA,NA,NA,NA,NA,NA
51,Argentina,Cntry/Terr,45196,16.5,7.61,90,0.05,0.06,0.08,170,0.25,0.29,0.37,73.2,79.9,-0.17,-0.25
160,Tajikistan,Cntry/Terr,9538,68.1,4.75,34,0.05,0.19,0.24,NA,NA,NA,NA,NA,NA,NA,NA
168,Albania,Cntry/Terr,2878,105,8.26,84,0.05,0.05,0.06,NA,NA,NA,NA,NA,NA,NA,NA
94,Mauritania,Cntry/Terr,4650,4.5,7.06,63,0.05,0.19,0.24,NA,NA,NA,NA,NA,NA,NA,NA
142,Sierra Leone,Cntry/Terr,7977,110.5,11.38,45,0.05,0.2,0.26,NA,NA,NA,NA,NA,NA,NA,NA
8,Cabo Verde,Cntry/Terr,556,138,5.56,70,0.05,0.11,0.14,NA,NA,NA,NA,NA,NA,NA,NA
171,Egypt,Cntry/Terr,102334,102.8,5.77,89,0.05,0.11,0.14,169,0.03,0.08,0.11,69.8,74.3,-0.03,-0.17
31,El Salvador,Cntry/Terr,6486,313,7.11,65,0.05,0.07,0.09,NA,NA,NA,NA,NA,NA,NA,NA
40,Gabon,Cntry/Terr,2226,8.6,6.69,77,0.04,0.15,0.19,NA,NA,NA,NA,NA,NA,NA,NA
96,Mauritius,Cntry/Terr,1272,626.5,8.71,73,0.04,0.04,0.06,NA,NA,NA,NA,NA,NA,NA,NA
52,Guatemala,Cntry/Terr,17916,167.2,4.72,83,0.04,0.1,0.12,NA,NA,NA,NA,NA,NA,NA,NA
12,Chad,Cntry/Terr,16426,13,11.75,38,0.04,0.2,0.25,NA,NA,NA,NA,NA,NA,NA,NA
6,Cameroon,Cntry/Terr,26546,56.2,8.95,73,0.04,0.18,0.22,NA,NA,NA,NA,NA,NA,NA,NA
72,Afghanistan,Cntry/Terr,38928,59.6,6.21,75,0.04,0.18,0.22,NA,NA,NA,NA,NA,NA,NA,NA
120,Pakistan,Cntry/Terr,220892,286.5,6.86,78,0.04,0.11,0.13,NA,NA,NA,NA,NA,NA,NA,NA
128,Guinea-Bissau,Cntry/Terr,1968,70,9.32,40,0.04,0.17,0.22,NA,NA,NA,NA,NA,NA,NA,NA
180,Uruguay,Cntry/Terr,3474,19.8,9.48,66,0.04,0.03,0.04,NA,NA,NA,NA,NA,NA,NA,NA
114,Nicaragua,Cntry/Terr,6625,55,5.1,70,0.04,0.08,0.1,NA,NA,NA,NA,NA,NA,NA,NA
48,Azerbaijan,Cntry/Terr,10139,122.7,6.89,79,0.04,0.06,0.08,NA,NA,NA,NA,NA,NA,NA,NA
183,Yemen,Cntry/Terr,29826,56.5,5.97,36,0.04,0.15,0.19,NA,NA,NA,NA,NA,NA,NA,NA
23,Cuba,Cntry/Terr,11327,106.4,9.29,79,0.03,0.03,0.03,159,0.02,0.01,0.02,77,80.8,-0.01,-0.05
153,Sudan,Cntry/Terr,43849,24.8,7.06,82,0.03,0.12,0.15,NA,NA,NA,NA,NA,NA,NA,NA
81,Liberia,Cntry/Terr,5058,52.5,7.34,62,0.03,0.12,0.16,NA,NA,NA,NA,NA,NA,NA,NA
147,Somalia,Cntry/Terr,15893,25.3,10.54,58,0.03,0.14,0.18,NA,NA,NA,NA,NA,NA,NA,NA
145,Slovakia,Cntry/Terr,5460,113.5,10.12,60,0.03,0.03,0.03,140,0.01,0.01,0.01,74.2,81,0,-0.04
176,Belize,Cntry/Terr,398,17.4,4.81,60,0.03,0.07,0.09,NA,NA,NA,NA,NA,NA,NA,NA
110,Cura?ßao,Cntry/Terr,164,369.6,9.08,76,0.03,0.02,0.03,NA,NA,NA,NA,NA,NA,NA,NA
163,Trinidad and Tobago,Cntry/Terr,1399,272.8,8.67,72,0.03,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA
55,Haiti,Cntry/Terr,11403,413.7,8.42,60,0.03,0.07,0.08,NA,NA,NA,NA,NA,NA,NA,NA
38,French Guiana,Cntry/Terr,299,3.6,3,46,0.03,0.06,0.08,NA,NA,NA,NA,NA,NA,NA,NA
64,Iraq,Cntry/Terr,40223,92.6,4.74,93,0.03,0.1,0.12,NA,NA,NA,NA,NA,NA,NA,NA
62,Indonesia,Cntry/Terr,273524,151,6.6,87,0.03,0.05,0.07,NA,NA,NA,NA,NA,NA,NA,NA
125,Philippines,Cntry/Terr,109581,367.5,6,125,0.03,0.06,0.08,205,0.02,0.04,0.05,67.4,75.4,-0.02,-0.21
131,R?©union,Cntry/Terr,895,358.1,6.33,16,0.03,0.03,0.03,NA,NA,NA,NA,NA,NA,NA,NA
17,Comoros,Cntry/Terr,870,467.3,7.09,33,0.03,0.1,0.12,NA,NA,NA,NA,NA,NA,NA,NA
