LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
ES07,Castilla y Leon,Spain,2401.521003,25.48735994,11.91,181,1.546740746,0.559850529,0.80688362,365,1.723491069,0.62382619,0.899088432,15.00178264,80.32521902,85.66645433,82.93069966,-1.460607735,-1.365177567,-1.414056434
ES09,Catalunia,Spain,7623.413639,237.3933808,8.41,181,1.590581799,0.834157497,1.202228068,365,1.189231023,0.623674918,0.898870411,10.5728745,79.67766836,85.32796746,82.43391182,-1.369634565,-1.276869324,-1.324383228
ES14,Murcia (Region de),Spain,1479.460206,130.7636738,7.65,181,1.174946975,0.743023034,1.070880679,365,0.986170493,0.623642945,0.898824329,9.234522121,79.25961262,84.50893232,81.82025637,-1.292525212,-1.135861432,-1.216103856
TTO,Trinidad and Tobago,Cntry/Terr,1399.491,272.805,8.316,181,1.017299616,1.072282761,1.545425699,365,0.58950004,0.621361416,0.89553608,9.383427407,70.13445922,75.65593974,72.82786435,-0.829761438,-0.679639501,-0.756531225
IT12,Lazio,Italy,5885.980142,341.7079017,9.7,181,1.562285276,0.757183541,1.091289486,365,1.272855127,0.616907147,0.889116373,11.58059788,78.84087566,84.41470274,81.5598157,-1.349107628,-1.188738451,-1.270878761
ES03,Asturias (Principado de),Spain,1024.060356,96.57302491,12.64,181,1.248469663,0.47803897,0.68897285,365,1.604397622,0.614323768,0.885393081,15.44984739,78.82466244,84.81610256,81.74731616,-1.266737447,-1.208026861,-1.238098137
ES01,Andalucia,Spain,8349.379562,95.31364013,8.33,181,1.187814464,0.706376791,1.018064344,365,1.031693425,0.613533774,0.884254504,10.36543204,78.39380992,83.85091372,81.05581178,-1.198199985,-1.057984463,-1.129802169
IT10,Umbria,Italy,884.4952379,104.6532522,11.4,181,1.812532987,0.723932224,1.043366082,365,1.513857783,0.604640269,0.871436755,13.58514528,80.02300656,85.00386768,82.45269491,-1.407707433,-1.223123315,-1.3176664
ES16,Pais Vasco,Spain,2202.965935,304.5294354,9.89,181,1.433501876,0.639439968,0.921591762,365,1.348636378,0.601584146,0.867032124,12.19629748,79.94216097,85.5332543,82.66952357,-1.325950284,-1.287748744,-1.307315386
ES13,Madrid (Comunidad de),Spain,6611.809049,823.5935536,7.06,181,1.101645155,0.613796303,0.884632875,365,1.060980429,0.591139409,0.851978664,8.928779288,81.06416091,86.285958,83.611379,-1.448455278,-1.350433203,-1.400639631
CHE,Switzerland,Cntry/Terr,8654.618,219.016,8.011,181,0.755404202,0.430518163,0.620483567,365,1.031125811,0.587656764,0.846959308,9.358952498,80.64932379,84.58768132,82.5704738,-1.358329054,-1.129159627,-1.24653909
ES17,"Rioja, La",Spain,315.7410548,62.58494644,10,181,1.226265367,0.551705577,0.795144721,365,1.304866737,0.587068897,0.846112045,12.25261248,80.02814127,85.63660546,82.76397746,-1.283516697,-1.254468924,-1.269347052
IT19,Sicilia,Italy,5005.164692,193.9039583,10.4,181,1.432305047,0.723941409,1.04337932,365,1.135826761,0.574090015,0.827406254,11.95917614,77.4833463,83.52143825,80.42875701,-1.164167933,-1.001385216,-1.084761729
ESP,Spain,Cntry/Terr,46754.783,93.735,9.017,181,1.293581129,0.661536092,0.953437764,365,1.122323678,0.573955204,0.827211957,10.82836699,79.66434933,85.19368091,82.36158425,-1.265427861,-1.167120282,-1.217472944
GRC,Greece,Cntry/Terr,10423.056,80.862,10.812,181,1.516437368,0.711697637,1.025733005,365,1.197729342,0.562120903,0.810155792,12.66451934,78.74625484,83.79228728,81.20773408,-1.241379555,-0.981148296,-1.114437477
ES11,Extremadura,Spain,1063.075772,25.53383704,10.56,181,1.403724206,0.642555848,0.926082519,365,1.211578736,0.55460111,0.799317903,12.84408729,79.03911882,84.84329587,81.8704247,-1.154315644,-1.054305551,-1.105530233
ZMB,Zambia,Cntry/Terr,18383.956,24.73,6.576,181,0.19196116,0.923711089,1.33129703,365,0.114991572,0.553335842,0.797494337,6.444388551,60.56707081,66.62075722,63.52008857,-0.390912759,-0.341454742,-0.366786897
IT11,Marche,Italy,1529.183236,162.6748442,11.2,181,1.931934446,0.790722966,1.139628125,365,1.337315209,0.547350792,0.788868395,13.21421397,79.90353959,85.2378618,82.50564799,-1.252729341,-1.099014977,-1.177746724
WWW,World,Global,7794798.729,59.917,7.546,181,0.548266847,0.675935779,0.974191288,365,0.440140807,0.542631605,0.782066874,8.179769491,69.6186866,74.5094984,72.00444845,-0.741234105,-0.648018086,-0.695762876
