"","LocID","Location","Loc_type","Mid_2020_pop","PopDensity","CDR_year","Days_Est","CCDR_Est","CCMR_Est","ISCDR_Est","Days_Proj","CCDR_Proj","CCMR_Proj","ISCDR_Proj","2020_e0_M","2020_e0_F","Diff_e0_M","Diff_e0_F"
"316","US50","Vermont","U.S.A.",634.324811868138,26.4789659234147,9.63,103,0.313704095345243,0.234224803198646,0.270489272696014,195,0.222085529200784,0.165818489915068,0.191491772537168,76.7054919815199,81.7039649034054,-0.135740425577126,-0.167877937961904
"64","CMR","Cameroon","Cntry/Terr",26545.864,56.157,8.946,100,0.0431547453117367,0.215542228211326,0.248914119034243,192,0.78051656974934,3.89839586317473,4.50197522769177,57.2158675909631,59.5533619043949,-1.03814644327458,-1.27739842641581
"227","PAK","Pakistan","Cntry/Terr",220892.331,286.546,6.8595,105,0.0693537626062459,0.214467123608419,0.247672558541327,197,0.354828922693563,1.0972604162115,1.26714663812722,65.9329989517566,67.5862570558102,-0.503387990372829,-0.85854047783279
"102","DEU","Germany","Cntry/Terr",83783.945,240.372,11.451,115,0.341493255944358,0.210940779490167,0.243600238945811,207,0.243846538434514,0.150624289054002,0.173945089675314,78.99184739576,83.7055720452054,-0.140075676287211,-0.14247971750801
"94","COM","Comoros","Cntry/Terr",869.595,467.273,7.087,60,0.0491033182113513,0.207116344019485,0.239183675222368,152,1.21540791509114,5.12655464102281,5.92028690962586,61.4233367949769,64.9051688540508,-1.32979427672206,-1.41243612422161
"79","CN17","Hubei","China",60772.8837347496,326.911693032542,7,173,0.157070356226188,0.202550574954813,0.233910998986822,NA,NA,NA,NA,NA,NA,NA,NA
"20","BHS","Bahamas","Cntry/Terr",393.248,39.286,6.972,91,0.112503453906335,0.20234875299222,0.233677929409517,183,0.133607639962568,0.240306749685815,0.277512872500239,71.5876809474687,76.0486094053951,-0.124423149151639,-0.143891845131321
"113","ES05","Canarias","Spain",2136.11296100282,286.842078824066,7.05,111,0.250062694208547,0.202280196482948,0.233598758458881,203,0.225863430102785,0.182704977902067,0.210992755317884,72.9026537910399,85.0052772691719,-0.101363137188457,-0.186953294508612
"290","US23","Maine","U.S.A.",1355.88706542597,16.9615002598975,10.99,96,0.295240297077571,0.201684351638413,0.232910660373466,188,0.171781938611576,0.117347561477906,0.135516205471586,75.9707234038096,81.0086617060953,-0.0888471438806704,-0.126824739825793
"9","ATG","Antigua and Barbuda","Cntry/Terr",97.928,222.564,6.506,85,0.13190963829368,0.198426466607985,0.229148364748179,177,0.217194325744684,0.326716858466938,0.377301653016224,75.7498443992543,78.0623746887511,-0.21462573696131,-0.181827920319677
"326","VIR","United States Virgin Islands","Cntry/Terr",104.423,298.351,9.0515,87,0.24172241087064,0.196649566098185,0.227096350956363,179,0.137697119414551,0.112021383074541,0.129365387527025,78.0646722409917,83.0612139783469,-0.0775997533721835,-0.147984500690782
"125","ES18","Ceuta","Spain",83.6728982945672,4183.64491472836,6.29,97,0.180378399849627,0.18978174498749,0.219165201428776,189,0.140963588486103,0.148312191619913,0.171275015691652,72.0813209604564,82.798543301267,-0.0728840241654325,NA
"21","BIH","Bosnia and Herzegovina","Cntry/Terr",3280.815,64.33,11.08,103,0.201453614066917,0.182602217368028,0.210874084614635,195,0.107364629699539,0.0973177847458265,0.112385266021383,74.9986236342262,79.8947576294304,-0.0598144897864188,-0.092916448890108
"11","AUT","Austria","Cntry/Terr",9006.4,109.289,9.93,112,0.255800240463924,0.181251582516411,0.209314334179572,204,0.174059147953939,0.123332550277876,0.142427835860383,79.2595267565871,83.8627913563425,-0.111603755787712,-0.118139916082214
"252","SUR","Suriname","Cntry/Terr",586.634,3.76,7.4605,87,0.093226194138788,0.17821121514029,0.205803233949942,179,2.43348553245813,4.65185152919638,5.37208664342447,66.7653958960229,73.4212457097687,-1.81882873048944,-1.77687812354037
"246","SLV","El Salvador","Cntry/Terr",6486.201,313.041,7.1055,92,0.106721544908082,0.17761785046514,0.205118000032641,184,1.33614062531264,2.22375365716062,2.56805214975608,67.5204825464981,76.8172755052492,-1.1637387691538,-1.18676446178952
"283","US16","Idaho","U.S.A.",1774.65462985216,8.28020356865584,8.16,97,0.195606522406827,0.176918646079143,0.204310539493657,189,0.127331083832601,0.115166113472438,0.132997009057009,77.325743417589,81.2500135893528,-0.094626209422259,-0.127614839701707
"245","SLE","Sierra Leone","Cntry/Terr",7976.985,110.515,11.3755,72,0.0382349973078801,0.176264987105248,0.203555676054663,164,0.0337702717448858,0.155682409644795,0.179786347053389,54.0844444213017,54.990410870644,-0.0309215815296398,-0.812667478733054
"173","IT15","Campania","Italy",5801.7729037411,424534.697591769,9.2,113,0.241171321620639,0.173964595328295,0.200899120087207,205,0.188830544198368,0.136209516895892,0.157298512609694,78.2119281017683,84.0906921246959,-0.123028650367559,-0.133626791131292
"256","SWZ","Eswatini","Cntry/Terr",1160.164,67.451,9.1725,77,0.0450675200107177,0.16843811538418,0.194516988390483,169,0.320915617216656,1.19940972453043,1.38511148103139,55.8351476910665,64.1342331649547,-0.225355409699098,-0.630972832159756
