LocID,Location,Loc_type,Mid2020Pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
MYS,Malaysia,Cntry/Terr,"32,365.998",98.5,5.27,94,0.01,0.03,0.03,140,0.01,0.02,0.02,74.34,78.4,0.0,-0.06
URY,Uruguay,Cntry/Terr,"3,473.727",19.8,9.48,81,0.03,0.03,0.03,NA,NA,NA,NA,NA,NA,NA,NA
TUN,Tunisia,Cntry/Terr,"11,818.618",76.1,6.28,92,0.02,0.03,0.03,NA,NA,NA,NA,NA,NA,NA,NA
CUB,Cuba,Cntry/Terr,"11,326.616",106.4,9.29,94,0.03,0.02,0.03,140,0.02,0.02,0.02,76.97,80.8,0.0,-0.05
COD,Democratic Republic of the Congo,Cntry/Terr,"89,561.404",39.5,9.17,91,0.01,0.02,0.03,NA,NA,NA,NA,NA,NA,NA,NA
SVK,Slovakia,Cntry/Terr,"5,459.643",113.5,10.12,75,0.03,0.02,0.03,121,0.02,0.01,0.02,74.16,81.0,0.0,-0.04
MDG,Madagascar,Cntry/Terr,"27,691.019",47.6,5.85,34,0.01,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
CUW,Curaçao,Cntry/Terr,164.100,369.6,9.08,91,0.02,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
NPL,Nepal,Cntry/Terr,"29,136.808",203.3,6.31,35,0.01,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
JAM,Jamaica,Cntry/Terr,"2,961.161",273.4,7.63,93,0.01,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
SGP,Singapore,Cntry/Terr,"5,850.343",8357.6,4.83,91,0.02,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
BEN,Benin,Cntry/Terr,"12,123.198",107.5,8.58,75,0.00,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
LBY,Libya,Cntry/Terr,"6,871.287",3.9,5.15,79,0.01,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
NZL,New Zealand,Cntry/Terr,"4,822.233",18.3,7.11,84,0.02,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
GEO,Georgia,Cntry/Terr,"3,989.175",57.4,12.77,77,0.02,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
ZMB,Zambia,Cntry/Terr,"18,383.956",24.7,6.33,79,0.00,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
PRY,Paraguay,Cntry/Terr,"7,132.530",18.0,5.60,91,0.01,0.01,0.02,NA,NA,NA,NA,NA,NA,NA,NA
KOR,Republic of Korea,Cntry/Terr,"51,269.183",527.3,6.40,122,0.02,0.01,0.02,168,0.01,0.01,0.01,80.03,86.0,0.0,-0.03
REU,Réunion,Cntry/Terr,895.308,358.1,6.33,31,0.01,0.01,0.02,NA,NA,NA,NA,NA,NA,NA,NA
CRI,Costa Rica,Cntry/Terr,"5,094.114",99.8,5.24,93,0.01,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
JOR,Jordan,Cntry/Terr,"10,203.140",114.9,3.93,85,0.00,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
