LocID,Location,Loc_type,Mid2020Pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
CAN,Canada,Cntry/Terr,"37,742.157",4.2,7.83,102,0.79,0.61,0.72,148,0.53,0.41,0.48,80.34,84.2,-0.3,-0.30
PAN,Panama,Cntry/Terr,"4,314.768",58.0,5.16,102,0.40,0.59,0.70,148,0.47,0.70,0.84,75.11,81.3,-0.5,-0.60
US01,Alabama,U.S.A.,"4,944.686",37.6,10.92,86,0.70,0.58,0.69,190,1.41,1.18,1.40,72.18,77.8,-0.7,-0.70
US04,Arizona,U.S.A.,"7,262.286",24.7,8.23,90,0.72,0.58,0.69,194,1.93,1.55,1.84,75.69,81.2,-1.4,-1.29
US32,Nevada,U.S.A.,"3,070.509",10.8,8.22,90,0.63,0.57,0.68,194,0.53,0.48,0.57,75.57,80.6,-0.4,-0.40
LUX,Luxembourg,Cntry/Terr,625.976,241.7,7.11,99,0.65,0.57,0.68,145,0.46,0.41,0.49,80.05,84.2,-0.3,-0.26
MDA,Republic of Moldova,Cntry/Terr,"4,033.963",122.8,11.81,92,0.44,0.54,0.64,138,0.58,0.71,0.85,67.53,75.9,-0.2,-0.30
BR51,Mato Grosso,Brazil,"3,524.464",3.9,NA,78,0.37,0.54,0.64,124,1.43,2.04,2.43,NA,NA,NA,NA
ARM,Armenia,Cntry/Terr,"2,963.234",104.1,9.80,86,0.44,0.53,0.63,NA,NA,NA,NA,NA,NA,NA,NA
CHE,Switzerland,Cntry/Terr,"8,654.618",219.0,8.11,107,0.77,0.53,0.63,153,0.94,0.65,0.77,81.48,85.3,-0.5,-0.46
BR29,Bahia,Brazil,"15,043.792",26.6,NA,83,0.37,0.53,0.63,129,2.28,3.26,3.88,NA,NA,NA,NA
US29,Missouri,U.S.A.,"6,200.300",34.7,10.12,92,0.61,0.48,0.58,196,0.50,0.40,0.47,74.69,79.9,-0.3,-0.32
BOL,Bolivia (Plurinational State of),Cntry/Terr,"11,673.029",10.8,6.79,82,0.27,0.47,0.56,128,1.85,3.24,3.86,67.43,73.1,-1.5,-1.63
ARE,United Arab Emirates,Cntry/Terr,"9,890.400",118.3,1.62,91,0.12,0.47,0.55,NA,NA,NA,NA,NA,NA,NA,NA
QAT,Qatar,Cntry/Terr,"2,881.060",248.2,1.32,84,0.13,0.46,0.55,NA,NA,NA,NA,NA,NA,NA,NA
US53,Washington,U.S.A.,"7,627.572",44.2,7.70,115,0.52,0.46,0.55,219,0.39,0.35,0.41,77.58,82.1,-0.3,-0.35
MKD,North Macedonia,Cntry/Terr,"2,083.380",82.6,10.25,90,0.42,0.46,0.54,NA,NA,NA,NA,NA,NA,NA,NA
US31,Nebraska,U.S.A.,"1,952.141",9.8,8.79,83,0.54,0.44,0.53,187,0.61,0.50,0.59,77.05,81.4,-0.4,-0.40
US06,California,U.S.A.,"40,011.015",99.0,6.78,101,0.48,0.44,0.52,205,0.68,0.61,0.73,78.04,82.9,-0.6,-0.61
US37,North Carolina,U.S.A.,"10,501.123",83.2,9.07,86,0.48,0.42,0.50,190,0.51,0.44,0.52,75.21,80.2,-0.3,-0.34
US45,South Carolina,U.S.A.,"5,145.408",66.0,9.84,91,0.49,0.40,0.48,195,1.04,0.87,1.03,73.74,79.3,-0.6,-0.60
MRT,Mauritania,Cntry/Terr,"4,649.660",4.5,7.06,78,0.10,0.40,0.48,NA,NA,NA,NA,NA,NA,NA,NA
BHR,Bahrain,Cntry/Terr,"1,701.583",2238.9,2.47,97,0.12,0.39,0.47,NA,NA,NA,NA,NA,NA,NA,NA
US21,Kentucky,U.S.A.,"4,519.893",43.9,10.82,91,0.46,0.39,0.47,195,0.34,0.29,0.34,72.75,77.8,-0.2,-0.21
DOM,Dominican Republic,Cntry/Terr,"10,847.904",224.5,6.25,96,0.22,0.38,0.45,142,0.18,0.31,0.37,70.97,77.1,-0.2,-0.36
SAU,Saudi Arabia,Cntry/Terr,"34,813.867",16.2,3.58,88,0.14,0.38,0.45,NA,NA,NA,NA,NA,NA,NA,NA
US55,Wisconsin,U.S.A.,"5,882.866",41.8,9.09,92,0.49,0.38,0.45,196,0.44,0.34,0.41,76.84,81.4,-0.3,-0.30
HND,Honduras,Cntry/Terr,"9,904.608",88.5,4.48,86,0.15,0.37,0.44,132,0.19,0.47,0.55,72.89,77.4,-0.2,-0.35
OMN,Oman,Cntry/Terr,"5,106.622",16.5,2.45,81,0.11,0.36,0.43,NA,NA,NA,NA,NA,NA,NA,NA
US38,North Dakota,U.S.A.,769.967,4.3,8.49,81,0.44,0.35,0.42,185,0.33,0.26,0.31,77.19,81.9,-0.2,-0.25
TUR,Turkey,Cntry/Terr,"84,339.067",109.6,5.51,94,0.23,0.35,0.42,140,0.16,0.25,0.30,74.80,80.5,-0.1,-0.19
US12,Florida,U.S.A.,"21,586.295",154.3,9.70,98,0.53,0.35,0.42,202,1.57,1.04,1.23,76.11,81.7,-1.0,-0.99
PRT,Portugal,Cntry/Terr,"10,196.707",111.3,10.87,95,0.58,0.34,0.41,141,0.55,0.32,0.39,79.03,84.7,-0.2,-0.21
ZAF,South Africa,Cntry/Terr,"59,308.690",48.9,9.45,85,0.13,0.33,0.39,NA,NA,NA,NA,NA,NA,NA,NA
US46,South Dakota,U.S.A.,893.132,4.5,9.19,75,0.43,0.33,0.39,179,0.41,0.32,0.38,76.43,81.7,-0.2,-0.28
US40,Oklahoma,U.S.A.,"3,989.492",22.4,10.29,89,0.38,0.33,0.39,193,0.28,0.24,0.29,73.58,78.5,-0.2,-0.20
MDV,Maldives,Cntry/Terr,540.542,1801.8,2.79,50,0.11,0.31,0.37,NA,NA,NA,NA,NA,NA,NA,NA
US48,Texas,U.S.A.,"28,999.321",42.7,7.00,94,0.29,0.31,0.37,198,0.35,0.38,0.45,76.25,81.1,-0.3,-0.34
US20,Kansas,U.S.A.,"2,945.539",13.9,9.29,86,0.36,0.30,0.35,190,0.28,0.23,0.27,76.13,80.8,-0.2,-0.21
DNK,Denmark,Cntry/Terr,"5,792.203",136.5,9.88,97,0.39,0.28,0.34,143,0.29,0.21,0.25,78.98,82.8,-0.1,-0.14
AFG,Afghanistan,Cntry/Terr,"38,928.341",59.6,6.21,90,0.06,0.28,0.34,NA,NA,NA,NA,NA,NA,NA,NA
IRQ,Iraq,Cntry/Terr,"40,222.503",92.6,4.74,108,0.07,0.28,0.33,NA,NA,NA,NA,NA,NA,NA,NA
YEM,Yemen,Cntry/Terr,"29,825.968",56.5,5.97,51,0.06,0.27,0.32,NA,NA,NA,NA,NA,NA,NA,NA
US47,Tennessee,U.S.A.,"6,847.752",64.1,10.44,89,0.31,0.26,0.31,193,0.55,0.48,0.57,73.43,78.5,-0.3,-0.33
US50,Vermont,U.S.A.,634.325,26.5,9.63,91,0.36,0.26,0.31,195,0.19,0.14,0.16,76.73,81.7,-0.1,-0.15
US49,Utah,U.S.A.,"3,194.497",15.0,5.81,83,0.21,0.26,0.31,187,0.38,0.46,0.55,77.20,81.1,-0.4,-0.35
CAF,Central African Republic,Cntry/Terr,"4,829.764",7.8,11.86,28,0.05,0.25,0.30,NA,NA,NA,NA,NA,NA,NA,NA
GNB,Guinea-Bissau,Cntry/Terr,"1,967.998",70.0,9.32,55,0.05,0.25,0.30,NA,NA,NA,NA,NA,NA,NA,NA
GUF,French Guiana,Cntry/Terr,298.682,3.6,3.00,61,0.10,0.25,0.29,NA,NA,NA,NA,NA,NA,NA,NA
GTM,Guatemala,Cntry/Terr,"17,915.567",167.2,4.72,98,0.09,0.24,0.29,NA,NA,NA,NA,NA,NA,NA,NA
ROU,Romania,Cntry/Terr,"19,237.682",83.6,13.21,90,0.31,0.24,0.29,136,0.23,0.18,0.21,72.67,79.5,-0.1,-0.12
US05,Arkansas,U.S.A.,"3,049.575",22.6,10.85,87,0.29,0.24,0.28,191,0.90,0.74,0.88,73.04,78.3,-0.5,-0.48
COL,Colombia,Cntry/Terr,"50,882.884",45.9,5.73,90,0.16,0.24,0.28,136,0.67,1.00,1.19,74.13,79.6,-0.6,-0.56
BHS,Bahamas,Cntry/Terr,393.248,39.3,6.97,79,0.13,0.23,0.27,NA,NA,NA,NA,NA,NA,NA,NA
BR52,Goias,Brazil,"7,098.918",20.9,NA,86,0.16,0.23,0.27,132,1.50,2.15,2.56,NA,NA,NA,NA
DEU,Germany,Cntry/Terr,"83,783.945",240.4,11.45,103,0.38,0.23,0.27,149,0.28,0.17,0.20,79.02,83.7,-0.1,-0.12
ATG,Antigua and Barbuda,Cntry/Terr,97.928,222.6,6.51,73,0.15,0.22,0.27,NA,NA,NA,NA,NA,NA,NA,NA
VIR,United States Virgin Islands,Cntry/Terr,104.423,298.4,9.05,75,0.28,0.22,0.26,NA,NA,NA,NA,NA,NA,NA,NA
US23,Maine,U.S.A.,"1,355.887",17.0,10.99,84,0.33,0.22,0.26,188,0.27,0.18,0.21,75.92,81.0,-0.1,-0.17
BR41,Parana,Brazil,"11,565.208",58.0,NA,85,0.15,0.22,0.26,131,1.19,1.70,2.03,NA,NA,NA,NA
RUS,Russian Federation,Cntry/Terr,"145,934.460",8.9,12.89,87,0.22,0.21,0.25,133,0.41,0.40,0.48,67.09,77.7,-0.1,-0.19
BR43,Rio Grande do Sul,Brazil,"11,507.839",40.9,NA,87,0.15,0.21,0.25,133,0.95,1.37,1.63,NA,NA,NA,NA
CN17,Hubei,China,"60,772.884",326.9,7.00,161,0.17,0.21,0.25,NA,NA,NA,NA,NA,NA,NA,NA
CMR,Cameroon,Cntry/Terr,"26,545.864",56.2,8.95,88,0.04,0.21,0.25,NA,NA,NA,NA,NA,NA,NA,NA
GAB,Gabon,Cntry/Terr,"2,225.728",8.6,6.69,92,0.06,0.21,0.25,NA,NA,NA,NA,NA,NA,NA,NA
AUT,Austria,Cntry/Terr,"9,006.400",109.3,9.93,100,0.28,0.19,0.23,146,0.21,0.14,0.17,79.28,83.9,-0.1,-0.10
US16,Idaho,U.S.A.,"1,774.655",8.3,8.16,85,0.22,0.19,0.23,189,0.12,0.10,0.12,77.33,81.3,-0.1,-0.12
BR42,Santa Catarina,Brazil,"7,247.033",75.7,NA,86,0.13,0.19,0.22,132,2.35,3.36,4.01,NA,NA,NA,NA
BIH,Bosnia and Herzegovina,Cntry/Terr,"3,280.815",64.3,11.08,91,0.21,0.18,0.22,NA,NA,NA,NA,NA,NA,NA,NA
COM,Comoros,Cntry/Terr,869.595,467.3,7.09,48,0.04,0.18,0.21,NA,NA,NA,NA,NA,NA,NA,NA
EGY,Egypt,Cntry/Terr,"102,334.403",102.8,5.77,104,0.07,0.18,0.21,150,0.05,0.13,0.15,69.83,74.3,0.0,-0.18
SLE,Sierra Leone,Cntry/Terr,"7,976.985",110.5,11.38,60,0.04,0.18,0.21,NA,NA,NA,NA,NA,NA,NA,NA
PAK,Pakistan,Cntry/Terr,"220,892.331",286.5,6.86,93,0.06,0.17,0.21,NA,NA,NA,NA,NA,NA,NA,NA
BR31,Minas Gerais,Brazil,"21,411.788",36.5,NA,82,0.12,0.17,0.20,128,0.80,1.14,1.36,NA,NA,NA,NA
HUN,Hungary,Cntry/Terr,"9,660.350",106.7,12.74,97,0.22,0.17,0.20,143,0.17,0.13,0.15,73.31,80.3,-0.1,-0.09
TCD,Chad,Cntry/Terr,"16,425.859",13.0,11.75,53,0.03,0.17,0.20,NA,NA,NA,NA,NA,NA,NA,NA
US54,West Virginia,U.S.A.,"1,828.890",29.3,12.82,75,0.23,0.17,0.20,179,0.16,0.12,0.14,72.43,77.8,-0.1,-0.11
ABW,Aruba,Cntry/Terr,106.766,593.1,9.38,66,0.16,0.17,0.20,NA,NA,NA,NA,NA,NA,NA,NA
GUM,Guam,Cntry/Terr,168.783,312.6,5.36,90,0.12,0.16,0.19,NA,NA,NA,NA,NA,NA,NA,NA
US56,Wyoming,U.S.A.,584.633,2.3,8.23,60,0.19,0.16,0.19,164,0.10,0.08,0.10,76.80,81.3,-0.1,-0.11
ISR,Israel,Cntry/Terr,"8,655.541",400.0,5.32,92,0.14,0.16,0.19,138,0.11,0.12,0.14,81.42,84.5,-0.1,-0.09
SDN,Sudan,Cntry/Terr,"43,849.269",24.8,7.06,97,0.04,0.15,0.18,NA,NA,NA,NA,NA,NA,NA,NA
FIN,Finland,Cntry/Terr,"5,540.718",18.2,9.90,91,0.24,0.15,0.18,137,0.21,0.14,0.16,79.19,84.7,-0.1,-0.09
EST,Estonia,Cntry/Terr,"1,326.539",31.3,11.89,87,0.22,0.15,0.18,133,0.32,0.22,0.26,74.37,82.7,-0.1,-0.12
BLR,Belarus,Cntry/Terr,"9,449.321",46.6,12.56,80,0.16,0.15,0.18,NA,NA,NA,NA,NA,NA,NA,NA
TJK,Tajikistan,Cntry/Terr,"9,537.642",68.1,4.75,49,0.04,0.15,0.18,NA,NA,NA,NA,NA,NA,NA,NA
PRI,Puerto Rico,Cntry/Terr,"2,860.840",322.5,9.83,91,0.21,0.14,0.16,137,0.16,0.11,0.13,76.67,83.5,-0.1,-0.10
US41,Oregon,U.S.A.,"4,244.225",17.1,8.84,94,0.17,0.14,0.16,198,0.38,0.30,0.36,77.01,81.6,-0.3,-0.27
SVN,Slovenia,Cntry/Terr,"2,078.932",103.2,10.20,95,0.20,0.14,0.16,141,0.15,0.10,0.12,78.68,84.1,-0.1,-0.07
MLI,Mali,Cntry/Terr,"20,250.834",16.6,9.23,79,0.02,0.13,0.16,NA,NA,NA,NA,NA,NA,NA,NA
SOM,Somalia,Cntry/Terr,"15,893.219",25.3,10.54,73,0.03,0.13,0.16,NA,NA,NA,NA,NA,NA,NA,NA
NOR,Norway,Cntry/Terr,"5,421.242",14.8,7.95,99,0.17,0.13,0.16,145,0.11,0.09,0.10,80.57,84.4,-0.1,-0.07
DZA,Algeria,Cntry/Terr,"43,851.043",18.4,4.73,101,0.07,0.13,0.16,NA,NA,NA,NA,NA,NA,NA,NA
CPV,Cabo Verde,Cntry/Terr,555.988,138.0,5.56,85,0.05,0.13,0.16,NA,NA,NA,NA,NA,NA,NA,NA
LBR,Liberia,Cntry/Terr,"5,057.677",52.5,7.34,77,0.03,0.13,0.15,NA,NA,NA,NA,NA,NA,NA,NA
SSD,South Sudan,Cntry/Terr,"11,193.729",18.3,10.23,37,0.03,0.11,0.14,NA,NA,NA,NA,NA,NA,NA,NA
SRB,Serbia,Cntry/Terr,"8,737.370",99.9,13.23,92,0.13,0.11,0.13,138,0.09,0.08,0.09,73.49,78.7,0.0,-0.06
SUR,Suriname,Cntry/Terr,586.634,3.8,7.46,75,0.06,0.11,0.13,NA,NA,NA,NA,NA,NA,NA,NA
GUY,Guyana,Cntry/Terr,786.559,4.0,7.67,100,0.06,0.11,0.13,NA,NA,NA,NA,NA,NA,NA,NA
GLP,Guadeloupe,Cntry/Terr,400.127,245.8,8.49,85,0.15,0.10,0.12,NA,NA,NA,NA,NA,NA,NA,NA
COG,Congo,Cntry/Terr,"5,518.092",16.2,6.62,80,0.02,0.10,0.12,NA,NA,NA,NA,NA,NA,NA,NA
ISL,Iceland,Cntry/Terr,341.250,3.4,6.79,92,0.12,0.10,0.12,138,0.08,0.07,0.08,81.63,84.6,-0.1,-0.05
AZE,Azerbaijan,Cntry/Terr,"10,139.175",122.7,6.89,94,0.05,0.10,0.12,NA,NA,NA,NA,NA,NA,NA,NA
POL,Poland,Cntry/Terr,"37,846.605",123.6,10.37,100,0.13,0.10,0.12,146,0.09,0.07,0.08,74.95,82.6,0.0,-0.06
CZE,Czechia,Cntry/Terr,"10,708.982",138.6,10.68,90,0.13,0.10,0.11,136,0.12,0.09,0.11,76.85,82.0,0.0,-0.06
MTQ,Martinique,Cntry/Terr,375.265,354.0,9.40,87,0.16,0.10,0.11,NA,NA,NA,NA,NA,NA,NA,NA
