LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
CN31,Xinjiang,China,"25,869.746",15.6,4.56,324,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN25,Yunnan,China,"49,811.822",126.4,6.32,318,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
CN11,Zhejiang,China,"59,983.359",588.1,5.58,317,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA
IT13,Abruzzo,Italy,"1,314.662",121.5,11.20,298,1.13,0.57,0.71,12.66,0.92,79.1,85.0,82.0,-0.88,-0.78,-0.83
IT17,Basilicata,Italy,564.286,56.1,11.10,285,0.58,0.30,0.37,12.09,0.45,78.3,85.2,81.7,-0.44,-0.40,-0.42
IT21,Bolzano (Provincia autonoma di),Italy,531.191,71.8,8.30,296,1.72,1.04,1.29,10.34,1.39,78.8,85.0,81.8,-1.68,-1.45,-1.57
IT18,Calabria,Italy,"1,949.987",128.1,10.10,293,0.30,0.17,0.21,11.00,0.24,78.9,85.0,81.8,-0.26,-0.23,-0.24
IT15,Campania,Italy,"5,801.773",424.5,9.20,297,0.60,0.40,0.50,10.18,0.49,77.8,83.7,80.7,-0.57,-0.49,-0.53
IT08,Emilia-Romagna,Italy,"4,468.697",164.5,11.20,311,2.04,1.00,1.25,13.28,1.73,79.2,84.6,81.8,-1.64,-1.43,-1.54
IT06,Friuli-Venezia Giulia,Italy,"1,218.962",155.1,11.90,300,1.64,0.77,0.96,13.55,1.35,79.6,84.8,82.2,-1.22,-1.09,-1.16
IT12,Lazio,Italy,"5,885.980",341.7,9.70,302,0.78,0.43,0.54,10.94,0.64,79.5,85.0,82.2,-0.70,-0.61,-0.65
IT07,Liguria,Italy,"1,557.702",192.2,14.30,305,2.23,0.92,1.16,16.50,1.86,78.6,84.2,81.3,-1.40,-1.25,-1.33
IT03,Lombardia,Italy,"10,073.686",422.2,9.90,315,2.90,1.56,1.95,12.90,2.49,78.1,83.9,80.9,-2.44,-2.19,-2.32
IT11,Marche,Italy,"1,529.183",162.7,11.20,306,1.23,0.58,0.73,12.89,1.03,80.2,85.5,82.8,-0.97,-0.85,-0.91
IT14,Molise,Italy,306.556,68.8,12.10,292,0.78,0.37,0.46,13.23,0.62,79.5,85.3,82.4,-0.56,-0.52,-0.54
IT01,Piemonte,Italy,"4,369.052",172.3,12.30,303,2.19,1.04,1.30,14.58,1.81,78.2,84.0,81.0,-1.54,-1.35,-1.45
IT16,Puglia,Italy,"4,034.220",206.6,9.60,304,0.74,0.42,0.52,10.82,0.61,79.6,85.0,82.2,-0.68,-0.58,-0.63
IT20,Sardegna,Italy,"1,643.577",68.2,9.90,293,0.57,0.30,0.37,11.06,0.45,79.6,85.6,82.6,-0.48,-0.44,-0.46
IT19,Sicilia,Italy,"5,005.165",193.9,10.40,296,0.60,0.35,0.43,11.30,0.48,78.1,84.1,81.0,-0.51,-0.43,-0.47
IT09,Toscana,Italy,"3,740.109",295.7,11.60,299,1.20,0.57,0.71,13.01,0.98,80.1,85.3,82.7,-0.92,-0.80,-0.86
IT22,Trento (Provincia autonoma di),Italy,541.866,87.3,9.30,296,2.15,1.17,1.46,11.47,1.74,79.1,85.0,82.0,-1.94,-1.67,-1.81
IT10,Umbria,Italy,884.495,104.7,11.40,295,0.88,0.40,0.51,12.77,0.71,80.8,85.6,83.1,-0.68,-0.59,-0.63
IT02,Valle d'Aosta/Vallee d'Aoste,Italy,125.953,38.7,11.70,297,3.71,1.89,2.36,15.30,3.01,75.6,83.0,79.2,-2.46,-2.25,-2.36
IT05,Veneto,Italy,"4,914.725",267.2,10.00,313,1.56,0.83,1.03,11.77,1.33,79.5,85.1,82.2,-1.36,-1.21,-1.29
MX01,Aguascalientes,Mexico,"1,360.852",242.3,4.37,265,1.39,2.63,3.28,6.25,1.01,70.6,76.8,73.6,-2.41,-2.04,-2.23
MX02,Baja California,Mexico,"3,605.789",50.5,4.88,275,2.04,4.32,5.40,6.30,1.53,69.2,75.9,72.4,-3.79,-3.29,-3.54
MX03,Baja California Sur,Mexico,727.007,9.8,3.82,275,1.42,3.00,3.74,5.87,1.07,70.1,76.7,73.3,-2.78,-2.41,-2.60
MX04,Campeche,Mexico,945.785,16.4,4.64,269,1.39,2.37,2.96,7.08,1.02,69.8,76.0,72.8,-2.12,-1.78,-1.96
MX07,Chiapas,Mexico,"5,412.679",73.8,4.53,266,0.31,0.61,0.76,5.74,0.22,71.0,76.6,73.7,-0.60,-0.48,-0.54
MX08,Chihuahua,Mexico,"3,832.828",15.5,7.58,267,1.58,2.83,3.54,6.78,1.15,69.9,76.4,73.1,-2.54,-2.19,-2.37
MX09,Ciudad de Mexico,Mexico,"10,298.920","6,888.8",6.23,289,2.06,2.73,3.42,8.48,1.63,70.8,77.1,73.9,-2.76,-2.35,-2.56
MX05,Coahuila de Zaragoza,Mexico,"3,150.456",20.7,5.31,278,1.75,3.09,3.85,6.96,1.33,69.9,76.4,73.1,-2.83,-2.44,-2.64
MX06,Colima,Mexico,749.741,133.2,4.95,260,1.50,2.33,2.91,7.37,1.07,71.0,76.3,73.6,-2.15,-1.69,-1.93
MX10,Durango,Mexico,"1,858.666",15.0,5.65,287,1.06,1.72,2.15,7.03,0.83,70.4,76.8,73.5,-1.71,-1.46,-1.58
MX11,Guanajuato,Mexico,"6,295.742",205.6,4.95,269,1.15,1.89,2.36,6.95,0.85,70.4,76.8,73.5,-1.76,-1.50,-1.64
MX12,Guerrero,Mexico,"3,882.954",61.1,4.86,274,0.93,1.41,1.76,8.03,0.70,69.0,75.3,72.1,-1.22,-1.02,-1.13
MX13,Hidalgo,Mexico,"3,072.136",147.6,4.87,279,1.46,2.23,2.79,7.70,1.11,70.2,76.1,73.1,-2.10,-1.71,-1.91
MX14,Jalisco,Mexico,"8,442.704",107.4,5.33,284,0.92,1.45,1.81,6.99,0.71,71.0,77.4,74.1,-1.44,-1.23,-1.34
MX15,Mexico (State),Mexico,"17,378.187",777.5,4.50,277,1.44,2.81,3.51,6.34,1.09,70.4,75.7,73.0,-2.72,-2.12,-2.43
MX16,Michoacan de Ocampo,Mexico,"4,992.690",85.1,5.55,280,0.72,1.01,1.26,7.67,0.55,71.5,76.4,73.9,-1.05,-0.80,-0.93
MX17,Morelos,Mexico,"2,047.959",419.8,5.49,278,0.93,1.36,1.69,7.53,0.71,71.3,76.7,74.0,-1.35,-1.07,-1.22
MX18,Nayarit,Mexico,"1,255.449",45.1,5.47,274,1.12,1.61,2.01,7.64,0.84,71.3,76.6,73.9,-1.59,-1.25,-1.42
MX19,Nuevo Leon,Mexico,"5,360.737",83.5,4.97,272,1.30,2.23,2.78,6.67,0.96,70.8,77.3,74.0,-2.11,-1.82,-1.97
MX20,Oaxaca,Mexico,"4,386.373",46.8,5.71,277,0.64,0.86,1.08,8.10,0.48,70.5,76.2,73.3,-0.85,-0.68,-0.76
MX21,Puebla,Mexico,"6,612.709",192.8,5.37,278,1.14,1.81,2.26,7.26,0.86,70.0,76.4,73.1,-1.72,-1.45,-1.59
MX22,Queretaro,Mexico,"2,094.397",179.0,4.36,277,1.19,2.24,2.80,6.23,0.90,70.6,76.8,73.6,-2.16,-1.82,-2.00
MX23,Quintana Roo,Mexico,"1,497.403",33.4,3.35,279,1.78,4.96,6.20,5.33,1.35,68.4,75.0,71.6,-4.23,-3.62,-3.93
MX24,San Luis Potosi,Mexico,"2,972.710",48.6,5.14,282,1.34,1.91,2.39,8.02,1.03,70.4,76.1,73.2,-1.84,-1.48,-1.67
MX25,Sinaloa,Mexico,"3,215.596",56.0,5.59,277,1.74,2.73,3.41,7.73,1.32,69.7,76.2,72.8,-2.47,-2.11,-2.30
MX26,Sonora,Mexico,"3,077.474",17.1,5.60,272,1.82,3.12,3.90,7.24,1.35,69.6,76.2,72.8,-2.77,-2.38,-2.58
MX27,Tabasco,Mexico,"2,555.914",103.3,4.98,275,1.67,3.09,3.85,6.83,1.25,69.3,75.9,72.5,-2.74,-2.36,-2.55
MX28,Tamaulipas,Mexico,"3,689.743",45.9,5.26,272,1.20,1.99,2.49,6.98,0.89,70.4,76.8,73.5,-1.85,-1.58,-1.72
MX29,Tlaxcala,Mexico,"1,345.008",336.5,4.73,266,1.45,2.35,2.94,7.16,1.05,70.3,76.3,73.2,-2.16,-1.78,-1.98
MX30,Veracruz de Ignacio de la Llave,Mexico,"8,831.401",122.9,5.90,277,0.95,1.35,1.68,7.97,0.72,70.3,76.6,73.3,-1.25,-1.06,-1.16
MX31,Yucatan,Mexico,"2,269.237",57.4,5.71,271,1.36,1.99,2.48,7.95,1.01,69.9,76.3,73.0,-1.79,-1.53,-1.66
MX32,Zacatecas,Mexico,"1,713.503",22.8,5.62,275,1.37,1.88,2.35,8.10,1.03,70.3,76.7,73.4,-1.78,-1.51,-1.65
PE01,Amazonas (PE),Peru,423.381,10.8,NA,288,0.76,1.25,1.56,13.72,0.60,66.4,70.3,68.3,-0.76,-0.60,-0.68
PE02,Ancash,Peru,"1,216.095",33.9,NA,288,1.58,2.03,2.53,16.52,1.25,67.7,72.3,69.9,-1.43,-1.23,-1.33
PE03,Apurimac,Peru,453.951,21.7,NA,288,0.45,0.60,0.75,16.52,0.35,66.4,70.4,68.4,-0.37,-0.31,-0.34
PE04,Arequipa,Peru,"1,556.127",24.6,NA,288,1.33,1.85,2.31,13.46,1.05,69.6,73.9,71.7,-1.43,-1.26,-1.35
PE05,Ayacucho,Peru,688.200,15.7,NA,288,0.70,1.00,1.25,15.46,0.55,66.5,71.0,68.7,-0.62,-0.51,-0.57
PE06,Cajamarca,Peru,"1,500.006",45.0,NA,288,0.52,0.74,0.92,14.55,0.41,68.4,72.5,70.4,-0.49,-0.42,-0.46
PE07,Callao,Peru,"1,119.096","7,669.8",NA,288,2.25,3.28,4.10,13.04,1.77,69.9,74.0,71.9,-2.45,-2.17,-2.31
PE08,Cusco,Peru,"1,350.177",18.8,NA,288,0.50,0.80,1.00,13.71,0.39,66.1,70.4,68.2,-0.50,-0.41,-0.46
PE09,Huancavelica,Peru,387.386,17.5,NA,288,0.48,0.67,0.83,16.70,0.38,66.4,70.2,68.2,-0.39,-0.31,-0.35
PE10,Huanuco,Peru,804.804,21.6,NA,288,0.78,1.28,1.60,13.14,0.61,66.7,71.0,68.8,-0.85,-0.72,-0.79
PE11,Ica,Peru,954.364,44.7,NA,288,2.39,3.56,4.45,13.34,1.88,68.9,73.3,71.0,-2.61,-2.29,-2.46
PE12,Junin,Peru,"1,393.373",31.4,NA,288,0.88,1.37,1.71,13.73,0.69,66.7,71.1,68.8,-0.90,-0.76,-0.84
PE13,La Libertad,Peru,"1,990.970",78.1,NA,288,1.58,2.32,2.89,13.60,1.24,68.8,73.1,70.9,-1.73,-1.52,-1.63
PE14,Lambayeque,Peru,"1,340.725",92.6,NA,288,1.83,2.55,3.19,13.86,1.44,68.9,73.2,71.0,-1.93,-1.71,-1.82
PE15,Lima,Peru,"10,693.435",307.0,NA,288,1.99,2.77,3.46,13.64,1.57,69.8,74.0,71.8,-2.07,-1.84,-1.96
PE16,Loreto,Peru,981.170,2.7,NA,288,1.30,2.66,3.32,11.08,1.03,66.4,70.7,68.5,-1.59,-1.32,-1.46
PE17,Madre de Dios,Peru,158.084,1.9,NA,288,1.25,3.42,4.28,7.48,0.98,66.1,70.4,68.2,-2.16,-1.80,-1.99
PE18,Moquegua,Peru,197.521,12.6,NA,288,1.99,2.65,3.30,14.57,1.56,68.7,73.2,70.9,-1.92,-1.69,-1.81
PE19,Pasco,Peru,284.581,11.4,NA,288,0.61,1.11,1.39,11.91,0.48,66.6,71.2,68.8,-0.73,-0.63,-0.68
PE20,Piura,Peru,"2,076.318",58.2,NA,288,1.36,2.12,2.65,13.05,1.07,68.1,72.4,70.2,-1.42,-1.25,-1.34
PE21,Puno,Peru,"1,316.375",18.3,NA,288,0.39,0.54,0.68,15.30,0.31,66.2,70.4,68.2,-0.35,-0.30,-0.33
PE22,San Martin,Peru,909.611,17.7,NA,288,1.11,2.11,2.64,11.55,0.88,66.2,70.8,68.4,-1.30,-1.09,-1.20
PE23,Tacna,Peru,371.146,23.1,NA,288,0.92,1.55,1.94,11.19,0.73,68.5,72.8,70.6,-1.10,-0.96,-1.03
PE24,Tumbes,Peru,252.031,54.0,NA,288,1.74,3.04,3.79,11.54,1.37,67.5,72.1,69.7,-2.00,-1.71,-1.86
PE25,Ucayali,Peru,552.917,5.4,NA,288,0.91,2.03,2.54,9.72,0.71,65.8,70.3,68.0,-1.26,-1.05,-1.16
ES01,Andalucia,Spain,"8,349.380",95.3,8.33,295,0.76,0.52,0.65,9.94,0.61,78.9,84.3,81.5,-0.73,-0.64,-0.68
ES02,Aragon,Spain,"1,315.017",27.6,10.26,300,2.44,1.22,1.53,13.52,2.00,79.3,85.0,82.0,-1.87,-1.75,-1.81
ES03,Asturias (Principado de),Spain,"1,024.060",96.6,12.64,297,1.62,0.72,0.89,15.13,1.31,79.0,85.0,82.0,-1.04,-0.99,-1.02
ES04,Balears (Illes),Spain,"1,137.723",227.9,6.70,297,0.51,0.38,0.47,7.89,0.41,80.6,85.6,83.1,-0.60,-0.54,-0.57
ES05,Canarias,Spain,"2,136.113",286.8,7.05,295,0.24,0.18,0.23,8.16,0.19,79.8,84.9,82.3,-0.28,-0.24,-0.26
ES06,Cantabria,Spain,579.733,109.0,10.33,291,0.85,0.44,0.55,11.86,0.68,80.1,86.1,83.1,-0.66,-0.66,-0.66
ES07,Castilla y Leon,Spain,"2,401.521",25.5,11.91,295,2.62,1.10,1.37,15.35,2.12,80.0,85.4,82.6,-1.77,-1.64,-1.71
ES08,Castilla-La Mancha,Spain,"2,021.012",25.4,9.54,297,2.49,1.38,1.73,12.47,2.02,79.3,84.6,81.9,-2.11,-1.84,-1.98
ES09,Catalunia,Spain,"7,623.414",237.4,8.41,300,1.40,0.85,1.06,10.51,1.14,79.7,85.4,82.5,-1.32,-1.22,-1.27
ES18,Ceuta,Spain,83.673,"4,183.6",6.29,281,0.92,0.90,1.12,7.61,0.71,78.0,82.0,80.0,-1.15,-0.91,-1.04
ES10,Comunitat Valenciana,Spain,"4,976.319",214.0,8.81,300,0.72,0.44,0.56,10.29,0.59,79.8,85.0,82.3,-0.68,-0.60,-0.64
ES11,Extremadura,Spain,"1,063.076",25.5,10.56,298,1.23,0.65,0.82,12.62,1.00,79.2,85.0,82.1,-0.96,-0.88,-0.92
ES12,Galicia,Spain,"2,697.559",91.2,11.57,294,0.64,0.29,0.36,13.52,0.51,80.1,86.1,83.0,-0.45,-0.42,-0.44
ES13,Madrid (Comunidad de),Spain,"6,611.809",823.6,7.06,304,2.15,1.39,1.73,9.62,1.79,80.2,85.5,82.8,-2.34,-2.17,-2.26
ES19,Melilla,Spain,85.187,"7,098.9",5.78,283,0.65,0.71,0.88,6.95,0.50,77.9,82.0,79.9,-0.87,-0.71,-0.79
ES14,Murcia (Region de),Spain,"1,479.460",130.8,7.65,288,0.64,0.47,0.58,8.75,0.50,79.9,85.1,82.4,-0.67,-0.59,-0.63
ES15,Navarra (C. Foral de),Spain,651.019,62.7,8.51,293,1.84,1.05,1.31,11.03,1.47,80.3,85.8,82.9,-1.62,-1.54,-1.58
ES16,Pais Vasco,Spain,"2,202.966",304.5,9.89,304,1.62,0.84,1.04,12.17,1.35,79.9,85.5,82.7,-1.32,-1.28,-1.30
ES17,"Rioja, La",Spain,315.741,62.6,10.00,299,2.27,1.18,1.48,12.76,1.86,79.5,85.2,82.3,-1.78,-1.73,-1.76
US01,Alabama,U.S.A.,"4,944.686",37.6,10.92,282,1.27,1.01,1.26,12.34,0.98,71.9,77.7,74.7,-0.99,-0.88,-0.94
US02,Alaska,U.S.A.,745.469,0.5,5.96,273,0.37,0.41,0.51,7.01,0.28,75.7,80.8,78.2,-0.52,-0.50,-0.51
US04,Arizona,U.S.A.,"7,262.286",24.7,8.23,286,1.56,1.19,1.49,9.84,1.22,75.4,81.0,78.2,-1.68,-1.47,-1.58
US05,Arkansas,U.S.A.,"3,049.575",22.6,10.85,283,1.56,1.22,1.53,12.37,1.21,72.3,77.7,74.9,-1.26,-1.08,-1.17
US06,California,U.S.A.,"40,011.015",99.0,6.78,297,0.80,0.69,0.86,7.89,0.65,77.6,82.6,80.0,-1.09,-0.95,-1.02
US08,Colorado,U.S.A.,"5,762.204",21.4,6.79,290,1.05,0.97,1.21,8.08,0.84,76.5,81.5,78.9,-1.34,-1.13,-1.24
US09,Connecticut,U.S.A.,"3,613.794",288.0,8.73,288,2.11,1.50,1.87,10.92,1.66,75.8,81.2,78.4,-1.98,-1.72,-1.85
US10,Delaware,U.S.A.,979.254,193.4,9.54,281,1.23,0.90,1.12,10.97,0.95,74.8,80.4,77.5,-1.09,-0.96,-1.03
US11,District of Columbia,U.S.A.,712.330,"4,477.2",7.15,281,1.44,1.46,1.83,8.80,1.10,73.2,79.5,76.2,-1.73,-1.72,-1.72
US12,Florida,U.S.A.,"21,586.295",154.3,9.70,294,1.25,0.79,0.98,11.14,1.00,75.9,81.6,78.7,-1.21,-1.08,-1.15
US13,Georgia (USA),U.S.A.,"10,628.510",70.9,7.97,291,1.29,1.24,1.55,9.47,1.03,73.8,79.1,76.4,-1.45,-1.22,-1.34
US15,Hawaii,U.S.A.,"1,439.609",86.5,7.98,275,0.27,0.18,0.22,8.62,0.20,78.7,85.0,81.8,-0.30,-0.30,-0.30
US16,Idaho,U.S.A.,"1,774.655",8.3,8.16,281,1.05,0.88,1.10,9.35,0.81,76.3,80.5,78.3,-1.12,-0.89,-1.01
US17,Illinois,U.S.A.,"12,887.403",89.5,8.57,290,1.76,1.41,1.76,10.45,1.40,74.9,80.2,77.5,-1.76,-1.51,-1.64
US18,Indiana,U.S.A.,"6,767.587",72.8,9.84,290,1.54,1.26,1.57,11.38,1.22,73.3,78.7,75.9,-1.36,-1.20,-1.28
US19,Iowa,U.S.A.,"3,194.037",22.1,9.71,282,1.58,1.15,1.43,11.15,1.22,75.5,80.5,77.9,-1.40,-1.20,-1.30
US20,Kansas,U.S.A.,"2,945.539",13.9,9.29,282,1.21,0.94,1.17,10.59,0.93,75.2,80.0,77.5,-1.14,-0.96,-1.05
US21,Kentucky,U.S.A.,"4,519.893",43.9,10.82,287,0.74,0.60,0.75,12.06,0.58,72.3,77.5,74.8,-0.60,-0.51,-0.56
US22,Louisiana,U.S.A.,"4,713.234",41.8,9.78,293,1.98,1.72,2.14,11.57,1.59,71.9,77.7,74.7,-1.82,-1.59,-1.71
US23,Maine,U.S.A.,"1,355.887",17.0,10.99,280,0.33,0.21,0.26,12.03,0.26,75.8,80.9,78.3,-0.26,-0.22,-0.24
US24,Maryland,U.S.A.,"6,109.605",241.3,8.25,287,1.23,1.02,1.28,9.58,0.96,75.1,80.6,77.8,-1.33,-1.18,-1.25
US25,Massachusetts,U.S.A.,"6,985.561",344.1,8.57,287,2.27,1.72,2.15,10.67,1.78,75.2,80.8,77.9,-2.19,-1.90,-2.05
US26,Michigan,U.S.A.,"10,114.528",68.7,9.80,289,1.63,1.23,1.53,11.59,1.29,74.1,79.3,76.6,-1.44,-1.22,-1.33
US27,Minnesota,U.S.A.,"5,677.124",27.5,9.96,282,1.23,0.97,1.21,9.27,0.95,77.1,81.8,79.4,-1.31,-1.11,-1.21
US28,Mississippi,U.S.A.,"3,019.798",24.9,10.82,284,2.04,1.75,2.18,12.59,1.59,70.7,76.9,73.7,-1.59,-1.45,-1.52
US29,Missouri,U.S.A.,"6,200.300",34.7,10.12,288,1.17,0.89,1.11,11.35,0.92,74.0,79.3,76.6,-1.03,-0.90,-0.97
US30,Montana,U.S.A.,"1,076.137",2.9,9.71,279,1.17,0.84,1.05,10.79,0.89,75.5,80.2,77.8,-1.07,-0.86,-0.97
US31,Nebraska,U.S.A.,"1,952.141",9.8,8.79,279,1.11,0.87,1.09,9.89,0.85,76.4,80.9,78.6,-1.11,-0.93,-1.02
US32,Nevada,U.S.A.,"3,070.509",10.8,8.22,286,1.30,1.12,1.40,9.77,1.02,74.6,79.8,77.1,-1.39,-1.20,-1.29
US33,New Hampshire,U.S.A.,"1,372.567",59.1,9.31,275,0.74,0.52,0.65,10.59,0.55,75.7,81.4,78.5,-0.63,-0.56,-0.60
US34,New Jersey,U.S.A.,"9,008.043",468.8,8.31,292,2.65,2.02,2.52,10.94,2.11,75.0,80.2,77.6,-2.63,-2.23,-2.43
US35,New Mexico,U.S.A.,"2,121.624",6.7,8.94,278,1.54,1.17,1.47,10.62,1.17,73.8,79.8,76.7,-1.46,-1.31,-1.39
US36,New York,U.S.A.,"19,779.540",161.7,7.83,294,2.39,1.81,2.26,10.45,1.92,75.6,80.9,78.2,-2.49,-2.20,-2.35
US37,North Carolina,U.S.A.,"10,501.123",83.2,9.07,282,0.83,0.68,0.86,10.15,0.64,74.7,79.9,77.2,-0.81,-0.69,-0.75
US38,North Dakota,U.S.A.,769.967,4.3,8.49,277,2.22,1.70,2.13,10.54,1.68,75.2,80.4,77.7,-2.18,-1.85,-2.02
US39,Ohio,U.S.A.,"11,827.215",111.5,10.61,287,0.97,0.72,0.91,11.67,0.76,73.7,79.1,76.3,-0.82,-0.70,-0.76
US40,Oklahoma,U.S.A.,"3,989.492",22.4,10.29,285,0.80,0.66,0.82,11.27,0.62,73.0,78.1,75.5,-0.71,-0.61,-0.66
US41,Oregon,U.S.A.,"4,244.225",17.1,8.84,290,0.44,0.33,0.42,9.59,0.35,76.8,81.5,79.1,-0.45,-0.38,-0.42
US42,Pennsylvania,U.S.A.,"12,966.170",111.7,10.59,288,1.56,1.08,1.35,12.18,1.23,74.3,79.8,77.0,-1.27,-1.12,-1.20
US44,Rhode Island,U.S.A.,"1,070.329",395.5,9.59,279,2.18,1.55,1.94,11.39,1.66,75.3,80.4,77.8,-1.92,-1.65,-1.79
US45,South Carolina,U.S.A.,"5,145.408",66.0,9.84,287,1.31,1.04,1.29,11.36,1.03,73.2,78.9,76.0,-1.16,-1.01,-1.08
US46,South Dakota,U.S.A.,893.132,4.5,9.19,271,2.25,1.66,2.08,11.16,1.67,74.7,80.3,77.4,-1.94,-1.76,-1.85
US47,Tennessee,U.S.A.,"6,847.752",64.1,10.44,285,1.30,1.06,1.33,11.74,1.01,72.7,77.9,75.2,-1.11,-0.94,-1.03
US48,Texas,U.S.A.,"28,999.321",42.7,7.00,290,1.22,1.24,1.55,8.23,0.96,75.0,80.1,77.5,-1.57,-1.36,-1.47
US49,Utah,U.S.A.,"3,194.497",15.0,5.81,279,0.52,0.60,0.76,6.61,0.40,76.8,80.8,78.8,-0.79,-0.60,-0.70
US50,Vermont,U.S.A.,634.325,26.5,9.63,287,0.27,0.19,0.24,10.36,0.21,76.6,81.7,79.1,-0.25,-0.21,-0.23
US51,Virginia,U.S.A.,"8,614.990",84.0,8.10,287,0.74,0.62,0.78,9.16,0.58,76.2,80.9,78.5,-0.82,-0.69,-0.76
US53,Washington,U.S.A.,"7,627.572",44.2,7.70,311,0.53,0.45,0.57,8.39,0.45,77.3,81.9,79.5,-0.68,-0.58,-0.63
US54,West Virginia,U.S.A.,"1,828.890",29.3,12.82,271,0.99,0.67,0.83,14.10,0.73,71.9,77.4,74.6,-0.64,-0.54,-0.59
US55,Wisconsin,U.S.A.,"5,882.866",41.8,9.09,288,1.13,0.84,1.05,10.44,0.89,76.1,80.8,78.4,-1.07,-0.91,-0.99
US56,Wyoming,U.S.A.,584.633,2.3,8.23,256,1.07,0.87,1.09,9.43,0.75,75.8,80.5,78.1,-1.04,-0.91,-0.98
