LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
MLI,Mali,Cntry/Terr,"20,250.834",16.6,9.82,275,0.02,0.09,0.11,9.24,0.01,58.8,60.4,59.6,-0.04,-0.03,-0.03
MLT,Malta,Cntry/Terr,441.539,"1,379.8",8.24,269,0.67,0.45,0.57,9.34,0.50,80.2,83.9,82.0,-0.63,-0.52,-0.57
MTQ,Martinique,Cntry/Terr,375.265,354.0,9.07,283,0.14,0.08,0.11,9.92,0.11,79.2,85.6,82.3,-0.13,-0.13,-0.13
MRT,Mauritania,Cntry/Terr,"4,649.660",4.5,7.27,274,0.10,0.38,0.48,7.15,0.07,63.2,66.6,64.8,-0.22,-0.15,-0.18
MUS,Mauritius,Cntry/Terr,"1,271.767",626.5,8.30,284,0.01,0.01,0.01,8.88,0.01,71.8,78.6,75.1,-0.01,-0.01,-0.01
MYT,Mayotte,Cntry/Terr,272.813,727.5,2.69,276,0.27,0.75,0.94,3.03,0.20,75.4,82.2,78.7,-0.90,-0.87,-0.89
MEX,Mexico (Country),Cntry/Terr,"128,932.753",66.3,5.97,289,1.24,2.01,2.51,7.18,0.98,70.4,76.3,73.3,-2.00,-1.65,-1.83
MCO,Monaco,Cntry/Terr,39.244,"26,338.3",NA,261,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNE,Montenegro,Cntry/Terr,628.062,46.7,10.70,283,1.40,1.29,1.61,11.92,1.09,73.5,78.5,75.9,-1.11,-0.91,-1.01
MSR,Montserrat,Cntry/Terr,4.999,50.0,NA,252,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,Morocco,Cntry/Terr,"36,910.558",82.7,5.06,298,0.25,0.44,0.55,5.40,0.20,75.2,77.8,76.5,-0.43,-0.30,-0.37
MOZ,Mozambique,Cntry/Terr,"31,255.435",39.7,8.62,222,0.01,0.04,0.05,8.16,0.01,58.0,63.9,60.9,-0.01,-0.01,-0.01
MMR,Myanmar,Cntry/Terr,"54,409.794",83.3,8.19,277,0.07,0.14,0.18,8.47,0.05,64.1,70.2,67.1,-0.08,-0.06,-0.07
NPL,Nepal,Cntry/Terr,"29,136.808",203.3,6.39,231,0.10,0.24,0.30,6.44,0.06,69.3,72.4,70.8,-0.14,-0.10,-0.12
NLD,Netherlands,Cntry/Terr,"17,134.873",508.2,8.72,302,0.82,0.55,0.69,9.82,0.67,79.9,83.4,81.6,-0.84,-0.66,-0.75
NZL,New Zealand,Cntry/Terr,"4,822.233",18.3,6.98,280,0.01,0.01,0.01,7.26,0.01,80.7,84.1,82.4,-0.01,-0.01,-0.01
NIC,Nicaragua,Cntry/Terr,"6,624.554",55.0,5.06,281,0.03,0.07,0.09,5.22,0.02,71.1,78.1,74.5,-0.07,-0.06,-0.07
NER,Niger,Cntry/Terr,"24,206.636",19.1,8.41,282,0.01,0.03,0.04,7.90,0.00,61.5,63.9,62.7,-0.01,-0.01,-0.01
NGA,Nigeria,Cntry/Terr,"206,139.587",226.3,11.97,283,0.01,0.04,0.05,11.47,0.01,54.0,55.9,54.9,-0.01,-0.01,-0.01
MKD,North Macedonia,Cntry/Terr,"2,083.380",82.6,10.02,286,1.54,1.57,1.96,11.52,1.20,72.6,77.0,74.8,-1.30,-0.97,-1.14
MNP,Northern Marianas,Cntry/Terr,57.557,125.1,NA,275,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOR,Norway,Cntry/Terr,"5,421.242",14.8,8.00,295,0.10,0.08,0.09,8.09,0.08,80.5,84.4,82.4,-0.12,-0.10,-0.11
OMN,Oman,Cntry/Terr,"5,106.622",16.5,2.44,277,0.39,1.28,1.60,2.79,0.29,75.0,79.2,77.0,-1.37,-1.28,-1.33
PAK,Pakistan,Cntry/Terr,"220,892.331",286.5,6.98,289,0.06,0.16,0.21,6.98,0.05,66.3,68.4,67.3,-0.12,-0.07,-0.10
