LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
MX23,Quintana Roo,Mexico,"1,497.403",33.4,3.35,272,1.80,5.15,6.26,279,1.73,4.95,6.02,5.27,1.32,68.6,75.2,71.8,-4.08,-3.48,-3.79
MX02,Baja California,Mexico,"3,605.789",50.5,4.88,268,1.96,4.26,5.19,275,2.00,4.34,5.28,6.24,1.50,69.3,76.0,72.6,-3.67,-3.17,-3.42
PE11,Ica,Peru,954.364,44.7,NA,281,2.42,3.70,4.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE17,Madre de Dios,Peru,158.084,1.9,NA,281,1.27,3.57,4.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE07,Callao,Peru,"1,119.096","7,669.8",NA,281,2.27,3.41,4.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX27,Tabasco,Mexico,"2,555.914",103.3,4.98,268,1.69,3.20,3.89,275,1.68,3.19,3.89,6.81,1.26,69.3,75.9,72.5,-2.72,-2.33,-2.53
PE24,Tumbes,Peru,252.031,54.0,NA,281,1.76,3.14,3.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX26,Sonora,Mexico,"3,077.474",17.1,5.60,265,1.77,3.12,3.79,272,1.81,3.19,3.88,7.20,1.35,69.7,76.3,72.9,-2.72,-2.33,-2.53
MX05,Coahuila de Zaragoza,Mexico,"3,150.456",20.7,5.31,271,1.71,3.10,3.78,278,1.76,3.19,3.88,6.94,1.34,69.9,76.5,73.1,-2.81,-2.41,-2.61
MX03,Baja California Sur,Mexico,727.007,9.8,3.82,268,1.41,3.05,3.71,275,1.39,3.00,3.65,5.82,1.04,70.2,76.8,73.4,-2.68,-2.31,-2.50
MX08,Chihuahua,Mexico,"3,832.828",15.5,7.58,260,1.59,2.92,3.56,267,1.59,2.92,3.55,6.76,1.16,69.9,76.5,73.1,-2.50,-2.15,-2.33
PE15,Lima,Peru,"10,693.435",307.0,NA,281,2.02,2.89,3.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX15,Mexico (State),Mexico,"17,378.187",777.5,4.50,270,1.41,2.83,3.45,277,1.08,2.16,2.63,6.05,0.81,71.0,76.2,73.6,-2.07,-1.60,-1.84
MX25,Sinaloa,Mexico,"3,215.596",56.0,5.59,270,1.76,2.83,3.44,277,1.73,2.79,3.39,7.68,1.31,69.7,76.2,72.9,-2.42,-2.06,-2.25
PE16,Loreto,Peru,981.170,2.7,NA,281,1.33,2.78,3.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX09,Ciudad de Mexico,Mexico,"10,298.920","6,888.8",6.23,282,2.01,2.74,3.33,289,2.66,3.62,4.40,8.87,2.10,70.2,76.6,73.3,-3.38,-2.87,-3.13
PE18,Moquegua,Peru,197.521,12.6,NA,281,1.98,2.71,3.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX01,Aguascalientes,Mexico,"1,360.852",242.3,4.37,258,1.38,2.68,3.27,265,1.44,2.79,3.39,6.25,1.04,70.5,76.8,73.6,-2.44,-2.06,-2.25
PE14,Lambayeque,Peru,"1,340.725",92.6,NA,281,1.85,2.65,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR53,Distrito Federal,Brazil,"3,049.880",529.4,NA,272,1.85,2.57,3.13,279,1.84,2.57,3.13,NA,NA,NA,NA,NA,NA,NA,NA
BR33,Rio de Janeiro,Brazil,"17,463.128",399.2,NA,282,1.85,2.57,3.13,289,1.85,2.58,3.14,NA,NA,NA,NA,NA,NA,NA,NA
MX04,Campeche,Mexico,945.785,16.4,4.64,262,1.42,2.47,3.01,269,1.42,2.47,3.01,7.07,1.04,69.8,76.1,72.8,-2.12,-1.77,-1.95
BR14,Roraima,Brazil,612.715,2.7,NA,266,1.74,2.42,2.94,273,1.72,2.40,2.92,NA,NA,NA,NA,NA,NA,NA,NA
MX06,Colima,Mexico,749.741,133.2,4.95,253,1.52,2.42,2.94,260,1.59,2.53,3.08,7.40,1.13,70.9,76.2,73.5,-2.23,-1.74,-1.99
PE13,La Libertad,Peru,"1,990.970",78.1,NA,281,1.60,2.41,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX29,Tlaxcala,Mexico,"1,345.008",336.5,4.73,259,1.43,2.39,2.91,266,1.30,2.17,2.64,7.02,0.94,70.5,76.5,73.4,-1.92,-1.58,-1.76
BR51,Mato Grosso,Brazil,"3,524.464",3.9,NA,267,1.70,2.36,2.88,274,1.68,2.34,2.85,NA,NA,NA,NA,NA,NA,NA,NA
BR32,Espirito Santo,Brazil,"4,064.780",88.2,NA,268,1.63,2.28,2.77,275,1.66,2.31,2.82,NA,NA,NA,NA,NA,NA,NA,NA
BR13,Amazonas (BR),Brazil,"4,192.173",2.7,NA,276,1.63,2.27,2.76,283,1.56,2.18,2.65,NA,NA,NA,NA,NA,NA,NA,NA
MX19,Nuevo Leon,Mexico,"5,360.737",83.5,4.97,265,1.29,2.27,2.76,272,1.30,2.28,2.78,6.65,0.97,70.9,77.3,74.0,-2.07,-1.78,-1.93
MX22,Queretaro,Mexico,"2,094.397",179.0,4.36,270,1.16,2.24,2.73,277,1.22,2.36,2.87,6.23,0.92,70.5,76.8,73.6,-2.17,-1.83,-2.00
PER,Peru,Cntry/Terr,"32,971.846",25.8,5.45,281,1.47,2.23,2.71,288,1.73,2.61,3.18,7.24,1.36,71.7,77.4,74.5,-2.55,-2.23,-2.39
MX13,Hidalgo,Mexico,"3,072.136",147.6,4.87,272,1.41,2.22,2.70,279,1.51,2.37,2.88,7.70,1.15,70.2,76.1,73.1,-2.13,-1.73,-1.93
PE20,Piura,Peru,"2,076.318",58.2,NA,281,1.38,2.21,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE22,San Martin,Peru,909.611,17.7,NA,281,1.13,2.20,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE02,Ancash,Peru,"1,216.095",33.9,NA,281,1.59,2.09,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE25,Ucayali,Peru,552.917,5.4,NA,281,0.91,2.09,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US34,New Jersey,U.S.A.,"9,008.043",468.8,8.31,285,2.64,2.07,2.52,292,2.67,2.09,2.54,10.89,2.13,75.0,80.3,77.6,-2.61,-2.20,-2.41
MX28,Tamaulipas,Mexico,"3,689.743",45.9,5.26,265,1.21,2.06,2.51,272,1.24,2.12,2.58,6.98,0.92,70.4,76.8,73.5,-1.87,-1.60,-1.74
MEX,Mexico (Country),Cntry/Terr,"128,932.753",66.3,5.97,282,1.22,2.03,2.47,289,1.24,2.06,2.51,7.15,0.98,70.4,76.4,73.3,-1.96,-1.61,-1.79
MX31,Yucatan,Mexico,"2,269.237",57.4,5.71,264,1.35,2.02,2.46,271,1.31,1.95,2.38,7.88,0.97,70.0,76.4,73.1,-1.69,-1.43,-1.56
BR16,Amapa,Brazil,855.439,6.0,NA,266,1.44,2.01,2.45,273,1.44,2.01,2.44,NA,NA,NA,NA,NA,NA,NA,NA
BR23,Ceara,Brazil,"9,236.905",62.0,NA,275,1.43,2.00,2.43,282,1.41,1.97,2.39,NA,NA,NA,NA,NA,NA,NA,NA
BR28,Sergipe,Brazil,"2,325.083",106.0,NA,268,1.43,1.99,2.42,275,1.39,1.94,2.36,NA,NA,NA,NA,NA,NA,NA,NA
IT02,Valle d'Aosta/Vallee d'Aoste,Italy,125.953,38.7,11.70,290,3.72,1.95,2.37,297,3.86,2.02,2.46,15.30,3.13,75.5,83.0,79.2,-2.51,-2.29,-2.40
MX24,San Luis Potosi,Mexico,"2,972.710",48.6,5.14,275,1.32,1.94,2.36,282,1.38,2.03,2.47,8.02,1.06,70.4,76.1,73.2,-1.86,-1.49,-1.68
MX32,Zacatecas,Mexico,"1,713.503",22.8,5.62,268,1.35,1.91,2.32,275,1.38,1.95,2.37,8.08,1.04,70.3,76.7,73.4,-1.76,-1.49,-1.63
PE04,Arequipa,Peru,"1,556.127",24.6,NA,281,1.34,1.91,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR11,Rondonia,Brazil,"1,797.626",7.6,NA,261,1.35,1.88,2.29,268,1.34,1.87,2.27,NA,NA,NA,NA,NA,NA,NA,NA
MX21,Puebla,Mexico,"6,612.709",192.8,5.37,271,1.14,1.86,2.27,278,1.13,1.85,2.26,7.23,0.86,70.1,76.4,73.2,-1.68,-1.42,-1.55
MX11,Guanajuato,Mexico,"6,295.742",205.6,4.95,262,1.11,1.86,2.26,269,1.14,1.91,2.33,6.91,0.84,70.5,76.8,73.6,-1.71,-1.45,-1.58
US36,New York,U.S.A.,"19,779.540",161.7,7.83,287,2.39,1.86,2.26,294,2.39,1.86,2.26,10.39,1.92,75.6,80.9,78.2,-2.45,-2.16,-2.30
BLZ,Belize,Cntry/Terr,397.621,17.4,4.70,264,0.79,1.83,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR26,Pernambuco,Brazil,"9,666.777",98.6,NA,276,1.31,1.82,2.21,283,1.29,1.80,2.19,NA,NA,NA,NA,NA,NA,NA,NA
BOL,Bolivia (Plurinational State of),Cntry/Terr,"11,673.029",10.8,6.79,271,1.05,1.80,2.18,278,1.02,1.75,2.13,7.69,0.78,67.2,73.2,70.1,-1.70,-1.52,-1.61
BR35,Sao Paulo,Brazil,"46,446.155",187.1,NA,284,1.27,1.77,2.15,291,1.28,1.79,2.18,NA,NA,NA,NA,NA,NA,NA,NA
BR52,Goias,Brazil,"7,098.918",20.9,NA,275,1.26,1.76,2.14,282,1.23,1.71,2.08,NA,NA,NA,NA,NA,NA,NA,NA
MX10,Durango,Mexico,"1,858.666",15.0,5.65,280,1.06,1.76,2.14,287,1.03,1.72,2.09,6.99,0.81,70.5,76.9,73.6,-1.64,-1.39,-1.52
US22,Louisiana,U.S.A.,"4,713.234",41.8,9.78,286,1.97,1.75,2.13,293,1.99,1.77,2.15,11.52,1.60,71.9,77.7,74.7,-1.79,-1.56,-1.68
US28,Mississippi,U.S.A.,"3,019.798",24.9,10.82,277,1.99,1.75,2.13,284,2.11,1.86,2.26,12.58,1.64,70.7,76.8,73.7,-1.61,-1.46,-1.54
US38,North Dakota,U.S.A.,769.967,4.3,8.49,270,2.22,1.75,2.13,277,2.49,1.96,2.39,10.68,1.88,75.0,80.2,77.6,-2.38,-2.01,-2.20
US25,Massachusetts,U.S.A.,"6,985.561",344.1,8.57,280,2.24,1.74,2.12,287,2.31,1.79,2.18,10.64,1.81,75.2,80.8,77.9,-2.18,-1.89,-2.04
ECU,Ecuador,Cntry/Terr,"17,643.060",71.0,5.10,286,1.01,1.71,2.08,293,1.54,2.60,3.16,6.44,1.23,71.6,77.5,74.5,-2.85,-2.45,-2.65
BR12,Acre,Brazil,892.059,5.4,NA,263,1.22,1.69,2.06,270,1.20,1.67,2.03,NA,NA,NA,NA,NA,NA,NA,NA
US46,South Dakota,U.S.A.,893.132,4.5,9.19,264,2.22,1.68,2.05,271,2.33,1.77,2.15,11.16,1.73,74.7,80.2,77.4,-1.97,-1.77,-1.87
BR25,Paraiba,Brazil,"4,064.251",72.0,NA,269,1.20,1.67,2.03,276,1.23,1.72,2.09,NA,NA,NA,NA,NA,NA,NA,NA
MX18,Nayarit,Mexico,"1,255.449",45.1,5.47,267,1.12,1.66,2.02,274,1.24,1.83,2.23,7.70,0.93,71.2,76.5,73.8,-1.71,-1.35,-1.54
BR22,Piaui,Brazil,"3,310.800",13.2,NA,262,1.18,1.64,2.00,269,1.17,1.64,1.99,NA,NA,NA,NA,NA,NA,NA,NA
IT03,Lombardia,Italy,"10,073.686",422.2,9.90,308,2.91,1.61,1.96,315,2.93,1.62,1.97,12.84,2.52,78.1,83.9,81.0,-2.42,-2.17,-2.29
BRA,Brazil,Cntry/Terr,"212,559.409",25.4,6.42,284,1.15,1.60,1.95,291,1.16,1.61,1.96,7.67,0.92,70.8,78.1,74.4,-1.61,-1.56,-1.59
PE23,Tacna,Peru,371.146,23.1,NA,281,0.92,1.58,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MKD,North Macedonia,Cntry/Terr,"2,083.380",82.6,10.02,279,1.50,1.57,1.91,286,1.58,1.66,2.02,11.51,1.24,72.6,77.0,74.8,-1.31,-0.98,-1.15
PAN,Panama,Cntry/Terr,"4,314.768",58.0,5.06,291,1.08,1.57,1.91,298,1.11,1.61,1.96,6.19,0.91,73.4,79.9,76.6,-2.24,-2.00,-2.12
US44,Rhode Island,U.S.A.,"1,070.329",395.5,9.59,272,2.14,1.57,1.91,279,2.30,1.68,2.04,11.42,1.75,75.3,80.4,77.8,-1.97,-1.69,-1.84
COL,Colombia,Cntry/Terr,"50,882.884",45.9,5.53,279,1.07,1.56,1.90,286,1.07,1.56,1.90,6.65,0.83,72.9,78.7,75.7,-1.78,-1.44,-1.62
BR15,Para,Brazil,"8,701.617",7.0,NA,269,1.11,1.55,1.88,276,1.09,1.51,1.84,NA,NA,NA,NA,NA,NA,NA,NA
BR24,Rio Grande do Norte,Brazil,"3,547.108",67.2,NA,272,1.11,1.54,1.88,279,1.15,1.60,1.94,NA,NA,NA,NA,NA,NA,NA,NA
BR17,Tocantins,Brazil,"1,590.921",5.7,NA,255,1.10,1.53,1.87,262,1.10,1.54,1.87,NA,NA,NA,NA,NA,NA,NA,NA
US09,Connecticut,U.S.A.,"3,613.794",288.0,8.73,281,2.09,1.52,1.85,288,2.12,1.55,1.88,10.87,1.67,75.8,81.3,78.5,-1.95,-1.69,-1.82
US11,District of Columbia,U.S.A.,712.330,"4,477.2",7.15,274,1.42,1.48,1.80,281,1.39,1.45,1.76,8.73,1.07,73.3,79.5,76.3,-1.64,-1.62,-1.63
ZAF,South Africa,Cntry/Terr,"59,308.690",48.9,9.52,274,0.59,1.47,1.79,281,0.63,1.59,1.93,9.98,0.48,60.2,67.2,63.6,-0.64,-0.61,-0.63
IRN,Iran (Islamic Republic of),Cntry/Terr,"83,992.953",51.6,4.88,311,0.76,1.47,1.79,318,0.76,1.47,1.79,5.55,0.66,74.3,77.1,75.6,-1.45,-0.98,-1.22
MX12,Guerrero,Mexico,"3,882.954",61.1,4.86,267,0.94,1.46,1.78,274,0.92,1.43,1.74,8.01,0.69,69.1,75.3,72.1,-1.19,-0.99,-1.09
BR50,Mato Grosso do Sul,Brazil,"2,810.886",7.9,NA,270,1.04,1.45,1.77,277,1.09,1.51,1.84,NA,NA,NA,NA,NA,NA,NA,NA
JOR,Jordan,Cntry/Terr,"10,203.140",114.9,3.86,274,0.48,1.45,1.77,281,0.50,1.51,1.84,4.35,0.39,71.8,75.6,73.6,-1.15,-0.88,-1.02
ES08,Castilla-La Mancha,Spain,"2,021.012",25.4,9.54,290,2.53,1.45,1.76,297,2.58,1.47,1.79,12.46,2.10,79.3,84.6,81.9,-2.15,-1.86,-2.01
IRQ,Iraq,Cntry/Terr,"40,222.503",92.6,4.80,297,0.39,1.44,1.76,304,0.38,1.42,1.73,5.08,0.32,67.7,72.1,69.8,-0.96,-0.72,-0.84
MX14,Jalisco,Mexico,"8,442.704",107.4,5.33,277,0.90,1.44,1.76,284,0.89,1.44,1.75,6.95,0.69,71.1,77.4,74.2,-1.38,-1.17,-1.28
ES13,Madrid (Comunidad de),Spain,"6,611.809",823.6,7.06,297,2.18,1.44,1.75,304,2.35,1.55,1.89,9.71,1.95,80.0,85.3,82.6,-2.49,-2.29,-2.39
ARM,Armenia,Cntry/Terr,"2,963.234",104.1,9.91,275,1.22,1.42,1.73,282,1.25,1.46,1.78,10.41,0.96,70.4,77.6,73.9,-1.05,-0.96,-1.01
BEL,Belgium,Cntry/Terr,"11,589.616",382.7,9.79,286,2.10,1.41,1.72,293,2.13,1.43,1.74,11.55,1.71,77.7,82.4,80.0,-1.83,-1.56,-1.70
ARG,Argentina,Cntry/Terr,"45,195.777",16.5,7.61,294,1.17,1.41,1.71,301,1.17,1.42,1.72,8.63,0.96,72.1,78.8,75.4,-1.31,-1.29,-1.30
PE12,Junin,Peru,"1,393.373",31.4,NA,281,0.88,1.41,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX30,Veracruz de Ignacio de la Llave,Mexico,"8,831.401",122.9,5.90,270,0.96,1.40,1.70,277,0.99,1.44,1.75,7.98,0.75,70.2,76.6,73.3,-1.27,-1.07,-1.18
US17,Illinois,U.S.A.,"12,887.403",89.5,8.57,283,1.70,1.40,1.70,290,1.83,1.50,1.83,10.46,1.45,74.9,80.1,77.4,-1.79,-1.53,-1.67
MX17,Morelos,Mexico,"2,047.959",419.8,5.49,271,0.92,1.37,1.67,278,0.95,1.42,1.73,7.52,0.72,71.3,76.7,74.0,-1.35,-1.07,-1.22
BR27,Alagoas,Brazil,"3,375.667",121.2,NA,270,0.98,1.37,1.66,277,0.96,1.33,1.62,NA,NA,NA,NA,NA,NA,NA,NA
