LocID,Location,Loc_type,Mid_2020_pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,2020_e0_B,Diff_e0_M,Diff_e0_F,Diff_e0_B
BRN,Brunei Darussalam,Cntry/Terr,437.483,83.0,4.68,113,0.02,0.05,0.06,220,0.01,0.03,0.03,74.8,77.2,76.0,0.0,-0.01,-0.02
MWI,Malawi,Cntry/Terr,19129.955,202.9,6.37,102,0.01,0.05,0.06,209,0.20,1.11,1.23,61.0,67.4,64.1,-0.4,-0.29,-0.32
CYP,Cyprus,Cntry/Terr,1207.361,130.7,7.20,122,0.05,0.05,0.06,229,0.03,0.03,0.03,79.1,83.1,81.0,0.0,-0.02,-0.02
MDG,Madagascar,Cntry/Terr,27691.019,47.6,5.85,62,0.01,0.05,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZMB,Zambia,Cntry/Terr,18383.956,24.7,6.33,107,0.01,0.05,0.05,214,0.11,0.69,0.76,60.7,66.8,63.7,-0.2,-0.18,-0.20
BLZ,Belize,Cntry/Terr,397.621,17.4,4.81,103,0.02,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFA,Burkina Faso,Cntry/Terr,20903.278,76.4,7.76,122,0.01,0.04,0.05,229,0.00,0.02,0.03,61.1,62.7,61.8,0.0,-0.01,-0.01
MAR,Morocco,Cntry/Terr,36910.558,82.7,5.09,130,0.02,0.04,0.04,237,0.67,1.36,1.51,74.7,77.5,76.0,-0.9,-0.63,-0.79
LVA,Latvia,Cntry/Terr,1886.202,30.3,14.78,106,0.06,0.04,0.04,213,0.03,0.02,0.02,70.4,80.1,75.1,0.0,-0.01,-0.01
US15,Hawaii,U.S.A.,1439.609,86.5,7.98,107,0.05,0.04,0.04,214,0.02,0.02,0.02,79.0,85.3,82.1,0.0,-0.02,-0.02
BEN,Benin,Cntry/Terr,12123.198,107.5,8.58,103,0.01,0.04,0.04,210,0.00,0.02,0.02,60.5,63.6,62.0,0.0,-0.01,-0.01
CRI,Costa Rica,Cntry/Terr,5094.114,99.8,5.24,121,0.02,0.03,0.04,228,0.73,1.02,1.13,76.9,82.1,79.5,-1.0,-0.89,-0.96
GRC,Greece,Cntry/Terr,10423.056,80.9,11.09,129,0.05,0.03,0.04,236,0.03,0.02,0.02,80.0,84.8,82.3,0.0,-0.02,-0.02
MUS,Mauritius,Cntry/Terr,1271.767,626.5,8.71,116,0.02,0.03,0.04,223,0.01,0.02,0.02,71.8,78.6,75.1,0.0,-0.01,-0.01
COD,Democratic Republic of the Congo,Cntry/Terr,89561.404,39.5,9.17,119,0.01,0.03,0.04,226,0.01,0.05,0.05,59.3,62.5,60.9,0.0,-0.01,-0.02
LBN,Lebanon,Cntry/Terr,6825.442,667.2,4.59,130,0.02,0.03,0.03,237,0.01,0.02,0.02,77.3,81.0,79.1,0.0,-0.01,-0.01
TGO,Togo,Cntry/Terr,8278.737,152.2,8.23,111,0.01,0.03,0.03,218,0.00,0.02,0.02,60.4,62.2,61.3,0.0,0.00,0.00
URY,Uruguay,Cntry/Terr,3473.727,19.8,9.48,109,0.03,0.03,0.03,216,0.02,0.01,0.02,74.3,81.6,77.8,0.0,-0.01,-0.01
PRY,Paraguay,Cntry/Terr,7132.530,18.0,5.60,119,0.01,0.03,0.03,226,0.04,0.08,0.09,72.3,76.4,74.3,-0.1,-0.05,-0.05
TTO,Trinidad and Tobago,Cntry/Terr,1399.491,272.8,8.67,115,0.02,0.02,0.03,222,0.01,0.01,0.02,71.0,76.3,73.6,0.0,-0.01,-0.01
REU,Reunion,Cntry/Terr,895.308,358.1,6.33,59,0.02,0.02,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZWE,Zimbabwe,Cntry/Terr,14862.927,38.4,7.85,117,0.00,0.02,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MYS,Malaysia,Cntry/Terr,32365.998,98.5,5.27,122,0.01,0.02,0.03,229,0.01,0.01,0.01,74.3,78.4,76.3,0.0,-0.01,-0.01
GMB,Gambia,Cntry/Terr,2416.664,238.8,7.55,113,0.00,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VEN,Venezuela (Bolivarian Republic of),Cntry/Terr,28435.943,32.2,7.14,112,0.01,0.02,0.02,219,0.35,0.65,0.72,68.1,75.8,71.9,-0.4,-0.36,-0.37
TUN,Tunisia,Cntry/Terr,11818.618,76.1,6.28,120,0.01,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUB,Cuba,Cntry/Terr,11326.616,106.4,9.29,122,0.02,0.02,0.02,229,0.01,0.01,0.01,77.0,80.9,78.9,0.0,-0.01,-0.01
NPL,Nepal,Cntry/Terr,29136.808,203.3,6.31,63,0.01,0.02,0.02,170,0.00,0.01,0.01,69.5,72.5,70.9,0.0,0.00,0.00
UZB,Uzbekistan,Cntry/Terr,33469.199,78.7,5.83,113,0.01,0.02,0.02,220,0.73,2.02,2.24,68.7,73.2,70.9,-0.9,-0.70,-0.82
ETH,Ethiopia,Cntry/Terr,114963.583,115.0,6.33,104,0.00,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SVK,Slovakia,Cntry/Terr,5459.643,113.5,10.12,103,0.02,0.02,0.02,210,0.01,0.01,0.01,74.2,81.0,77.5,0.0,-0.01,-0.01
AGO,Angola,Cntry/Terr,32866.268,26.4,7.89,109,0.00,0.02,0.02,216,0.02,0.14,0.16,58.6,64.2,61.3,0.0,-0.03,-0.04
CUW,Curacao,Cntry/Terr,164.100,369.6,9.08,119,0.02,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGP,Singapore,Cntry/Terr,5850.343,8357.6,4.83,119,0.01,0.02,0.02,226,0.01,0.01,0.01,81.6,85.8,83.7,0.0,-0.01,-0.01
JAM,Jamaica,Cntry/Terr,2961.161,273.4,7.63,121,0.01,0.02,0.02,228,0.01,0.01,0.01,73.0,76.3,74.6,0.0,0.00,-0.01
GEO,Georgia,Cntry/Terr,3989.175,57.4,12.77,105,0.01,0.01,0.02,212,0.01,0.01,0.01,69.5,78.2,73.7,0.0,0.00,0.00
NZL,New Zealand,Cntry/Terr,4822.233,18.3,7.11,112,0.01,0.01,0.02,219,0.01,0.01,0.01,80.7,84.1,82.4,0.0,-0.01,-0.01
KOR,Republic of Korea,Cntry/Terr,51269.183,527.3,6.40,150,0.01,0.01,0.01,257,0.01,0.01,0.01,80.0,86.0,83.0,0.0,-0.01,-0.01
SYR,Syrian Arab Republic,Cntry/Terr,17500.657,95.3,4.80,111,0.00,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUS,Australia,Cntry/Terr,25499.881,3.3,6.66,139,0.01,0.01,0.01,246,0.02,0.02,0.02,81.6,85.5,83.5,0.0,-0.02,-0.03
JOR,Jordan,Cntry/Terr,10203.140,114.9,3.93,113,0.00,0.01,0.01,220,0.00,0.01,0.01,73.0,76.4,74.7,0.0,0.00,0.00
MOZ,Mozambique,Cntry/Terr,31255.435,39.7,8.12,54,0.00,0.01,0.01,161,0.00,0.02,0.02,58.0,63.9,60.9,0.0,0.00,0.00
RWA,Rwanda,Cntry/Terr,12952.209,525.0,5.11,49,0.00,0.01,0.01,156,0.00,0.00,0.00,67.0,71.3,69.1,0.0,0.00,0.00
JPN,Japan,Cntry/Terr,126476.458,346.9,10.98,156,0.02,0.01,0.01,263,0.01,0.01,0.01,81.6,87.8,84.6,0.0,-0.01,-0.01
CHN,China,Cntry/Terr,1439323.774,153.3,7.47,189,0.01,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TZA,United Republic of Tanzania,Cntry/Terr,59734.213,67.4,6.21,109,0.00,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BWA,Botswana,Cntry/Terr,2351.625,4.1,5.86,108,0.00,0.00,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LKA,Sri Lanka,Cntry/Terr,21413.250,341.5,6.87,111,0.00,0.00,0.00,218,0.00,0.00,0.00,73.8,80.4,77.0,0.0,0.00,0.00
THA,Thailand,Cntry/Terr,69799.978,136.6,7.95,139,0.00,0.00,0.00,246,0.00,0.00,0.00,73.6,81.0,77.2,0.0,0.00,0.00
HKG,"China, Hong Kong SAR",Cntry/Terr,7496.988,7140.0,6.88,158,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BDI,Burundi,Cntry/Terr,11890.781,463.0,7.66,90,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN21,Hainan,China,9689.620,285.0,6.01,158,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN01,Beijing,China,22086.180,1314.7,5.58,158,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN08,Heilongjiang,China,38461.125,84.7,6.67,176,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MMR,Myanmar,Cntry/Terr,54409.794,83.3,8.31,109,0.00,0.00,0.00,216,0.00,0.00,0.00,64.2,70.3,67.1,0.0,0.00,0.00
CN09,Shanghai,China,24895.657,3926.1,5.40,158,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN16,Henan,China,98844.373,591.9,6.80,158,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TWN,"China, Taiwan Province of China",Cntry/Terr,23816.775,672.6,7.83,153,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN02,Tianjin,China,16016.070,1416.7,5.42,158,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN22,Chongqing,China,32032.139,389.2,7.54,158,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN31,Xinjiang,China,25869.746,15.6,4.56,156,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN12,Anhui,China,65274.199,467.2,5.96,158,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN27,Shaanxi,China,39619.778,192.7,6.24,150,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN28,Gansu,China,27141.188,59.7,6.65,158,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN07,Jilin,China,27592.345,147.2,6.26,158,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN03,Hebei,China,77845.071,414.7,6.38,176,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN15,Shandong,China,103253.406,671.3,7.18,158,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN19,Guangdong,China,118131.330,656.3,4.55,158,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN18,Hunan,China,70934.167,337.8,7.08,158,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN24,Guizhou,China,37148.668,211.1,6.85,158,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN06,Liaoning,China,44623.518,305.9,7.39,156,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN05,Inner Mongolia,China,26044.057,22.0,5.95,137,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN25,Yunnan,China,49811.822,126.4,6.32,150,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN20,Guangxi,China,50857.686,215.5,5.96,158,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN23,Sichuan,China,85873.612,177.1,7.01,158,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN13,Fujian,China,40737.416,335.1,6.20,150,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN14,Jiangxi,China,47843.137,286.5,6.06,158,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN11,Zhejiang,China,59983.359,588.1,5.58,149,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AND,Andorra,Cntry/Terr,77.265,164.4,NA,117,2.11,NA,NA,224,1.15,NA,NA,NA,NA,NA,NA,NA,NA
BMU,Bermuda,Cntry/Terr,62.273,1245.5,NA,102,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYM,Cayman Islands,Cntry/Terr,65.720,273.8,NA,125,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMN,Isle of Man,Cntry/Terr,85.032,149.2,NA,107,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IT04,NA,NA,1073.057,78895.1,8.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIE,Liechtenstein,Cntry/Terr,38.137,238.4,NA,105,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAF,Saint Martin (French part),Cntry/Terr,38.659,729.4,NA,110,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCO,Monaco,Cntry/Terr,39.244,26338.3,NA,93,0.40,NA,NA,200,0.28,NA,NA,NA,NA,NA,NA,NA,NA
MNP,Northern Marianas,Cntry/Terr,57.557,125.1,NA,107,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MSR,Montserrat,Cntry/Terr,4.999,50.0,NA,84,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMR,San Marino,Cntry/Terr,33.938,565.6,NA,133,3.41,NA,NA,240,2.03,NA,NA,NA,NA,NA,NA,NA,NA
SXM,Siint Maarten (Dutch part),Cntry/Terr,42.882,1261.2,NA,107,1.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCA,Turks and Caicos Islands,Cntry/Terr,38.718,40.8,NA,104,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VGB,British Virgin Islands,Cntry/Terr,30.237,201.6,NA,90,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
