LocID,Location,Loc_type,Mid_2020_pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,2020_e0_B,Diff_e0_M,Diff_e0_F,Diff_e0_B
IT09,Toscana,Italy,3740.109,295717.2,11.60,131,0.84,0.45,0.49,238,0.63,0.33,0.37,80.7,85.8,83.2,-0.4,-0.34,-0.36
BR31,Minas Gerais,Brazil,21411.788,36.5,NA,110,0.28,0.44,0.48,217,1.04,1.60,1.77,NA,NA,NA,NA,NA,NA
US48,Texas,U.S.A.,28999.321,42.7,7.00,122,0.38,0.44,0.48,229,1.03,1.19,1.31,75.5,80.6,78.0,-1.1,-0.92,-1.00
ARE,United Arab Emirates,Cntry/Terr,9890.400,118.3,1.62,119,0.10,0.42,0.47,226,0.11,0.45,0.50,77.1,79.2,78.1,-0.4,-0.25,-0.31
IT06,Friuli-Venezia Giulia,Italy,1218.962,155147.8,11.90,132,0.78,0.41,0.46,239,0.45,0.24,0.26,80.6,85.7,83.1,-0.3,-0.25,-0.26
US21,Kentucky,U.S.A.,4519.893,43.9,10.82,119,0.44,0.40,0.45,226,0.44,0.40,0.45,72.7,77.8,75.1,-0.3,-0.24,-0.27
BR42,Santa Catarina,Brazil,7247.033,75.7,NA,114,0.26,0.40,0.44,221,1.01,1.54,1.71,NA,NA,NA,NA,NA,NA
MDV,Maldives,Cntry/Terr,540.542,1801.8,2.79,78,0.13,0.40,0.44,185,0.87,2.64,2.93,76.1,79.6,77.8,-1.7,-1.31,-1.52
ES01,Andalucia,Spain,8349.380,95.3,8.33,127,0.50,0.38,0.42,234,0.48,0.37,0.41,72.4,84.6,78.3,-0.2,-0.32,-0.27
US46,South Dakota,U.S.A.,893.132,4.5,9.19,103,0.46,0.38,0.42,210,0.47,0.39,0.43,76.3,81.7,79.0,-0.3,-0.31,-0.32
CAF,Central African Republic,Cntry/Terr,4829.764,7.8,11.86,56,0.07,0.37,0.41,163,0.04,0.20,0.23,51.3,55.7,53.4,0.0,-0.02,-0.03
US55,Wisconsin,U.S.A.,5882.866,41.8,9.09,120,0.43,0.36,0.40,227,0.27,0.23,0.25,76.9,81.5,79.2,-0.2,-0.18,-0.19
BR50,Mato Grosso do Sul,Brazil,2810.886,7.9,NA,109,0.23,0.35,0.39,216,0.94,1.45,1.60,NA,NA,NA,NA,NA,NA
US47,Tennessee,U.S.A.,6847.752,64.1,10.44,117,0.36,0.34,0.37,224,0.46,0.42,0.47,73.4,78.6,76.0,-0.3,-0.27,-0.30
US38,North Dakota,U.S.A.,769.967,4.3,8.49,109,0.39,0.34,0.37,216,1.03,0.89,0.99,76.6,81.5,79.0,-0.8,-0.71,-0.78
ES12,Galicia,Spain,2697.559,91.2,11.57,126,0.67,0.34,0.37,233,0.39,0.20,0.22,73.3,86.3,79.7,-0.1,-0.21,-0.17
YEM,Yemen,Cntry/Terr,29825.968,56.5,5.97,79,0.07,0.33,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUR,Turkey,Cntry/Terr,84339.067,109.6,5.51,122,0.19,0.32,0.36,229,0.15,0.25,0.27,74.7,80.5,77.6,-0.2,-0.16,-0.17
US40,Oklahoma,U.S.A.,3989.492,22.4,10.29,117,0.34,0.32,0.35,224,0.42,0.39,0.43,73.4,78.4,75.9,-0.3,-0.26,-0.28
US49,Utah,U.S.A.,3194.497,15.0,5.81,111,0.24,0.32,0.35,218,0.64,0.84,0.93,76.8,80.9,78.8,-0.8,-0.57,-0.66
US05,Arkansas,U.S.A.,3049.575,22.6,10.85,115,0.36,0.32,0.35,222,0.33,0.30,0.33,73.3,78.6,75.9,-0.2,-0.19,-0.21
EGY,Egypt,Cntry/Terr,102334.403,102.8,5.77,132,0.11,0.31,0.35,239,0.23,0.65,0.72,69.5,74.3,71.8,-0.3,-0.26,-0.30
PRT,Portugal,Cntry/Terr,10196.707,111.3,10.87,123,0.49,0.31,0.35,230,1.13,0.73,0.80,78.5,84.3,81.4,-0.7,-0.63,-0.66
GNB,Guinea-Bissau,Cntry/Terr,1967.998,70.0,9.32,83,0.06,0.31,0.34,190,0.04,0.21,0.23,56.5,60.5,58.4,0.0,-0.03,-0.04
US20,Kansas,U.S.A.,2945.539,13.9,9.29,114,0.33,0.29,0.32,221,0.23,0.20,0.22,76.1,80.8,78.4,-0.2,-0.15,-0.16
CPV,Cabo Verde,Cntry/Terr,555.988,138.0,5.56,113,0.11,0.29,0.32,220,0.46,1.18,1.31,69.1,75.9,72.4,-0.6,-0.49,-0.54
SWZ,Eswatini,Cntry/Terr,1160.164,67.5,9.17,93,0.07,0.28,0.31,200,0.60,2.34,2.60,55.6,64.2,59.8,-0.5,-0.55,-0.52
RUS,Russian Federation,Cntry/Terr,145934.460,8.9,12.89,115,0.26,0.27,0.30,222,0.43,0.45,0.50,67.0,77.6,72.2,-0.2,-0.24,-0.22
SLV,El Salvador,Cntry/Terr,6486.201,313.0,7.11,108,0.16,0.27,0.30,215,0.97,1.69,1.87,67.7,77.1,72.3,-1.0,-0.92,-0.96
ROU,Romania,Cntry/Terr,19237.682,83.6,13.21,118,0.32,0.27,0.29,225,0.89,0.75,0.83,72.3,79.2,75.7,-0.5,-0.41,-0.43
KGZ,Kyrgyzstan,Cntry/Terr,6524.191,34.0,5.93,107,0.09,0.25,0.28,214,0.97,2.82,3.13,66.6,74.6,70.5,-1.0,-1.07,-1.02
ES14,Murcia (Region de),Spain,1479.460,130.8,7.65,120,0.31,0.25,0.28,227,0.28,0.23,0.26,73.6,85.4,79.4,-0.1,-0.21,-0.17
IT12,Lazio,Italy,5885.980,341707.9,9.70,134,0.39,0.25,0.27,241,0.24,0.15,0.17,80.0,85.4,82.7,-0.2,-0.16,-0.17
