LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
MX23,Quintana Roo,Mexico,"1,497.403",33.4,3.35,181,2.17,6.80,7.34,279,2.13,6.68,7.20,5.57,1.63,67.8,74.6,71.1,-4.87,-4.08,-4.49
PE11,Ica,Peru,954.364,44.7,NA,190,3.16,4.81,5.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX27,Tabasco,Mexico,"2,555.914",103.3,4.98,177,2.26,4.76,5.14,275,1.60,3.37,3.64,6.75,1.20,69.4,76.0,72.6,-2.64,-2.22,-2.44
MX02,Baja California,Mexico,"3,605.789",50.5,4.88,177,1.98,4.74,5.11,275,1.58,3.80,4.10,5.94,1.19,69.9,76.6,73.2,-3.04,-2.59,-2.82
PE17,Madre de Dios,Peru,158.084,1.9,NA,190,1.66,4.73,5.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE07,Callao,Peru,"1,119.096","7,669.8",NA,190,2.96,4.39,4.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE24,Tumbes,Peru,252.031,54.0,NA,190,2.28,4.09,4.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE16,Loreto,Peru,981.170,2.7,NA,190,1.86,3.86,4.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX26,Sonora,Mexico,"3,077.474",17.1,5.60,174,1.96,3.84,4.13,272,1.53,2.98,3.21,7.00,1.13,70.0,76.6,73.2,-2.36,-1.99,-2.18
PE15,Lima,Peru,"10,693.435",307.0,NA,190,2.58,3.64,3.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX04,Campeche,Mexico,945.785,16.4,4.64,171,1.84,3.58,3.86,269,1.24,2.41,2.60,6.95,0.91,70.0,76.3,73.1,-1.90,-1.57,-1.74
MX25,Sinaloa,Mexico,"3,215.596",56.0,5.59,179,1.98,3.54,3.82,277,1.79,3.21,3.47,7.73,1.36,69.6,76.2,72.8,-2.54,-2.13,-2.34
PE18,Moquegua,Peru,197.521,12.6,NA,190,2.53,3.46,3.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE14,Lambayeque,Peru,"1,340.725",92.6,NA,190,2.40,3.41,3.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR14,Roraima,Brazil,612.715,2.7,NA,175,2.17,3.37,3.63,273,1.51,2.35,2.54,NA,NA,NA,NA,NA,NA,NA,NA
MX09,Ciudad de Mexico,Mexico,"10,298.920","6,888.8",6.23,191,2.20,3.34,3.60,289,2.05,3.11,3.35,8.42,1.62,70.8,77.2,73.9,-2.75,-2.30,-2.53
BR53,Distrito Federal,Brazil,"3,049.880",529.4,NA,181,2.10,3.26,3.51,279,1.75,2.72,2.94,NA,NA,NA,NA,NA,NA,NA,NA
PER,Peru,Cntry/Terr,"32,971.846",25.8,5.45,190,1.86,3.15,3.39,288,1.70,2.87,3.09,7.22,1.33,71.7,77.5,74.5,-2.56,-2.20,-2.39
PE13,La Libertad,Peru,"1,990.970",78.1,NA,190,2.12,3.14,3.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR33,Rio de Janeiro,Brazil,"17,463.128",399.2,NA,191,1.98,3.07,3.31,289,1.84,2.85,3.08,NA,NA,NA,NA,NA,NA,NA,NA
MX29,Tlaxcala,Mexico,"1,345.008",336.5,4.73,168,1.64,3.06,3.30,266,1.37,2.56,2.76,7.07,1.00,70.4,76.4,73.3,-2.06,-1.67,-1.87
BR51,Mato Grosso,Brazil,"3,524.464",3.9,NA,176,1.95,3.02,3.26,274,1.63,2.53,2.73,NA,NA,NA,NA,NA,NA,NA,NA
MX03,Baja California Sur,Mexico,727.007,9.8,3.82,177,1.27,3.02,3.26,275,1.48,3.53,3.81,5.89,1.11,70.0,76.7,73.3,-2.86,-2.43,-2.65
US34,New Jersey,U.S.A.,"9,008.043",468.8,8.31,194,3.37,2.97,3.21,292,3.28,2.89,3.12,11.35,2.61,74.4,79.8,77.1,-3.19,-2.67,-2.93
BR23,Ceara,Brazil,"9,236.905",62.0,NA,184,1.91,2.97,3.20,282,1.42,2.21,2.38,NA,NA,NA,NA,NA,NA,NA,NA
BR13,Amazonas (BR),Brazil,"4,192.173",2.7,NA,185,1.88,2.93,3.15,283,1.43,2.23,2.40,NA,NA,NA,NA,NA,NA,NA,NA
MX06,Colima,Mexico,749.741,133.2,4.95,162,1.64,2.91,3.14,260,1.79,3.18,3.43,7.53,1.27,70.6,76.0,73.3,-2.52,-1.94,-2.24
PE20,Piura,Peru,"2,076.318",58.2,NA,190,1.79,2.86,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE22,San Martin,Peru,909.611,17.7,NA,190,1.47,2.85,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR28,Sergipe,Brazil,"2,325.083",106.0,NA,177,1.78,2.77,2.98,275,1.30,2.02,2.18,NA,NA,NA,NA,NA,NA,NA,NA
US36,New York,U.S.A.,"19,779.540",161.7,7.83,196,3.12,2.75,2.96,294,2.38,2.09,2.26,10.39,1.91,75.6,80.9,78.2,-2.49,-2.18,-2.34
BR32,Espirito Santo,Brazil,"4,064.780",88.2,NA,177,1.76,2.73,2.95,275,1.33,2.07,2.23,NA,NA,NA,NA,NA,NA,NA,NA
BR16,Amapa,Brazil,855.439,6.0,NA,175,1.71,2.65,2.86,273,1.18,1.83,1.97,NA,NA,NA,NA,NA,NA,NA,NA
PE02,Ancash,Peru,"1,216.095",33.9,NA,190,2.02,2.62,2.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOL,Bolivia (Plurinational State of),Cntry/Terr,"11,673.029",10.8,6.79,180,1.35,2.59,2.79,278,0.99,1.90,2.05,7.67,0.75,67.2,73.2,70.1,-1.68,-1.48,-1.58
BR26,Pernambuco,Brazil,"9,666.777",98.6,NA,185,1.66,2.58,2.78,283,1.26,1.95,2.11,NA,NA,NA,NA,NA,NA,NA,NA
PE25,Ucayali,Peru,552.917,5.4,NA,190,1.09,2.52,2.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
