LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
MX23,Quintana Roo,Mexico,"1,497.403",33.4,3.35,167,2.19,6.77,7.40,279,2.10,6.52,7.13,5.55,1.60,67.8,74.6,71.1,-4.82,-4.03,-4.44
MX27,Tabasco,Mexico,"2,555.914",103.3,4.98,163,2.36,4.92,5.38,275,2.09,4.37,4.78,7.10,1.57,68.7,75.4,72.0,-3.34,-2.81,-3.08
PE11,Ica,Peru,954.364,44.7,NA,176,3.27,4.92,5.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE17,Madre de Dios,Peru,158.084,1.9,NA,176,1.74,4.90,5.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX02,Baja California,Mexico,"3,605.789",50.5,4.88,163,2.03,4.82,5.27,275,2.13,5.06,5.53,6.34,1.60,69.0,75.8,72.4,-3.92,-3.33,-3.63
PE07,Callao,Peru,"1,119.096",7669.8,NA,176,3.03,4.43,4.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE24,Tumbes,Peru,252.031,54.0,NA,176,2.35,4.17,4.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE16,Loreto,Peru,981.170,2.7,NA,176,1.98,4.06,4.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX26,Sonora,Mexico,"3,077.474",17.1,5.60,160,2.06,3.99,4.36,272,1.94,3.74,4.08,7.29,1.44,69.5,76.1,72.7,-2.91,-2.45,-2.69
MX04,Campeche,Mexico,945.785,16.4,4.64,157,1.94,3.73,4.07,269,1.62,3.11,3.40,7.21,1.19,69.5,75.8,72.6,-2.42,-2.00,-2.22
PE15,Lima,Peru,"10,693.435",307.0,NA,176,2.63,3.66,4.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX25,Sinaloa,Mexico,"3,215.596",56.0,5.59,165,2.03,3.60,3.94,277,2.02,3.58,3.92,7.89,1.53,69.3,75.9,72.5,-2.82,-2.37,-2.60
PE14,Lambayeque,Peru,"1,340.725",92.6,NA,176,2.52,3.54,3.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR14,Roraima,Brazil,612.715,2.7,NA,161,2.25,3.46,3.78,273,1.53,2.35,2.57,NA,NA,NA,NA,NA,NA,NA,NA
PE18,Moquegua,Peru,197.521,12.6,NA,176,2.54,3.43,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX09,Ciudad de Mexico,Mexico,"10,298.920",6888.8,6.23,177,2.23,3.34,3.65,289,2.11,3.17,3.46,8.47,1.67,70.7,77.1,73.8,-2.82,-2.35,-2.59
PE13,La Libertad,Peru,"1,990.970",78.1,NA,176,2.21,3.24,3.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX29,Tlaxcala,Mexico,"1,345.008",336.5,4.73,154,1.73,3.19,3.48,266,1.68,3.09,3.38,7.29,1.22,70.0,76.1,73.0,-2.47,-2.00,-2.24
PER,Peru,Cntry/Terr,"32,971.846",25.8,5.45,176,1.91,3.18,3.48,288,1.71,2.86,3.12,7.23,1.35,71.7,77.4,74.5,-2.58,-2.21,-2.40
US34,New Jersey,U.S.A.,"9,008.043",468.8,8.31,180,3.61,3.15,3.44,292,2.99,2.60,2.84,11.13,2.39,74.7,80.0,77.3,-2.94,-2.45,-2.70
BR53,Distrito Federal,Brazil,"3,049.880",529.4,NA,167,2.04,3.13,3.43,279,1.52,2.34,2.55,NA,NA,NA,NA,NA,NA,NA,NA
BR23,Ceara,Brazil,"9,236.905",62.0,NA,170,2.01,3.09,3.38,282,1.49,2.29,2.50,NA,NA,NA,NA,NA,NA,NA,NA
BR33,Rio de Janeiro,Brazil,"17,463.128",399.2,NA,177,2.00,3.07,3.35,289,1.59,2.43,2.66,NA,NA,NA,NA,NA,NA,NA,NA
BR13,Amazonas (BR),Brazil,"4,192.173",2.7,NA,171,1.98,3.03,3.32,283,1.37,2.10,2.30,NA,NA,NA,NA,NA,NA,NA,NA
BR51,Mato Grosso,Brazil,"3,524.464",3.9,NA,162,1.94,2.98,3.25,274,1.63,2.50,2.73,NA,NA,NA,NA,NA,NA,NA,NA
PE20,Piura,Peru,"2,076.318",58.2,NA,176,1.87,2.95,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE22,San Martin,Peru,909.611,17.7,NA,176,1.53,2.94,3.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX03,Baja California Sur,Mexico,727.007,9.8,3.82,163,1.24,2.92,3.19,275,1.64,3.88,4.24,6.00,1.24,69.8,76.5,73.0,-3.13,-2.66,-2.90
US36,New York,U.S.A.,"19,779.540",161.7,7.83,182,3.36,2.91,3.18,294,2.87,2.49,2.72,10.76,2.31,75.1,80.5,77.8,-2.94,-2.56,-2.76
BR28,Sergipe,Brazil,"2,325.083",106.0,NA,163,1.87,2.86,3.13,275,1.23,1.88,2.06,NA,NA,NA,NA,NA,NA,NA,NA
BR32,Espirito Santo,Brazil,"4,064.780",88.2,NA,163,1.83,2.81,3.07,275,1.39,2.13,2.33,NA,NA,NA,NA,NA,NA,NA,NA
MX06,Colima,Mexico,749.741,133.2,4.95,148,1.58,2.77,3.03,260,1.61,2.83,3.09,7.41,1.15,70.9,76.2,73.5,-2.29,-1.76,-2.03
BR16,Amapa,Brazil,855.439,6.0,NA,161,1.80,2.76,3.01,273,1.67,2.57,2.80,NA,NA,NA,NA,NA,NA,NA,NA
PE02,Ancash,Peru,"1,216.095",33.9,NA,176,2.08,2.66,2.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR26,Pernambuco,Brazil,"9,666.777",98.6,NA,171,1.73,2.65,2.89,283,1.51,2.32,2.54,NA,NA,NA,NA,NA,NA,NA,NA
PE25,Ucayali,Peru,552.917,5.4,NA,176,1.15,2.61,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOL,Bolivia (Plurinational State of),Cntry/Terr,"11,673.029",10.8,6.79,166,1.36,2.57,2.81,278,1.32,2.49,2.72,7.90,1.00,66.7,72.8,69.7,-2.16,-1.91,-2.04
BR12,Acre,Brazil,892.059,5.4,NA,158,1.65,2.53,2.77,270,1.08,1.66,1.82,NA,NA,NA,NA,NA,NA,NA,NA
BR15,Para,Brazil,"8,701.617",7.0,NA,164,1.61,2.47,2.70,276,1.21,1.85,2.02,NA,NA,NA,NA,NA,NA,NA,NA
BR11,Rondonia,Brazil,"1,797.626",7.6,NA,156,1.59,2.44,2.66,268,1.29,1.99,2.17,NA,NA,NA,NA,NA,NA,NA,NA
MX15,Mexico (State),Mexico,"17,378.187",777.5,4.50,165,1.09,2.39,2.61,277,1.34,2.93,3.21,6.24,1.01,70.6,75.9,73.2,-2.54,-1.93,-2.24
US25,Massachusetts,U.S.A.,"6,985.561",344.1,8.57,175,2.74,2.38,2.60,287,2.58,2.24,2.45,10.84,2.03,74.9,80.6,77.7,-2.47,-2.11,-2.29
MX31,Yucatan,Mexico,"2,269.237",57.4,5.71,159,1.43,2.36,2.58,271,1.76,2.91,3.18,8.20,1.30,69.4,76.0,72.6,-2.26,-1.89,-2.08
ECU,Ecuador,Cntry/Terr,"17,643.060",71.0,5.10,181,1.23,2.30,2.51,293,1.40,2.62,2.86,6.34,1.12,71.8,77.7,74.7,-2.67,-2.26,-2.47
PE04,Arequipa,Peru,"1,556.127",24.6,NA,176,1.64,2.30,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX21,Puebla,Mexico,"6,612.709",192.8,5.37,166,1.26,2.27,2.48,278,1.64,2.97,3.25,7.60,1.25,69.3,75.8,72.5,-2.40,-1.99,-2.20
MX28,Tamaulipas,Mexico,"3,689.743",45.9,5.26,160,1.20,2.26,2.47,272,1.11,2.09,2.28,6.89,0.83,70.5,76.9,73.6,-1.72,-1.44,-1.58
MX05,Coahuila de Zaragoza,Mexico,"3,150.456",20.7,5.31,166,1.11,2.20,2.40,278,1.38,2.74,3.00,6.66,1.05,70.4,76.9,73.6,-2.29,-1.93,-2.11
US22,Louisiana,U.S.A.,"4,713.234",41.8,9.78,181,2.21,2.19,2.39,293,2.19,2.16,2.36,11.67,1.75,71.7,77.6,74.6,-2.00,-1.71,-1.86
BR24,Rio Grande do Norte,Brazil,"3,547.108",67.2,NA,167,1.42,2.18,2.39,279,1.15,1.77,1.93,NA,NA,NA,NA,NA,NA,NA,NA
BR25,Paraiba,Brazil,"4,064.251",72.0,NA,164,1.42,2.18,2.38,276,1.10,1.68,1.84,NA,NA,NA,NA,NA,NA,NA,NA
US11,District of Columbia,U.S.A.,712.330,4477.2,7.15,169,1.87,2.17,2.38,281,1.72,1.99,2.18,8.97,1.32,72.9,79.2,76.0,-2.03,-1.98,-2.00
BR35,Sao Paulo,Brazil,"46,446.155",187.1,NA,179,1.41,2.17,2.37,291,1.23,1.88,2.06,NA,NA,NA,NA,NA,NA,NA,NA
MX13,Hidalgo,Mexico,"3,072.136",147.6,4.87,167,1.25,2.16,2.36,279,1.66,2.88,3.15,7.82,1.27,70.0,75.9,72.9,-2.36,-1.89,-2.13
MX19,Nuevo Leon,Mexico,"5,360.737",83.5,4.97,160,1.09,2.11,2.30,272,1.35,2.61,2.85,6.69,1.00,70.8,77.3,73.9,-2.17,-1.83,-2.00
US09,Connecticut,U.S.A.,"3,613.794",288.0,8.73,176,2.58,2.10,2.29,288,1.77,1.44,1.57,10.62,1.39,76.1,81.5,78.7,-1.68,-1.45,-1.57
