LocID,Location,Loc_type,Mid_2020_pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
BR24,Rio Grande do Norte,Brazil,3547.108252,67.16786564,NA,104,1.334429357,2.018691548,2.271150194,218,2.199993853,3.328095992,3.744309459,NA,NA,NA,NA
BR27,Alagoas,Brazil,3375.666603,121.2380432,NA,102,1.30745418,1.977884171,2.225239425,216,1.846089542,2.792718352,3.141977204,NA,NA,NA,NA
ES17,"Rioja, La",Spain,315.7410548,62.58494644,10,124,3.421443953,1.960646612,2.205846127,238,2.547500706,1.45983646,1.642404389,73.80863305,85.32248582,-0.972791337,-1.568588572
IT02,Valle d'Aosta/Vallee d'Aoste,Italy,125.9531729,38701.25138,11.7,122,3.477482862,1.959052899,2.204053104,236,2.61836682,1.475066683,1.659539312,76.62866995,83.93150159,-1.425329854,-1.322837544
BR11,Rondonia,Brazil,1797.625809,7.560507202,NA,93,1.289478593,1.95069115,2.19464563,207,0.950525409,1.437931201,1.617759647,NA,NA,NA,NA
BEL,Belgium,Cntry/Terr,11589.616,382.748,9.782,118,2.616857442,1.889318061,2.12559719,232,1.475149271,1.06502789,1.198220848,78.45968261,83.07510069,-1.045255304,-0.920725263
PER,Peru,Cntry/Terr,32971.846,25.759,5.6705,113,1.111413208,1.830827927,2.059792248,227,1.912594468,3.150611619,3.544628795,71.98083244,77.55596554,-2.30433333,-2.101564891
BR21,Maranhao,Brazil,7156.397176,21.70959169,NA,103,1.170331805,1.770448851,1.991862132,217,1.14869142,1.737711814,1.955030984,NA,NA,NA,NA
BR35,Sao Paulo,Brazil,46446.15489,187.1172831,NA,116,1.162857109,1.759141316,1.979140471,230,1.455705175,2.202154589,2.477557221,NA,NA,NA,NA
MX12,Guerrero,Mexico,3882.954143,61.07277211,4.860763558,99,0.989234324,1.670341781,1.879235618,213,1.537038294,2.595319652,2.919891718,NA,NA,NA,NA
US26,Michigan,U.S.A.,10114.52751,68.74280431,9.8,114,1.990524077,1.662444628,1.870350844,228,1.129078698,0.942983227,1.060913214,74.75538346,79.76438914,-0.802784309,-0.730868824
ES07,Castilla y Leon,Spain,2401.521003,25.48735994,11.91,120,3.544649407,1.633381244,1.837652776,234,1.325172989,0.610642254,0.687009501,74.6533491,86.33168221,-0.444416366,-0.699949688
US24,Maryland,U.S.A.,6109.605046,241.3308835,8.25,112,1.75865939,1.62095428,1.82367169,226,1.028399578,0.947874675,1.066416389,75.50538425,80.96222305,-0.88590095,-0.840278853
BR25,Paraiba,Brazil,4064.251178,71.97537961,NA,101,1.066375972,1.613187053,1.814933089,215,1.38820922,2.100048386,2.362681562,NA,NA,NA,NA
US17,Illinois,U.S.A.,12887.40289,89.50418228,8.57,115,1.80993326,1.603446765,1.803974676,229,1.104609395,0.978589874,1.100972848,75.76432366,80.84953119,-0.900537247,-0.827072632
MX21,Puebla,Mexico,6612.709445,192.7810566,5.368843957,103,0.893627797,1.587476979,1.7860077,217,1.137533431,2.020760927,2.27347837,NA,NA,NA,NA
ECU,Ecuador,Cntry/Terr,17643.06,71.038,5.1535,118,0.861432489,1.582879925,1.780835736,232,2.026918211,3.724456863,4.190239433,71.49336514,77.31969054,-3.00400147,-2.677345726
ES15,Navarra (C. Foral de),Spain,651.0194661,62.65224387,8.51,118,2.515585171,1.578841002,1.776291703,232,1.241309827,0.77907553,0.876507133,74.94821145,86.43674536,-0.554022043,-0.859838623
BR22,Piaui,Brazil,3310.800453,13.15080348,NA,94,1.039614889,1.572703552,1.7693867,208,1.193042136,1.804804476,2.03051429,NA,NA,NA,NA
BRA,Brazil,Cntry/Terr,212559.409,25.431,6.631,116,1.026947945,1.553541314,1.747828022,230,1.345328328,2.03517924,2.289699845,70.93099347,78.12744746,-1.517872796,-1.576686645
MYT,Mayotte,Cntry/Terr,272.813,727.501,2.7485,101,0.491469277,1.549002109,1.742721142,NA,NA,NA,NA,NA,NA,NA,NA
MX31,Yucatan,Mexico,2269.236978,57.43943112,5.712891898,96,0.935804643,1.52253655,1.712945786,210,1.379042436,2.243676102,2.524271436,NA,NA,NA,NA
MEX,Mexico (Country),Cntry/Terr,128932.753,66.325,6.1355,114,0.834823602,1.511209987,1.700202717,228,1.294550547,2.343414479,2.636483148,70.67861822,76.51701757,-1.678267136,-1.481962948
MX13,Hidalgo,Mexico,3072.136395,147.5537721,4.874263513,104,0.875186503,1.490507957,1.67691168,218,1.435589847,2.444916693,2.750679284,NA,NA,NA,NA
US10,Delaware,U.S.A.,979.2538599,193.4328612,9.54,106,1.82293201,1.478975781,1.663937284,220,1.029007452,0.834851267,0.939258214,75.16936573,80.69780357,-0.723725177,-0.688278119
BR51,Mato Grosso,Brazil,3524.464271,3.902166609,NA,99,0.973421098,1.47256723,1.656727276,213,1.078899517,1.632132359,1.836247706,NA,NA,NA,NA
MX08,Chihuahua,Mexico,3832.828236,15.52724882,7.576475907,92,0.731750483,1.468806691,1.652496442,206,1.302487646,2.614419279,2.941379954,NA,NA,NA,NA
ES09,Catalunia,Spain,7623.413639,237.3933808,8.41,125,2.179653471,1.456926581,1.6391306,239,1.503657859,1.005076786,1.130772227,73.55536019,85.53938982,-0.678232921,-1.065446969
GBR,United Kingdom,Cntry/Terr,67886.004,280.602,9.421,127,1.897047996,1.451327331,1.632831104,241,1.529442626,1.170092633,1.316425044,78.572506,82.0955976,-1.217274187,-0.992120009
BR53,Distrito Federal,Brazil,3049.880335,529.4211456,NA,104,0.949652644,1.436610904,1.616274233,218,1.121874534,1.697143897,1.909389621,NA,NA,NA,NA
IT01,Piemonte,Italy,4369.051871,172347.8019,12.3,128,2.688526675,1.411960012,1.588540487,242,1.61320559,0.847223055,0.953177224,78.83710037,84.55163705,-0.916341238,-0.819754869
STP,Sao Tome and Principe,Cntry/Terr,219.161,228.293,4.744,72,0.324723225,1.4113484,1.587852387,186,0.139789818,0.607570142,0.683553189,67.86126193,72.56848961,-0.238928508,-0.404692123
IT08,Emilia-Romagna,Italy,4468.697467,164493.1943,11.2,136,2.570912987,1.395626345,1.570164123,250,1.611742206,0.874938162,0.984358397,79.78191488,85.08614068,-1.052066689,-0.941226873
IT22,Trento (Provincia autonoma di),Italy,541.8657773,87334.43467,9.3,121,2.26078371,1.352871473,1.522062304,235,1.296202518,0.775658194,0.872662423,80.08507354,85.77910391,-0.954205654,-0.855160089
CHL,Chile,Cntry/Terr,19116.209,25.71,6.3585,112,1.142267352,1.34137744,1.50913082,226,1.500361514,1.761891455,1.982234544,76.34710715,81.09704227,-1.63629941,-1.461451971
US42,Pennsylvania,U.S.A.,12966.16963,111.6976917,10.59,113,1.710624527,1.31010928,1.473952248,227,1.243408752,0.952284572,1.07137779,74.72525617,80.18658398,-0.807049601,-0.763840322
MX22,Queretaro,Mexico,2094.397352,178.9694428,4.356824114,102,0.615058298,1.289186851,1.450413249,216,1.339588752,2.807831729,3.158980669,NA,NA,NA,NA
IT07,Liguria,Italy,1557.701965,192215.632,14.3,130,2.815923282,1.288775825,1.449950819,244,1.726582958,0.790212713,0.889037138,79.09879022,84.63918044,-0.873293799,-0.804025946
US28,Mississippi,U.S.A.,3019.797921,24.85299475,10.82,109,1.338761433,1.275163087,1.434635666,223,1.325029667,1.262083654,1.419920512,71.42316444,77.49907905,-0.841429423,-0.812269373
SWE,Sweden,Cntry/Terr,10099.27,24.612,9.1355,118,1.689163874,1.220644798,1.37329929,232,1.100277529,0.795096357,0.894531533,80.36303822,83.96165167,-0.850595164,-0.711446961
MX30,Veracruz,Mexico,8831.400657,122.9408844,5.897926966,102,0.767914963,1.216559264,1.368702817,216,1.381780703,2.189068056,2.46283408,NA,NA,NA,NA
US18,Indiana,U.S.A.,6767.587151,72.84526274,9.84,115,1.288075798,1.164602777,1.310248624,229,0.802976274,0.726004168,0.816798638,74.03346582,79.37743969,-0.575798761,-0.559623588
MX07,Chiapas,Mexico,5412.678969,73.8003337,4.528434843,91,0.517917042,1.149627732,1.293400791,205,1.418932402,3.14962418,3.543517867,NA,NA,NA,NA
MX01,Aguascalientes,Mexico,1360.852057,242.3128719,4.368791118,90,0.53490997,1.127729452,1.268763901,204,1.275820738,2.689762205,3.026145307,NA,NA,NA,NA
MX03,Baja California Sur,Mexico,727.0073472,9.814769234,3.820880152,100,0.478262017,1.125286351,1.266015265,214,1.302820835,3.06536261,3.448718499,NA,NA,NA,NA
ESP,Spain,Cntry/Terr,46754.783,93.735,9.2625,129,1.723451083,1.123933794,1.264493556,243,1.100886801,0.717933855,0.807719047,80.10581454,85.57764003,-0.823962651,-0.783161162
ES02,Aragon,Spain,1315.01689,27.556934,10.26,125,2.032874269,1.119530838,1.259539964,239,1.084704877,0.597361371,0.672067703,73.92556015,86.04488381,-0.409760985,-0.667349396
MX18,Nayarit,Mexico,1255.449391,45.12762574,5.470151957,99,0.6949582,1.115322221,1.254805015,213,1.371806621,2.20158048,2.476911314,NA,NA,NA,NA
IT21,Bolzano (Provincia autonoma di),Italy,531.1911956,71779.74944,8.3,121,1.662752841,1.107836135,1.246382715,235,1.11844547,0.745182493,0.838375414,79.5879122,85.71307552,-0.883596451,-0.789552094
