LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
MX23,Quintana Roo,Mexico,"1,497.403",33.4,3.35,28,1.68,4.52,5.91,366,1.48,3.99,5.23,5.46,68.1,74.7,71.3,-4.55,-3.91,-4.24
MX02,Baja California,Mexico,"3,605.789",50.5,4.88,28,4.26,8.69,11.37,366,1.86,3.79,4.96,6.62,68.5,75.3,71.8,-4.42,-3.85,-4.15
MX09,Ciudad de Mexico,Mexico,"10,298.920","6,888.8",6.23,28,6.60,8.39,10.98,366,2.13,2.71,3.55,8.97,70.1,76.5,73.2,-3.46,-2.96,-3.22
MX05,Coahuila de Zaragoza,Mexico,"3,150.456",20.7,5.31,28,3.96,6.72,8.79,366,1.63,2.76,3.62,7.26,69.3,76.0,72.6,-3.37,-2.91,-3.14
MX26,Sonora,Mexico,"3,077.474",17.1,5.60,28,4.47,7.36,9.63,366,1.69,2.79,3.65,7.58,69.0,75.7,72.3,-3.34,-2.89,-3.12
MX03,Baja California Sur,Mexico,727.007,9.8,3.82,28,3.00,6.10,7.99,366,1.30,2.63,3.45,6.09,69.6,76.3,72.9,-3.28,-2.86,-3.08
MX15,Mexico (State),Mexico,"17,378.187",777.5,4.50,28,3.73,7.02,9.18,366,1.37,2.58,3.38,6.62,69.8,75.2,72.4,-3.32,-2.60,-2.97
PAN,Panama,Cntry/Terr,"4,314.768",58.0,5.06,28,3.56,4.80,6.28,366,1.20,1.63,2.13,6.50,72.7,79.3,75.9,-2.92,-2.61,-2.77
MX22,Queretaro,Mexico,"2,094.397",179.0,4.36,28,5.29,9.55,12.49,366,1.30,2.36,3.08,6.63,69.7,76.1,72.8,-2.98,-2.53,-2.76
MX27,Tabasco,Mexico,"2,555.914",103.3,4.98,28,1.37,2.44,3.19,366,1.36,2.41,3.16,6.94,69.1,75.7,72.3,-2.93,-2.53,-2.73
US34,New Jersey,U.S.A.,"9,008.043",468.8,8.31,28,3.28,2.38,3.12,366,2.36,1.72,2.25,11.19,74.7,80.0,77.3,-2.88,-2.45,-2.67
MX01,Aguascalientes,Mexico,"1,360.852",242.3,4.37,28,2.86,5.19,6.80,366,1.22,2.22,2.91,6.46,70.1,76.5,73.2,-2.85,-2.42,-2.64
US36,New York,U.S.A.,"19,779.540",161.7,7.83,28,3.38,2.44,3.20,366,2.18,1.58,2.06,10.70,75.3,80.6,77.9,-2.77,-2.46,-2.62
MX08,Chihuahua,Mexico,"3,832.828",15.5,7.58,28,1.53,2.65,3.46,366,1.27,2.19,2.86,6.90,69.6,76.2,72.9,-2.75,-2.38,-2.57
PE11,Ica,Peru,954.364,44.7,NA,28,1.44,2.06,2.69,366,1.99,2.84,3.72,13.45,68.8,73.2,70.9,-2.73,-2.41,-2.57
MX25,Sinaloa,Mexico,"3,215.596",56.0,5.59,28,1.79,2.70,3.53,366,1.45,2.19,2.86,7.86,69.4,76.0,72.6,-2.68,-2.30,-2.50
IT02,Valle d'Aosta/Vallee d'Aoste,Italy,125.953,38.7,11.70,28,2.49,1.21,1.58,366,3.20,1.55,2.03,15.49,75.5,82.9,79.1,-2.58,-2.36,-2.47
IT03,Lombardia,Italy,"10,073.686",422.2,9.90,28,2.36,1.21,1.59,366,2.67,1.37,1.80,13.08,78.0,83.8,80.8,-2.58,-2.32,-2.45
MX29,Tlaxcala,Mexico,"1,345.008",336.5,4.73,28,3.78,5.88,7.70,366,1.34,2.09,2.73,7.44,69.8,75.9,72.8,-2.66,-2.21,-2.44
MX13,Hidalgo,Mexico,"3,072.136",147.6,4.87,28,4.67,6.84,8.96,366,1.47,2.15,2.82,8.05,69.7,75.6,72.6,-2.67,-2.19,-2.44
PE07,Callao,Peru,"1,119.096","7,669.8",NA,28,1.52,2.13,2.78,366,1.88,2.64,3.45,13.16,69.7,73.9,71.8,-2.57,-2.30,-2.44
MX19,Nuevo Leon,Mexico,"5,360.737",83.5,4.97,28,3.35,5.52,7.22,366,1.22,2.01,2.63,6.93,70.3,76.9,73.5,-2.59,-2.24,-2.42
ES13,Madrid (Comunidad de),Spain,"6,611.809",823.6,7.06,28,1.40,0.86,1.12,366,1.90,1.16,1.52,9.73,80.1,85.4,82.6,-2.45,-2.28,-2.37
US25,Massachusetts,U.S.A.,"6,985.561",344.1,8.57,28,3.60,2.61,3.41,366,2.05,1.49,1.94,10.94,74.9,80.5,77.7,-2.47,-2.16,-2.32
US38,North Dakota,U.S.A.,769.967,4.3,8.49,28,2.55,1.87,2.44,366,1.87,1.37,1.80,10.74,75.0,80.2,77.5,-2.39,-2.03,-2.22
PER,Peru,Cntry/Terr,"32,971.846",25.8,5.45,28,1.03,1.45,1.90,366,1.22,1.73,2.26,7.15,71.9,77.6,74.7,-2.35,-2.07,-2.21
PE18,Moquegua,Peru,197.521,12.6,NA,28,5.29,6.75,8.83,366,1.97,2.51,3.29,14.96,68.3,72.8,70.5,-2.34,-2.08,-2.21
