LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
IRN,Iran (Islamic Republic of),Cntry/Terr,"83,992.953",51.6,4.88,171,0.46,0.96,1.07,287,1.09,2.28,2.54,5.75,0.85,73.8,76.8,75.3,-1.9,-1.26,-1.59
ES02,Aragon,Spain,"1,315.017",27.6,10.26,153,1.70,0.96,1.06,269,1.21,0.68,0.76,12.44,0.89,80.3,85.9,83.0,-0.9,-0.82,-0.85
ESP,Spain,Cntry/Terr,"46,754.783",93.7,9.02,157,1.42,0.94,1.05,273,1.10,0.73,0.81,10.51,0.82,80.0,85.5,82.7,-0.9,-0.86,-0.90
MX14,Jalisco,Mexico,"8,442.704",107.4,5.33,137,0.53,0.93,1.04,253,1.06,1.87,2.08,NA,NA,NA,NA,NA,NA,NA,NA
IRL,Ireland,Cntry/Terr,"4,937.796",71.7,6.05,150,0.87,0.92,1.02,266,1.06,1.11,1.24,7.16,0.77,79.5,83.0,81.2,-1.3,-1.04,-1.19
IT21,Bolzano (Provincia autonoma di),Italy,531.191,"71,779.7",8.30,149,1.35,0.91,1.02,265,1.84,1.24,1.38,10.27,1.33,78.9,85.1,81.9,-1.6,-1.40,-1.51
ARM,Armenia,Cntry/Terr,"2,963.234",104.1,9.91,135,0.71,0.90,1.00,251,0.60,0.77,0.85,9.92,0.41,71.0,78.2,74.5,-0.5,-0.43,-0.46
US45,South Carolina,U.S.A.,"5,145.408",66.0,9.84,140,0.99,0.88,0.98,256,1.02,0.91,1.01,11.05,0.71,73.6,79.2,76.3,-0.8,-0.71,-0.77
MX24,San Luis Potosi,Mexico,"2,972.710",48.6,5.14,135,0.54,0.87,0.97,251,1.17,1.87,2.08,NA,NA,NA,NA,NA,NA,NA,NA
KWT,Kuwait,Cntry/Terr,"4,270.563",239.7,2.67,127,0.32,0.87,0.96,243,0.94,2.58,2.88,3.70,0.63,73.3,75.8,74.5,-1.6,-0.96,-1.27
US48,Texas,U.S.A.,"28,999.321",42.7,7.00,143,0.76,0.87,0.96,259,1.34,1.53,1.70,8.22,0.95,75.0,80.2,77.5,-1.6,-1.33,-1.45
US08,Colorado,U.S.A.,"5,762.204",21.4,6.79,143,0.82,0.85,0.94,259,1.27,1.31,1.46,8.14,0.90,76.4,81.4,78.8,-1.4,-1.20,-1.33
