LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
MX23,Quintana Roo,Mexico,"1,497.403",33.4,3.35,140,2.10,6.42,7.17,248,1.83,5.61,6.26,NA,NA,NA,NA,NA,NA,NA,NA
MX27,Tabasco,Mexico,"2,555.914",103.3,4.98,136,2.44,5.03,5.61,244,1.97,4.06,4.52,NA,NA,NA,NA,NA,NA,NA,NA
MX02,Baja California,Mexico,"3,605.789",50.5,4.88,136,2.14,5.00,5.58,244,2.03,4.76,5.30,NA,NA,NA,NA,NA,NA,NA,NA
MX26,Sonora,Mexico,"3,077.474",17.1,5.60,133,2.14,4.07,4.54,241,1.70,3.23,3.60,NA,NA,NA,NA,NA,NA,NA,NA
BR14,Roraima,Brazil,612.715,2.7,NA,134,2.50,3.78,4.21,242,2.06,3.11,3.47,NA,NA,NA,NA,NA,NA,NA,NA
MX04,Campeche,Mexico,945.785,16.4,4.64,130,1.97,3.74,4.17,238,1.76,3.33,3.71,NA,NA,NA,NA,NA,NA,NA,NA
MX25,Sinaloa,Mexico,"3,215.596",56.0,5.59,138,2.08,3.64,4.06,246,1.56,2.72,3.03,NA,NA,NA,NA,NA,NA,NA,NA
US34,New Jersey,U.S.A.,"9,008.043",468.8,8.31,153,4.22,3.60,4.01,261,2.56,2.18,2.44,10.66,1.83,75.3,80.5,77.8,-2.34,-1.96,-2.15
MX09,Ciudad de Mexico,Mexico,"10,298.920","6,888.8",6.23,150,2.30,3.40,3.79,258,2.03,2.99,3.34,NA,NA,NA,NA,NA,NA,NA,NA
BR23,Ceara,Brazil,"9,236.905",62.0,NA,143,2.24,3.39,3.78,251,1.69,2.55,2.85,NA,NA,NA,NA,NA,NA,NA,NA
US36,New York,U.S.A.,"19,779.540",161.7,7.83,155,3.92,3.33,3.71,263,2.39,2.03,2.26,10.24,1.72,75.8,81.1,78.4,-2.28,-2.00,-2.14
PER,Peru,Cntry/Terr,"32,971.846",25.8,5.45,149,1.93,3.17,3.53,257,1.91,3.14,3.50,7.26,1.34,71.7,77.4,74.5,-2.61,-2.24,-2.43
BR13,Amazonas,Brazil,"4,192.173",2.7,NA,144,2.08,3.15,3.51,252,1.26,1.90,2.12,NA,NA,NA,NA,NA,NA,NA,NA
MX29,Tlaxcala,Mexico,"1,345.008",336.5,4.73,127,1.73,3.13,3.50,235,1.72,3.11,3.47,NA,NA,NA,NA,NA,NA,NA,NA
BR33,Rio de Janeiro,Brazil,"17,463.128",399.2,NA,150,2.01,3.04,3.39,258,1.81,2.74,3.05,NA,NA,NA,NA,NA,NA,NA,NA
BR16,Amapa,Brazil,855.439,6.0,NA,134,1.94,2.94,3.28,242,1.38,2.09,2.33,NA,NA,NA,NA,NA,NA,NA,NA
BR28,Sergipe,Brazil,"2,325.083",106.0,NA,136,1.93,2.92,3.26,244,1.52,2.30,2.57,NA,NA,NA,NA,NA,NA,NA,NA
BR26,Pernambuco,Brazil,"9,666.777",98.6,NA,144,1.87,2.82,3.15,252,1.73,2.62,2.92,NA,NA,NA,NA,NA,NA,NA,NA
BR32,Espirito Santo,Brazil,"4,064.780",88.2,NA,136,1.87,2.82,3.15,244,1.70,2.57,2.87,NA,NA,NA,NA,NA,NA,NA,NA
BR15,Para,Brazil,"8,701.617",7.0,NA,137,1.82,2.74,3.06,245,1.16,1.75,1.95,NA,NA,NA,NA,NA,NA,NA,NA
BR12,Acre,Brazil,892.059,5.4,NA,131,1.80,2.72,3.03,239,1.79,2.71,3.02,NA,NA,NA,NA,NA,NA,NA,NA
US25,Massachusetts,U.S.A.,"6,985.561",344.1,8.57,148,3.12,2.64,2.95,256,2.11,1.79,2.00,10.37,1.48,75.5,81.1,78.2,-1.86,-1.60,-1.74
BR51,Mato Grosso,Brazil,"3,524.464",3.9,NA,135,1.73,2.61,2.91,243,1.46,2.21,2.46,NA,NA,NA,NA,NA,NA,NA,NA
BR53,Distrito Federal,Brazil,"3,049.880",529.4,NA,140,1.63,2.47,2.75,248,1.54,2.33,2.60,NA,NA,NA,NA,NA,NA,NA,NA
US11,District of Columbia,U.S.A.,712.330,"4,477.2",7.15,142,2.15,2.45,2.73,250,1.24,1.42,1.58,8.55,0.85,73.5,79.8,76.6,-1.38,-1.36,-1.37
US09,Connecticut,U.S.A.,"3,613.794",288.0,8.73,149,3.03,2.41,2.69,257,1.93,1.53,1.71,10.62,1.35,76.1,81.5,78.8,-1.65,-1.43,-1.54
MX15,Mexico (State),Mexico,"17,378.187",777.5,4.50,138,1.10,2.39,2.66,246,1.24,2.68,2.99,NA,NA,NA,NA,NA,NA,NA,NA
BR11,Rondonia,Brazil,"1,797.626",7.6,NA,129,1.57,2.37,2.64,237,1.49,2.25,2.51,NA,NA,NA,NA,NA,NA,NA,NA
BR24,Rio Grande do Norte,Brazil,"3,547.108",67.2,NA,140,1.50,2.27,2.53,248,1.27,1.92,2.14,NA,NA,NA,NA,NA,NA,NA,NA
MX31,Yucatan,Mexico,"2,269.237",57.4,5.71,132,1.37,2.24,2.49,240,1.90,3.09,3.45,NA,NA,NA,NA,NA,NA,NA,NA
ES08,Castilla-La Mancha,Spain,"2,021.012",25.4,9.54,158,3.48,2.17,2.42,266,2.10,1.31,1.46,11.99,1.53,79.8,85.0,82.3,-1.65,-1.42,-1.54
US22,Louisiana,U.S.A.,"4,713.234",41.8,9.78,154,2.23,2.16,2.41,262,2.34,2.27,2.53,11.65,1.68,71.8,77.6,74.6,-1.94,-1.67,-1.81
MX06,Colima,Mexico,749.741,133.2,4.95,121,1.24,2.14,2.39,229,1.54,2.66,2.97,NA,NA,NA,NA,NA,NA,NA,NA
MX21,Puebla,Mexico,"6,612.709",192.8,5.37,139,1.20,2.14,2.38,247,1.32,2.34,2.61,NA,NA,NA,NA,NA,NA,NA,NA
IT03,Lombardia,Italy,"10,073.686","422,224.8",9.90,176,3.48,2.10,2.35,284,2.24,1.36,1.51,12.16,1.74,78.8,84.5,81.6,-1.77,-1.58,-1.68
MX03,Baja California Sur,Mexico,727.007,9.8,3.82,136,0.90,2.09,2.33,244,1.10,2.56,2.85,NA,NA,NA,NA,NA,NA,NA,NA
BR25,Paraiba,Brazil,"4,064.251",72.0,NA,137,1.38,2.08,2.32,245,1.75,2.64,2.95,NA,NA,NA,NA,NA,NA,NA,NA
BR35,Sao Paulo,Brazil,"46,446.155",187.1,NA,152,1.36,2.06,2.30,260,1.27,1.91,2.13,NA,NA,NA,NA,NA,NA,NA,NA
ES13,Madrid (Comunidad de),Spain,"6,611.809",823.6,7.06,165,2.85,2.05,2.28,273,1.96,1.41,1.57,9.30,1.46,80.6,85.8,83.1,-1.96,-1.81,-1.88
BR27,Alagoas,Brazil,"3,375.667",121.2,NA,138,1.35,2.04,2.28,246,1.34,2.02,2.26,NA,NA,NA,NA,NA,NA,NA,NA
MX28,Tamaulipas,Mexico,"3,689.743",45.9,5.26,133,1.10,2.04,2.27,241,1.69,3.12,3.49,NA,NA,NA,NA,NA,NA,NA,NA
BR22,Piaui,Brazil,"3,310.800",13.2,NA,130,1.33,2.01,2.24,238,1.09,1.65,1.84,NA,NA,NA,NA,NA,NA,NA,NA
US44,Rhode Island,U.S.A.,"1,070.329",395.5,9.59,140,2.49,1.99,2.22,248,1.51,1.20,1.34,10.76,1.02,76.0,81.0,78.5,-1.23,-1.05,-1.14
MEX,Mexico (Country),Cntry/Terr,"128,932.753",66.3,5.97,150,1.06,1.91,2.13,258,1.31,2.36,2.63,7.13,0.92,70.4,76.4,73.4,-1.92,-1.55,-1.74
MX13,Hidalgo,Mexico,"3,072.136",147.6,4.87,140,1.12,1.91,2.12,248,1.62,2.76,3.08,NA,NA,NA,NA,NA,NA,NA,NA
MX17,Morelos,Mexico,"2,047.959",419.8,5.49,139,1.16,1.88,2.10,247,1.49,2.42,2.69,NA,NA,NA,NA,NA,NA,NA,NA
BRA,Brazil,Cntry/Terr,"212,559.409",25.4,6.42,152,1.20,1.81,2.01,260,1.27,1.93,2.15,7.68,0.91,70.8,78.1,74.4,-1.64,-1.57,-1.60
BR21,Maranhao,Brazil,"7,156.397",21.7,NA,139,1.19,1.79,2.00,247,0.83,1.26,1.40,NA,NA,NA,NA,NA,NA,NA,NA
MX12,Guerrero,Mexico,"3,882.954",61.1,4.86,135,1.05,1.77,1.98,243,1.55,2.63,2.93,NA,NA,NA,NA,NA,NA,NA,NA
MX05,Coahuila de Zaragoza,Mexico,"3,150.456",20.7,5.31,139,0.89,1.75,1.95,247,1.29,2.53,2.82,NA,NA,NA,NA,NA,NA,NA,NA
KGZ,Kyrgyzstan,Cntry/Terr,"6,524.191",34.0,6.07,136,0.62,1.74,1.94,244,0.70,1.98,2.21,6.32,0.47,66.7,74.8,70.7,-0.81,-0.90,-0.85
MX19,Nuevo Leon,Mexico,"5,360.737",83.5,4.97,133,0.89,1.69,1.88,241,1.45,2.77,3.09,NA,NA,NA,NA,NA,NA,NA,NA
BOL,Bolivia (Plurinational State of),Cntry/Terr,"11,673.029",10.8,6.79,139,0.89,1.65,1.84,247,1.32,2.45,2.73,7.82,0.89,66.9,72.9,69.9,-1.98,-1.75,-1.87
MX18,Nayarit,Mexico,"1,255.449",45.1,5.47,135,1.03,1.65,1.84,243,1.40,2.25,2.51,NA,NA,NA,NA,NA,NA,NA,NA
US28,Mississippi,U.S.A.,"3,019.798",24.9,10.82,145,1.71,1.64,1.83,253,1.66,1.59,1.77,12.16,1.15,71.1,77.2,74.1,-1.20,-1.07,-1.14
CHL,Chile,Cntry/Terr,"19,116.209",25.7,6.12,148,1.34,1.58,1.76,256,1.25,1.47,1.64,7.36,0.87,76.4,81.2,78.8,-1.57,-1.33,-1.45
ES17,"Rioja, La",Spain,315.741,62.6,10.00,160,2.65,1.55,1.72,268,1.93,1.13,1.26,12.33,1.42,79.9,85.5,82.7,-1.40,-1.35,-1.38
MX22,Queretaro,Mexico,"2,094.397",179.0,4.36,138,0.74,1.54,1.72,246,0.90,1.88,2.10,NA,NA,NA,NA,NA,NA,NA,NA
MX30,Veracruz de Ignacio de la Llave,Mexico,"8,831.401",122.9,5.90,138,0.97,1.54,1.71,246,1.48,2.34,2.61,NA,NA,NA,NA,NA,NA,NA,NA
