LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
LUX,Luxembourg,Cntry/Terr,625.976,241.7,7.14,253,0.59,0.58,0.62,295,0.92,0.91,0.96,8.01,0.74,79.2,83.5,81.3,-1.11,-0.93,-1.02
STP,Sao Tome and Principe,Cntry/Terr,219.161,228.3,4.87,205,0.13,0.58,0.62,247,0.12,0.54,0.57,4.76,0.08,67.8,72.8,70.2,-0.27,-0.21,-0.24
NLD,Netherlands,Cntry/Terr,"17,134.873",508.2,8.72,260,0.73,0.58,0.61,302,0.92,0.73,0.78,9.88,0.76,79.8,83.3,81.5,-0.94,-0.73,-0.84
PE21,Puno,Peru,"1,316.375",18.3,NA,246,0.40,0.58,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ES03,Asturias (Principado de),Spain,"1,024.060",96.6,12.64,255,1.09,0.57,0.61,297,2.73,1.44,1.52,15.93,2.22,78.4,84.4,81.3,-1.72,-1.62,-1.67
GNQ,Equatorial Guinea,Cntry/Terr,"1,402.985",50.0,9.43,214,0.10,0.56,0.59,256,0.09,0.47,0.50,8.95,0.06,57.8,60.1,59.0,-0.16,-0.11,-0.14
GUY,Guyana,Cntry/Terr,786.559,4.0,7.42,254,0.26,0.55,0.59,296,0.29,0.60,0.64,7.82,0.23,66.5,72.8,69.5,-0.52,-0.43,-0.48
US21,Kentucky,U.S.A.,"4,519.893",43.9,10.82,245,0.58,0.55,0.58,287,0.86,0.82,0.86,12.12,0.67,72.3,77.4,74.8,-0.69,-0.58,-0.64
TUN,Tunisia,Cntry/Terr,"11,818.618",76.1,6.26,246,0.32,0.55,0.58,288,0.69,1.18,1.24,6.90,0.54,73.9,78.1,76.0,-0.94,-0.75,-0.85
IT05,Veneto,Italy,"4,914.725","267,218.0",10.00,271,0.84,0.53,0.56,313,1.27,0.80,0.85,11.50,1.09,79.7,85.3,82.4,-1.12,-0.99,-1.06
SVN,Slovenia,Cntry/Terr,"2,078.932",103.2,9.94,249,0.68,0.52,0.55,291,1.19,0.90,0.95,11.45,0.95,77.8,83.3,80.5,-0.96,-0.87,-0.92
US49,Utah,U.S.A.,"3,194.497",15.0,5.81,237,0.37,0.50,0.53,279,0.56,0.76,0.81,6.63,0.43,76.7,80.8,78.7,-0.84,-0.63,-0.74
US56,Wyoming,U.S.A.,584.633,2.3,8.23,214,0.51,0.49,0.52,256,0.90,0.86,0.91,9.30,0.63,76.0,80.7,78.3,-0.87,-0.76,-0.81
CHE,Switzerland,Cntry/Terr,"8,654.618",219.0,8.01,261,0.63,0.49,0.52,303,1.04,0.81,0.86,9.15,0.86,80.9,84.8,82.8,-1.14,-0.93,-1.04
ES01,Andalucia,Spain,"8,349.380",95.3,8.33,253,0.60,0.49,0.52,295,0.85,0.69,0.73,9.99,0.69,78.8,84.2,81.4,-0.81,-0.70,-0.76
US33,New Hampshire,U.S.A.,"1,372.567",59.1,9.31,233,0.58,0.48,0.51,275,0.55,0.46,0.48,10.44,0.41,75.9,81.5,78.6,-0.47,-0.41,-0.44
