Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
Quintana Roo,Mexico,"1,497.40",33.4,3.35,60,1.51,3.44,5.33,365,1.6,3.65,5.65,5.58,67.8,74.5,71.1,-4.85,-4.16,-4.51
Baja California,Mexico,"3,605.79",50.5,4.88,60,3.09,5.33,8.26,365,2.04,3.52,5.45,6.81,68.2,75,71.5,-4.77,-4.16,-4.47
Amazonas (BR),Brazil,"4,192.17",2.7,NA,60,8.09,8.9,13.79,365,2.59,2.85,4.42,NA,NA,NA,NA,NA,NA,NA
Ciudad de Mexico,Mexico,"10,298.92","6,888.80",6.23,60,6.24,6.7,10.39,365,2.65,2.85,4.42,9.49,69.4,75.9,72.6,-4.15,-3.56,-3.86
Baja California Sur,Mexico,727.007,9.8,3.82,60,3.53,6.06,9.39,365,1.65,2.83,4.38,6.44,68.9,75.6,72.2,-4.01,-3.5,-3.76
Ica,Peru,954.364,44.7,NA,60,2.71,3.27,5.07,365,2.32,2.8,4.35,13.78,68.4,72.8,70.6,-3.13,-2.75,-2.95
Sonora,Mexico,"3,077.47",17.1,5.6,60,3.66,5.09,7.88,365,1.95,2.72,4.21,7.84,68.6,75.3,71.9,-3.77,-3.26,-3.52
Mexico (State),Mexico,"17,378.19",777.5,4.5,60,3.44,5.47,8.47,365,1.65,2.63,4.07,6.9,69.2,74.8,71.9,-3.88,-3.05,-3.47
Coahuila de Zaragoza,Mexico,"3,150.46",20.7,5.31,60,2.88,4.12,6.39,365,1.8,2.58,4,7.43,69,75.7,72.3,-3.66,-3.17,-3.42
Callao,Peru,"1,119.10","7,669.80",NA,60,2.51,2.96,4.59,365,2.18,2.58,3.99,13.46,69.4,73.6,71.4,-2.93,-2.61,-2.77
Queretaro,Mexico,"2,094.40",179,4.36,60,4.41,6.72,10.41,365,1.62,2.48,3.84,6.95,69.1,75.6,72.3,-3.59,-3.05,-3.33
Tumbes,Peru,252.031,54,NA,60,2.29,3.24,5.02,365,1.75,2.47,3.83,11.92,67,71.7,69.3,-2.48,-2.12,-2.3
Madre de Dios,Peru,158.084,1.9,NA,60,0.73,1.64,2.54,365,1.1,2.47,3.83,7.6,65.8,70.2,68,-2.41,-2.01,-2.21
Moquegua,Peru,197.521,12.6,NA,60,4.37,4.71,7.3,365,2.28,2.46,3.81,15.27,68,72.5,70.2,-2.68,-2.37,-2.52
Aguascalientes,Mexico,"1,360.85",242.3,4.37,60,2.81,4.3,6.67,365,1.47,2.25,3.49,6.71,69.6,76.1,72.8,-3.33,-2.83,-3.09
Hidalgo,Mexico,"3,072.14",147.6,4.87,60,4.04,5,7.75,365,1.78,2.2,3.41,8.36,69.2,75.2,72.1,-3.15,-2.59,-2.88
Tabasco,Mexico,"2,555.91",103.3,4.98,60,1.23,1.85,2.87,365,1.45,2.18,3.38,7.04,68.9,75.6,72.2,-3.11,-2.69,-2.9
Nuevo Leon,Mexico,"5,360.74",83.5,4.97,60,3.48,4.84,7.5,365,1.54,2.14,3.31,7.24,69.8,76.4,73,-3.16,-2.74,-2.96
Lima,Peru,"10,693.44",307,NA,60,1.92,2.16,3.35,365,1.88,2.12,3.28,13.96,69.4,73.7,71.5,-2.43,-2.17,-2.31
Tlaxcala,Mexico,"1,345.01",336.5,4.73,60,3.26,4.28,6.64,365,1.59,2.09,3.23,7.69,69.4,75.5,72.4,-3.08,-2.56,-2.83
Rio de Janeiro,Brazil,"17,463.13",399.2,NA,60,2.63,2.89,4.48,365,1.89,2.08,3.23,NA,NA,NA,NA,NA,NA,NA
Tacna,Peru,371.146,23.1,NA,60,4.75,6.48,10.04,365,1.51,2.06,3.19,11.95,67.4,71.9,69.6,-2.15,-1.87,-2.01
Sinaloa,Mexico,"3,215.60",56,5.59,60,1.85,2.36,3.65,365,1.62,2.06,3.19,8.03,69.2,75.8,72.4,-2.95,-2.54,-2.75
Chihuahua,Mexico,"3,832.83",15.5,7.58,60,1.32,1.92,2.97,365,1.37,1.99,3.09,7,69.4,76.1,72.7,-2.94,-2.55,-2.75
Roraima,Brazil,612.715,2.7,NA,60,3.17,3.48,5.4,365,1.8,1.97,3.06,NA,NA,NA,NA,NA,NA,NA
Loreto,Peru,981.17,2.7,NA,60,1,1.66,2.57,365,1.19,1.97,3.05,11.25,66.1,70.5,68.3,-1.82,-1.52,-1.67
Guanajuato,Mexico,"6,295.74",205.6,4.95,60,3.59,4.75,7.37,365,1.44,1.91,2.95,7.53,69.4,75.9,72.5,-2.81,-2.41,-2.61
Mexico (Country),Cntry/Terr,"128,932.75",66.3,5.97,60,2.83,3.72,5.76,365,1.44,1.89,2.93,7.64,69.5,75.7,72.5,-2.81,-2.34,-2.58
Colima,Mexico,749.741,133.2,4.95,60,2.26,2.83,4.39,365,1.44,1.8,2.79,7.74,70.4,75.8,73,-2.79,-2.2,-2.5
