,Location,Loc_type,Mid2020Pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
70,Japan,Cntry/Terr,126476,346.9,10.97,120,0.02,0.01,0.01,173,0.02,0.01,0.01,81.6,87.8,-0.01,-0.03
19,Congo,Cntry/Terr,5518,16.2,6.62,72,0.02,0.1,0.12,NA,NA,NA,NA,NA,NA,NA,NA
113,New Zealand,Cntry/Terr,4822,18.3,7.11,76,0.02,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
186,Brunei Darussalam,Cntry/Terr,437,83,4.68,77,0.02,0.05,0.06,NA,NA,NA,NA,NA,NA,NA,NA
17,Comoros,Cntry/Terr,870,467.3,7.09,40,0.02,0.08,0.1,NA,NA,NA,NA,NA,NA,NA,NA
78,Kyrgyzstan,Cntry/Terr,6524,34,5.93,71,0.02,0.05,0.07,NA,NA,NA,NA,NA,NA,NA,NA
10,Central African Republic,Cntry/Terr,4830,7.8,11.86,20,0.02,0.09,0.11,NA,NA,NA,NA,NA,NA,NA,NA
144,Singapore,Cntry/Terr,5850,8357.6,4.83,83,0.02,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
154,Suriname,Cntry/Terr,587,3.8,7.46,67,0.02,0.03,0.04,NA,NA,NA,NA,NA,NA,NA,NA
165,Tunisia,Cntry/Terr,11819,76.1,6.28,84,0.02,0.03,0.03,NA,NA,NA,NA,NA,NA,NA,NA
131,R?Šunion,Cntry/Terr,895,358.1,6.33,23,0.02,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
79,Lebanon,Cntry/Terr,6825,667.2,4.59,94,0.02,0.03,0.04,NA,NA,NA,NA,NA,NA,NA,NA
76,Republic of Korea,Cntry/Terr,51269,527.3,6.4,114,0.02,0.01,0.02,167,0.01,0.01,0.01,80,86,-0.01,-0.03
41,Georgia,Cntry/Terr,3989,57.4,12.77,69,0.02,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
71,Kazakhstan,Cntry/Terr,18777,7,7.24,77,0.02,0.03,0.04,NA,NA,NA,NA,NA,NA,NA,NA
