LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
MX23,Quintana Roo,Mexico,"1,497.403",33.4,3.35,251,1.90,5.92,6.51,279,1.91,5.95,6.54,5.40,1.46,68.2,74.9,71.5,-4.43,-3.76,-4.10
MX02,Baja California,Mexico,"3,605.789",50.5,4.88,247,1.81,4.29,4.72,275,1.90,4.52,4.97,6.17,1.43,69.4,76.1,72.7,-3.53,-3.04,-3.29
PE17,Madre de Dios,Peru,158.084,1.9,NA,260,1.34,3.82,4.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE11,Ica,Peru,954.364,44.7,NA,260,2.55,3.82,4.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX27,Tabasco,Mexico,"2,555.914",103.3,4.98,247,1.78,3.71,4.08,275,1.66,3.47,3.81,6.80,1.25,69.3,75.9,72.6,-2.71,-2.31,-2.51
PE07,Callao,Peru,"1,119.096","7,669.8",NA,260,2.40,3.50,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE24,Tumbes,Peru,252.031,54.0,NA,260,1.86,3.30,3.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX26,Sonora,Mexico,"3,077.474",17.1,5.60,244,1.69,3.27,3.59,272,1.80,3.47,3.82,7.19,1.34,69.7,76.3,72.9,-2.71,-2.31,-2.52
MX03,Baja California Sur,Mexico,727.007,9.8,3.82,247,1.37,3.25,3.58,275,1.35,3.19,3.51,5.79,1.01,70.3,76.9,73.5,-2.62,-2.26,-2.44
MX25,Sinaloa,Mexico,"3,215.596",56.0,5.59,249,1.83,3.24,3.56,277,1.84,3.26,3.58,7.76,1.39,69.6,76.1,72.8,-2.57,-2.18,-2.38
MX05,Coahuila de Zaragoza,Mexico,"3,150.456",20.7,5.31,250,1.61,3.19,3.51,278,1.91,3.80,4.18,7.05,1.45,69.7,76.3,72.9,-3.03,-2.59,-2.82
MX08,Chihuahua,Mexico,"3,832.828",15.5,7.58,239,1.50,3.03,3.33,267,2.00,4.04,4.44,7.05,1.46,69.3,76.0,72.6,-3.08,-2.64,-2.87
MX15,Mexico (State),Mexico,"17,378.187",777.5,4.50,249,1.35,2.97,3.26,277,1.15,2.53,2.78,6.10,0.87,70.9,76.1,73.4,-2.21,-1.70,-1.96
PE15,Lima,Peru,"10,693.435",307.0,NA,260,2.13,2.96,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PE16,Loreto,Peru,981.170,2.7,NA,260,1.42,2.91,3.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR53,Distrito Federal,Brazil,"3,049.880",529.4,NA,251,1.89,2.90,3.19,279,1.75,2.69,2.95,NA,NA,NA,NA,NA,NA,NA,NA
MX04,Campeche,Mexico,945.785,16.4,4.64,241,1.48,2.84,3.13,269,1.53,2.93,3.22,7.14,1.12,69.6,75.9,72.7,-2.28,-1.90,-2.09
BR33,Rio de Janeiro,Brazil,"17,463.128",399.2,NA,261,1.84,2.82,3.10,289,1.82,2.79,3.07,NA,NA,NA,NA,NA,NA,NA,NA
MX09,Ciudad de Mexico,Mexico,"10,298.920","6,888.8",6.23,261,1.88,2.82,3.10,289,2.39,3.57,3.93,8.67,1.88,70.4,76.9,73.6,-3.10,-2.63,-2.87
MX06,Colima,Mexico,749.741,133.2,4.95,232,1.59,2.78,3.05,260,1.58,2.77,3.05,7.39,1.13,70.9,76.2,73.5,-2.23,-1.74,-1.99
PE18,Moquegua,Peru,197.521,12.6,NA,260,2.05,2.76,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR14,Roraima,Brazil,612.715,2.7,NA,245,1.80,2.76,3.03,273,1.68,2.58,2.83,NA,NA,NA,NA,NA,NA,NA,NA
PE14,Lambayeque,Peru,"1,340.725",92.6,NA,260,1.95,2.73,3.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX29,Tlaxcala,Mexico,"1,345.008",336.5,4.73,238,1.48,2.72,2.98,266,1.28,2.36,2.59,7.01,0.93,70.5,76.5,73.4,-1.92,-1.57,-1.75
MX01,Aguascalientes,Mexico,"1,360.852",242.3,4.37,237,1.27,2.71,2.98,265,1.69,3.60,3.96,6.43,1.22,70.1,76.5,73.2,-2.83,-2.38,-2.61
BR51,Mato Grosso,Brazil,"3,524.464",3.9,NA,246,1.73,2.66,2.92,274,1.59,2.43,2.67,NA,NA,NA,NA,NA,NA,NA,NA
BR13,Amazonas (BR),Brazil,"4,192.173",2.7,NA,255,1.69,2.59,2.84,283,1.69,2.59,2.85,NA,NA,NA,NA,NA,NA,NA,NA
PER,Peru,Cntry/Terr,"32,971.846",25.8,5.45,260,1.54,2.57,2.82,288,1.73,2.88,3.16,7.25,1.36,71.7,77.4,74.5,-2.58,-2.24,-2.41
MX19,Nuevo Leon,Mexico,"5,360.737",83.5,4.97,244,1.29,2.50,2.75,272,1.39,2.68,2.95,6.71,1.03,70.7,77.2,73.9,-2.21,-1.89,-2.05
PE13,La Libertad,Peru,"1,990.970",78.1,NA,260,1.68,2.46,2.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR32,Espirito Santo,Brazil,"4,064.780",88.2,NA,247,1.58,2.43,2.67,275,1.62,2.49,2.73,NA,NA,NA,NA,NA,NA,NA,NA
BR23,Ceara,Brazil,"9,236.905",62.0,NA,254,1.51,2.31,2.54,282,1.42,2.17,2.39,NA,NA,NA,NA,NA,NA,NA,NA
US34,New Jersey,U.S.A.,"9,008.043",468.8,8.31,264,2.65,2.29,2.52,292,2.69,2.33,2.56,10.91,2.15,75.0,80.2,77.5,-2.65,-2.23,-2.44
MX28,Tamaulipas,Mexico,"3,689.743",45.9,5.26,244,1.22,2.29,2.51,272,1.22,2.28,2.51,6.97,0.90,70.4,76.8,73.5,-1.85,-1.57,-1.72
PE22,San Martin,Peru,909.611,17.7,NA,260,1.19,2.28,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX13,Hidalgo,Mexico,"3,072.136",147.6,4.87,251,1.32,2.28,2.50,279,1.45,2.51,2.76,7.66,1.11,70.3,76.1,73.1,-2.07,-1.68,-1.88
BR28,Sergipe,Brazil,"2,325.083",106.0,NA,247,1.48,2.27,2.49,275,1.47,2.25,2.47,NA,NA,NA,NA,NA,NA,NA,NA
PE20,Piura,Peru,"2,076.318",58.2,NA,260,1.43,2.25,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX31,Yucatan,Mexico,"2,269.237",57.4,5.71,243,1.36,2.24,2.46,271,1.31,2.17,2.38,7.89,0.97,70.0,76.4,73.1,-1.71,-1.45,-1.59
BR16,Amapa,Brazil,855.439,6.0,NA,245,1.43,2.19,2.41,273,1.36,2.08,2.29,NA,NA,NA,NA,NA,NA,NA,NA
MX22,Queretaro,Mexico,"2,094.397",179.0,4.36,249,1.03,2.18,2.40,277,1.43,3.03,3.33,6.38,1.08,70.2,76.5,73.3,-2.51,-2.11,-2.32
MEX,Mexico (Country),Cntry/Terr,"128,932.753",66.3,5.97,261,1.18,2.15,2.37,289,1.28,2.35,2.58,7.19,1.01,70.3,76.3,73.2,-2.04,-1.67,-1.86
PE25,Ucayali,Peru,552.917,5.4,NA,260,0.94,2.15,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOL,Bolivia (Plurinational State of),Cntry/Terr,"11,673.029",10.8,6.79,250,1.13,2.12,2.33,278,1.03,1.94,2.14,7.70,0.78,67.2,73.2,70.1,-1.72,-1.53,-1.63
PE02,Ancash,Peru,"1,216.095",33.9,NA,260,1.65,2.11,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US36,New York,U.S.A.,"19,779.540",161.7,7.83,266,2.42,2.09,2.29,294,2.32,2.00,2.20,10.34,1.87,75.6,81.0,78.2,-2.41,-2.12,-2.27
MX21,Puebla,Mexico,"6,612.709",192.8,5.37,250,1.15,2.08,2.28,278,1.13,2.03,2.24,7.23,0.86,70.1,76.4,73.2,-1.69,-1.42,-1.56
BR26,Pernambuco,Brazil,"9,666.777",98.6,NA,255,1.35,2.07,2.28,283,1.27,1.95,2.14,NA,NA,NA,NA,NA,NA,NA,NA
BR11,Rondonia,Brazil,"1,797.626",7.6,NA,240,1.35,2.06,2.27,268,1.26,1.93,2.12,NA,NA,NA,NA,NA,NA,NA,NA
IT02,Valle d'Aosta/Vallee d'Aoste,Italy,125.953,"38,701.3",11.70,269,3.50,2.04,2.24,297,3.70,2.16,2.37,15.19,3.01,75.6,83.0,79.2,-2.45,-2.23,-2.34
MX24,San Luis Potosi,Mexico,"2,972.710",48.6,5.14,254,1.25,2.03,2.23,282,1.55,2.51,2.76,8.14,1.19,70.2,75.9,73.0,-2.09,-1.67,-1.88
BR52,Goias,Brazil,"7,098.918",20.9,NA,254,1.30,1.99,2.19,282,1.34,2.05,2.25,NA,NA,NA,NA,NA,NA,NA,NA
ECU,Ecuador,Cntry/Terr,"17,643.060",71.0,5.10,265,1.07,1.98,2.18,293,1.51,2.80,3.08,6.42,1.21,71.7,77.6,74.6,-2.82,-2.41,-2.62
BR35,Sao Paulo,Brazil,"46,446.155",187.1,NA,263,1.28,1.96,2.15,291,1.21,1.86,2.04,NA,NA,NA,NA,NA,NA,NA,NA
PE04,Arequipa,Peru,"1,556.127",24.6,NA,260,1.39,1.94,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR12,Acre,Brazil,892.059,5.4,NA,242,1.24,1.90,2.08,270,1.14,1.75,1.92,NA,NA,NA,NA,NA,NA,NA,NA
US25,Massachusetts,U.S.A.,"6,985.561",344.1,8.57,259,2.20,1.90,2.08,287,2.22,1.91,2.10,10.57,1.74,75.3,80.9,78.0,-2.13,-1.84,-1.99
US22,Louisiana,U.S.A.,"4,713.234",41.8,9.78,265,1.91,1.88,2.06,293,2.03,1.99,2.19,11.55,1.62,71.9,77.7,74.7,-1.84,-1.60,-1.72
BR22,Piaui,Brazil,"3,310.800",13.2,NA,241,1.22,1.86,2.05,269,1.15,1.76,1.93,NA,NA,NA,NA,NA,NA,NA,NA
MX32,Zacatecas,Mexico,"1,713.503",22.8,5.62,247,1.19,1.86,2.05,275,1.58,2.46,2.70,8.22,1.19,70.0,76.5,73.2,-2.01,-1.70,-1.86
MX11,Guanajuato,Mexico,"6,295.742",205.6,4.95,241,1.00,1.86,2.04,269,1.29,2.39,2.63,7.02,0.95,70.2,76.6,73.4,-1.93,-1.64,-1.79
BR25,Paraiba,Brazil,"4,064.251",72.0,NA,248,1.21,1.85,2.03,276,1.12,1.72,1.89,NA,NA,NA,NA,NA,NA,NA,NA
MX18,Nayarit,Mexico,"1,255.449",45.1,5.47,246,1.11,1.81,1.99,274,1.18,1.92,2.11,7.66,0.88,71.3,76.6,73.9,-1.65,-1.29,-1.47
BR15,Para,Brazil,"8,701.617",7.0,NA,248,1.18,1.80,1.98,276,1.09,1.67,1.84,NA,NA,NA,NA,NA,NA,NA,NA
US28,Mississippi,U.S.A.,"3,019.798",24.9,10.82,256,1.84,1.78,1.96,284,1.97,1.91,2.10,12.48,1.53,70.7,76.9,73.8,-1.53,-1.38,-1.46
BR17,Tocantins,Brazil,"1,590.921",5.7,NA,234,1.15,1.77,1.94,262,1.04,1.59,1.75,NA,NA,NA,NA,NA,NA,NA,NA
IT03,Lombardia,Italy,"10,073.686","422,224.8",9.90,287,2.86,1.76,1.94,315,3.03,1.86,2.05,12.92,2.60,78.0,83.9,80.9,-2.52,-2.25,-2.39
BRA,Brazil,Cntry/Terr,"212,559.409",25.4,6.42,263,1.15,1.76,1.93,291,1.12,1.71,1.88,7.64,0.89,70.9,78.2,74.4,-1.57,-1.52,-1.54
MX10,Durango,Mexico,"1,858.666",15.0,5.65,259,0.95,1.75,1.92,287,1.26,2.31,2.53,7.16,0.99,70.1,76.6,73.3,-1.97,-1.67,-1.83
