Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
Lambayeque,Peru,"1,340.725",92.6,NA,90,0.95,1.00,1.65,365,1.68,1.77,2.93,14.10,68.6,72.9,70.7,-2.21,-1.96,-2.09
Peru,Cntry/Terr,"32,971.846",25.8,5.45,90,1.72,1.92,3.18,365,1.57,1.75,2.90,7.49,71.3,77.1,74.1,-2.94,-2.58,-2.76
La Libertad,Peru,"1,990.970",78.1,NA,90,1.32,1.46,2.42,365,1.57,1.74,2.88,13.93,68.3,72.8,70.5,-2.14,-1.88,-2.01
Rio Grande do Sul,Brazil,"11,507.839",40.9,NA,90,3.72,3.83,6.34,365,1.69,1.74,2.88,NA,NA,NA,NA,NA,NA,NA
Ancash,Peru,"1,216.095",33.9,NA,90,1.94,1.88,3.12,365,1.73,1.67,2.77,17.00,67.2,71.8,69.5,-1.93,-1.66,-1.80
South Africa,Cntry/Terr,"59,308.690",48.9,9.52,90,1.66,3.12,5.16,365,0.89,1.67,2.76,10.40,59.7,66.6,63.1,-1.17,-1.13,-1.15
Goias,Brazil,"7,098.918",20.9,NA,90,2.65,2.73,4.52,365,1.61,1.66,2.75,NA,NA,NA,NA,NA,NA,NA
Sao Paulo,Brazil,"46,446.155",187.1,NA,90,2.34,2.41,3.98,365,1.58,1.63,2.70,NA,NA,NA,NA,NA,NA,NA
Yucatan,Mexico,"2,269.237",57.4,5.71,90,1.88,2.07,3.43,365,1.47,1.62,2.69,8.41,69.2,75.7,72.4,-2.50,-2.15,-2.33
Zacatecas,Mexico,"1,713.503",22.8,5.62,90,2.12,2.20,3.65,365,1.55,1.61,2.67,8.62,69.5,76.0,72.7,-2.56,-2.19,-2.38
Jalisco,Mexico,"8,442.704",107.4,5.33,90,2.54,3.02,5.01,365,1.34,1.59,2.64,7.61,69.9,76.4,73.1,-2.54,-2.19,-2.37
Tamaulipas,Mexico,"3,689.743",45.9,5.26,90,1.50,1.89,3.13,365,1.26,1.59,2.63,7.35,69.7,76.2,72.9,-2.52,-2.17,-2.35
Amapa,Brazil,855.439,6.0,NA,90,1.74,1.79,2.97,365,1.51,1.55,2.57,NA,NA,NA,NA,NA,NA,NA
Mato Grosso do Sul,Brazil,"2,810.886",7.9,NA,90,2.73,2.81,4.65,365,1.50,1.55,2.56,NA,NA,NA,NA,NA,NA,NA
New Jersey,U.S.A.,"9,008.043",468.8,8.31,90,2.45,1.41,2.33,365,2.69,1.54,2.56,11.52,74.4,79.7,77.0,-3.23,-2.75,-3.00
Sergipe,Brazil,"2,325.083",106.0,NA,90,1.73,1.78,2.96,365,1.50,1.54,2.55,NA,NA,NA,NA,NA,NA,NA
Brazil,Cntry/Terr,"212,559.409",25.4,6.42,90,2.34,2.41,3.99,365,1.49,1.54,2.55,8.27,69.9,77.2,73.5,-2.54,-2.46,-2.50
Ceara,Brazil,"9,236.905",62.0,NA,90,1.66,1.71,2.83,365,1.49,1.54,2.54,NA,NA,NA,NA,NA,NA,NA
San Martin,Peru,909.611,17.7,NA,90,0.75,1.08,1.79,365,1.06,1.53,2.53,11.75,65.9,70.6,68.2,-1.56,-1.31,-1.44
Santa Catarina,Brazil,"7,247.033",75.7,NA,90,3.08,3.17,5.24,365,1.48,1.53,2.53,NA,NA,NA,NA,NA,NA,NA
Campeche,Mexico,945.785,16.4,4.64,90,0.62,0.80,1.33,365,1.18,1.52,2.51,7.24,69.5,75.8,72.6,-2.40,-2.03,-2.22
Nayarit,Mexico,"1,255.449",45.1,5.47,90,2.21,2.41,3.99,365,1.38,1.50,2.49,8.18,70.4,75.9,73.1,-2.49,-1.98,-2.24
Panama,Cntry/Terr,"4,314.768",58.0,5.06,90,1.96,2.09,3.47,365,1.41,1.50,2.49,6.71,72.3,78.9,75.5,-3.34,-3.00,-3.17
Eswatini,Cntry/Terr,"1,160.164",67.5,9.42,90,1.62,4.22,6.99,365,0.57,1.50,2.49,9.85,55.2,63.8,59.4,-0.83,-0.97,-0.90
Mississippi,U.S.A.,"3,019.798",24.9,10.82,90,2.99,1.93,3.20,365,2.32,1.50,2.48,13.32,70.0,76.3,73.1,-2.23,-2.04,-2.14
Durango,Mexico,"1,858.666",15.0,5.65,90,1.55,1.91,3.16,365,1.21,1.49,2.47,7.42,69.7,76.2,72.9,-2.40,-2.06,-2.23
Jordan,Cntry/Terr,"10,203.140",114.9,3.86,90,1.16,2.59,4.30,365,0.66,1.48,2.45,4.63,71.0,74.9,72.9,-1.95,-1.51,-1.74
Morelos,Mexico,"2,047.959",419.8,5.49,90,2.55,2.82,4.67,365,1.34,1.47,2.44,8.15,70.3,75.9,73.0,-2.41,-1.93,-2.17
Parana,Brazil,"11,565.208",58.0,NA,90,3.00,3.08,5.11,365,1.43,1.47,2.43,NA,NA,NA,NA,NA,NA,NA
State of Palestine,Cntry/Terr,"5,101.416",847.4,3.46,90,0.97,2.76,4.57,365,0.51,1.46,2.42,4.01,70.7,74.5,72.5,-1.90,-1.46,-1.68
Junin,Peru,"1,393.373",31.4,NA,90,2.23,2.63,4.35,365,1.24,1.46,2.42,14.27,66.0,70.6,68.2,-1.56,-1.32,-1.45
Acre,Brazil,892.059,5.4,NA,90,2.08,2.14,3.55,365,1.40,1.45,2.39,NA,NA,NA,NA,NA,NA,NA
Arequipa,Peru,"1,556.127",24.6,NA,90,1.33,1.40,2.32,365,1.37,1.44,2.39,13.79,69.2,73.5,71.3,-1.84,-1.63,-1.74
Piura,Peru,"2,076.318",58.2,NA,90,0.59,0.70,1.16,365,1.22,1.44,2.38,13.21,67.9,72.2,70.0,-1.60,-1.41,-1.51
Paraiba,Brazil,"4,064.251",72.0,NA,90,1.99,2.05,3.40,365,1.40,1.44,2.38,NA,NA,NA,NA,NA,NA,NA
Massachusetts,U.S.A.,"6,985.561",344.1,8.57,90,2.74,1.57,2.60,365,2.44,1.40,2.31,11.33,74.5,80.2,77.3,-2.89,-2.52,-2.71
Montenegro,Cntry/Terr,628.062,46.7,10.70,90,3.77,2.61,4.33,365,2.01,1.40,2.31,12.84,72.6,77.8,75.1,-1.97,-1.63,-1.80
North Macedonia,Cntry/Terr,"2,083.380",82.6,10.02,90,2.43,1.88,3.11,365,1.80,1.39,2.30,12.11,72.0,76.6,74.2,-1.89,-1.42,-1.66
New York,U.S.A.,"19,779.540",161.7,7.83,90,2.51,1.43,2.37,365,2.43,1.39,2.30,10.96,75.0,80.4,77.6,-3.06,-2.71,-2.89
Pasco,Peru,284.581,11.4,NA,90,2.09,2.88,4.78,365,1.00,1.37,2.28,12.42,65.9,70.5,68.1,-1.46,-1.26,-1.36
Louisiana,U.S.A.,"4,713.234",41.8,9.78,90,2.28,1.49,2.46,365,2.10,1.37,2.27,12.08,71.4,77.2,74.2,-2.33,-2.04,-2.19
Belize,Cntry/Terr,397.621,17.4,4.70,90,0.70,1.20,1.99,365,0.80,1.36,2.25,5.73,69.5,75.9,72.6,-2.29,-1.96,-2.13
Colombia,Cntry/Terr,"50,882.884",45.9,5.53,90,1.60,1.73,2.86,365,1.24,1.34,2.22,7.08,72.1,78.0,75.0,-2.60,-2.13,-2.37
Arizona,U.S.A.,"7,262.286",24.7,8.23,90,4.51,2.60,4.30,365,2.33,1.34,2.22,10.94,74.1,79.9,76.9,-2.99,-2.62,-2.81
Czechia,Cntry/Terr,"10,708.982",138.6,10.50,90,5.55,3.03,5.02,365,2.45,1.34,2.21,13.31,74.6,80.1,77.3,-2.33,-1.98,-2.16
Bolivia (Plurinational State of),Cntry/Terr,"11,673.029",10.8,6.79,90,1.07,1.35,2.23,365,1.05,1.32,2.19,7.98,66.6,72.7,69.6,-2.26,-2.03,-2.15
Rhode Island,U.S.A.,"1,070.329",395.5,9.59,90,3.19,1.71,2.83,365,2.44,1.31,2.17,12.17,74.5,79.7,77.1,-2.70,-2.33,-2.52
Tocantins,Brazil,"1,590.921",5.7,NA,90,1.97,2.03,3.36,365,1.26,1.30,2.15,NA,NA,NA,NA,NA,NA,NA
Rio Grande do Norte,Brazil,"3,547.108",67.2,NA,90,1.69,1.74,2.89,365,1.26,1.30,2.15,NA,NA,NA,NA,NA,NA,NA
Pernambuco,Brazil,"9,666.777",98.6,NA,90,1.03,1.06,1.76,365,1.25,1.29,2.14,NA,NA,NA,NA,NA,NA,NA
Georgia (USA),U.S.A.,"10,628.510",70.9,7.97,90,3.07,2.23,3.69,365,1.78,1.29,2.13,10.21,72.9,78.3,75.5,-2.37,-2.01,-2.20
Texas,U.S.A.,"28,999.321",42.7,7.00,90,2.84,2.19,3.63,365,1.66,1.28,2.12,8.93,74.0,79.3,76.6,-2.57,-2.23,-2.40
Huanuco,Peru,804.804,21.6,NA,90,1.66,2.08,3.44,365,1.02,1.28,2.12,13.54,66.2,70.5,68.3,-1.38,-1.17,-1.28
Alabama,U.S.A.,"4,944.686",37.6,10.92,90,4.68,2.81,4.65,365,2.12,1.28,2.11,13.48,70.9,76.7,73.7,-2.04,-1.80,-1.92
