LocID,Location,Loc_type,Mid_2020_pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
ES05,Canarias,Spain,"2,136.113",286.8,7.05,113,0.25,0.20,0.23,203,0.23,0.18,0.21,72.9,85.0,-0.10,-0.19
BHS,Bahamas,Cntry/Terr,393.248,39.3,6.97,93,0.11,0.20,0.23,183,0.13,0.24,0.28,71.6,76.0,-0.12,-0.14
US23,Maine,U.S.A.,"1,355.887",17.0,10.99,98,0.29,0.20,0.23,188,0.17,0.12,0.14,76.0,81.0,-0.09,-0.13
ATG,Antigua and Barbuda,Cntry/Terr,97.928,222.6,6.51,87,0.13,0.20,0.22,177,0.22,0.33,0.38,75.7,78.1,-0.21,-0.18
VIR,United States Virgin Islands,Cntry/Terr,104.423,298.4,9.05,89,0.24,0.19,0.22,179,0.14,0.11,0.13,78.1,83.1,-0.08,-0.15
SLV,El Salvador,Cntry/Terr,"6,486.201",313.0,7.11,94,0.11,0.19,0.22,184,1.34,2.24,2.57,67.5,76.8,-1.16,-1.19
ES18,Ceuta,Spain,83.673,"4,183.6",6.29,99,0.18,0.19,0.21,189,0.14,0.15,0.17,72.1,82.8,-0.07,-0.11
BR50,Mato Grosso do Sul,Brazil,"2,810.886",7.9,NA,95,0.12,0.18,0.21,185,1.20,1.78,2.05,NA,NA,NA,NA
BIH,Bosnia and Herzegovina,Cntry/Terr,"3,280.815",64.3,11.08,105,0.20,0.18,0.21,195,0.11,0.10,0.11,75.0,79.9,-0.06,-0.09
AUT,Austria,Cntry/Terr,"9,006.400",109.3,9.93,114,0.25,0.18,0.21,204,0.17,0.12,0.14,79.3,83.9,-0.11,-0.12
SUR,Suriname,Cntry/Terr,586.634,3.8,7.46,89,0.09,0.18,0.20,179,2.43,4.68,5.37,66.8,73.4,-1.82,-1.78
US16,Idaho,U.S.A.,"1,774.655",8.3,8.16,99,0.19,0.17,0.20,189,0.13,0.12,0.13,77.3,81.3,-0.09,-0.13
SLE,Sierra Leone,Cntry/Terr,"7,976.985",110.5,11.38,74,0.04,0.17,0.20,164,0.03,0.16,0.18,54.1,55.0,-0.03,-0.81
SDN,Sudan,Cntry/Terr,"43,849.269",24.8,7.06,111,0.05,0.17,0.20,201,0.21,0.81,0.94,63.3,66.7,-0.35,-0.67
IT15,Campania,Italy,"5,801.773","424,534.7",9.20,115,0.24,0.17,0.20,205,0.19,0.14,0.16,78.2,84.1,-0.12,-0.13
SWZ,Eswatini,Cntry/Terr,"1,160.164",67.5,9.17,79,0.04,0.17,0.19,169,0.32,1.21,1.39,55.8,64.1,-0.23,-0.63
BLR,Belarus,Cntry/Terr,"9,449.321",46.6,12.56,94,0.17,0.16,0.18,184,0.12,0.11,0.13,69.7,79.5,-0.05,-0.08
HUN,Hungary,Cntry/Terr,"9,660.350",106.7,12.74,111,0.20,0.16,0.18,201,0.11,0.09,0.10,73.3,80.3,-0.05,-0.08
US54,West Virginia,U.S.A.,"1,828.890",29.3,12.82,89,0.21,0.15,0.18,179,0.15,0.11,0.13,72.4,77.8,-0.07,-0.11
IT20,Sardegna,Italy,"1,643.577","68,239.9",9.90,111,0.27,0.15,0.17,201,0.18,0.10,0.12,80.0,85.9,-0.11,-0.12
ISR,Israel,Cntry/Terr,"8,655.541",400.0,5.32,106,0.13,0.15,0.17,196,0.07,0.08,0.09,81.4,84.5,-0.08,-0.09
US56,Wyoming,U.S.A.,584.633,2.3,8.23,74,0.17,0.15,0.17,164,0.09,0.08,0.09,76.8,81.3,-0.06,-0.11
AZE,Azerbaijan,Cntry/Terr,"10,139.175",122.7,6.89,108,0.08,0.15,0.17,198,0.13,0.25,0.28,70.4,75.3,-0.12,-0.27
GUM,Guam,Cntry/Terr,168.783,312.6,5.36,104,0.10,0.15,0.17,194,0.07,0.09,0.11,77.0,83.5,-0.06,-0.14
IT10,Umbria,Italy,884.495,"104,653.3",11.40,113,0.29,0.15,0.17,203,0.27,0.13,0.15,81.3,86.1,-0.14,-0.15
ABW,Aruba,Cntry/Terr,106.766,593.1,9.38,80,0.13,0.14,0.16,NA,NA,NA,NA,NA,NA,NA,NA
FIN,Finland,Cntry/Terr,"5,540.718",18.2,9.90,105,0.21,0.14,0.16,195,0.11,0.07,0.08,79.2,84.8,-0.06,-0.07
US41,Oregon,U.S.A.,"4,244.225",17.1,8.84,108,0.17,0.14,0.16,198,0.22,0.18,0.21,77.1,81.7,-0.15,-0.18
DZA,Algeria,Cntry/Terr,"43,851.043",18.4,4.73,115,0.07,0.14,0.16,205,0.25,0.50,0.57,75.4,77.9,-0.40,-0.43
TCD,Chad,Cntry/Terr,"16,425.859",13.0,11.75,67,0.02,0.14,0.16,157,0.01,0.08,0.09,53.0,55.1,-0.02,-0.85
COG,Congo,Cntry/Terr,"5,518.092",16.2,6.62,94,0.03,0.14,0.16,184,0.12,0.54,0.62,63.0,65.7,-0.17,-0.44
EST,Estonia,Cntry/Terr,"1,326.539",31.3,11.89,101,0.19,0.13,0.15,191,0.10,0.07,0.08,74.4,82.7,-0.05,-0.06
SEN,Senegal,Cntry/Terr,"16,743.930",87.0,5.52,94,0.03,0.13,0.15,184,0.82,3.82,4.38,64.7,69.0,-1.30,-1.19
KGZ,Kyrgyzstan,Cntry/Terr,"6,524.191",34.0,5.93,93,0.05,0.13,0.15,183,0.70,1.97,2.26,66.9,74.9,-0.60,-0.81
