age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,121,65,56,10,06,United States,2020-01-01,2021-10-02
1-4 years,60,29,31,10,06,United States,2020-01-01,2021-10-02
5-14 years,161,90,71,10,06,United States,2020-01-01,2021-10-02
15-24 years,1542,921,621,10,06,United States,2020-01-01,2021-10-02
25-34 years,6712,4168,2544,10,06,United States,2020-01-01,2021-10-02
35-44 years,16911,10729,6182,10,06,United States,2020-01-01,2021-10-02
45-54 years,42626,27801,14825,10,06,United States,2020-01-01,2021-10-02
55-64 years,96649,60383,36266,10,06,United States,2020-01-01,2021-10-02
65-74 years,157673,94937,62736,10,06,United States,2020-01-01,2021-10-02
75-84 years,185180,103950,81230,10,06,United States,2020-01-01,2021-10-02
85 years and over,193317,82947,110370,10,06,United States,2020-01-01,2021-10-02
