region,subregion_or_country,type_geo,country_province_or_state,deaths,month,day,date_ihme_prod
EUROPE,Northern Europe,country,Sweden,5759.774,08,24,2020_05_10
EUROPE,Northern Europe,country,United Kingdom,43479.249,08,24,2020_05_10
EUROPE,Southern Europe,country,Italy,35137.386,08,24,2020_05_10
EUROPE,Southern Europe,country,Spain,29580.554,08,24,2020_05_10
EUROPE,Western Europe,country,Belgium,10593.9,08,24,2020_05_10
EUROPE,Western Europe,country,France,31154.649,08,24,2020_05_10
EUROPE,Western Europe,country,Germany,9905.032,08,24,2020_05_10
EUROPE,Western Europe,country,Netherlands,6982.182,08,24,2020_05_10
EUROPE,Western Europe,country,Switzerland,1935.327,08,24,2020_05_10
NORTHERN AMERICA,NORTHERN AMERICA,country,Canada,9944.542,08,24,2020_05_10
NORTHERN AMERICA,NORTHERN AMERICA,country,United States of America,147040.153,08,24,2020_05_10
NORTHERN AMERICA,United States of America,state_province,California,5831.904,08,24,2020_05_10
NORTHERN AMERICA,United States of America,state_province,Connecticut,5262.481,08,24,2020_05_10
NORTHERN AMERICA,United States of America,state_province,Illinois,7830.289,08,24,2020_05_10
NORTHERN AMERICA,United States of America,state_province,Louisiana,3168.547,08,24,2020_05_10
NORTHERN AMERICA,United States of America,state_province,Massachusetts,9629.238,08,24,2020_05_10
NORTHERN AMERICA,United States of America,state_province,Michigan,6621.209,08,24,2020_05_10
NORTHERN AMERICA,United States of America,state_province,New Jersey,14692.379,08,24,2020_05_10
NORTHERN AMERICA,United States of America,state_province,New York,34068.229,08,24,2020_05_10
NORTHERN AMERICA,United States of America,state_province,Pennsylvania,12419.576,08,24,2020_05_10
