age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,360,197,163,10,05,United States,2020-01-01,2022-10-01
1-4 years,192,99,93,10,05,United States,2020-01-01,2022-10-01
5-14 years,413,208,205,10,05,United States,2020-01-01,2022-10-01
15-24 years,2819,1677,1142,10,05,United States,2020-01-01,2022-10-01
25-34 years,11721,7181,4540,10,05,United States,2020-01-01,2022-10-01
35-44 years,28819,17864,10955,10,05,United States,2020-01-01,2022-10-01
45-54 years,68780,43943,24837,10,05,United States,2020-01-01,2022-10-01
55-64 years,152405,93836,58569,10,05,United States,2020-01-01,2022-10-01
65-74 years,240339,142702,97637,10,05,United States,2020-01-01,2022-10-01
75-84 years,273371,153316,120055,10,05,United States,2020-01-01,2022-10-01
85 years and over,276783,121861,154922,10,05,United States,2020-01-01,2022-10-01
