age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,224,124,100,03,02,United States,2020-01-01,2022-02-26
1-4 years,101,52,49,03,02,United States,2020-01-01,2022-02-26
5-14 years,268,142,126,03,02,United States,2020-01-01,2022-02-26
15-24 years,2468,1453,1015,03,02,United States,2020-01-01,2022-02-26
25-34 years,10458,6422,4036,03,02,United States,2020-01-01,2022-02-26
35-44 years,26230,16349,9881,03,02,United States,2020-01-01,2022-02-26
45-54 years,63357,40776,22581,03,02,United States,2020-01-01,2022-02-26
55-64 years,138812,85787,53025,03,02,United States,2020-01-01,2022-02-26
65-74 years,216564,128793,87771,03,02,United States,2020-01-01,2022-02-26
75-84 years,243207,136566,106641,03,02,United States,2020-01-01,2022-02-26
85 years and over,242961,106405,136556,03,02,United States,2020-01-01,2022-02-26
