age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,184,101,83,01,19,United States,2020-01-01,2022-01-15
1-4 years,82,42,40,01,19,United States,2020-01-01,2022-01-15
5-14 years,225,123,102,01,19,United States,2020-01-01,2022-01-15
15-24 years,2210,1310,900,01,19,United States,2020-01-01,2022-01-15
25-34 years,9373,5777,3596,01,19,United States,2020-01-01,2022-01-15
35-44 years,23733,14876,8857,01,19,United States,2020-01-01,2022-01-15
45-54 years,57297,37039,20258,01,19,United States,2020-01-01,2022-01-15
55-64 years,124411,77193,47218,01,19,United States,2020-01-01,2022-01-15
65-74 years,193857,115622,78235,01,19,United States,2020-01-01,2022-01-15
75-84 years,217741,122119,95622,01,19,United States,2020-01-01,2022-01-15
85 years and over,219280,94973,124307,01,19,United States,2020-01-01,2022-01-15
