age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,211,117,94,02,16,United States,2020-01-01,2022-02-12
1-4 years,96,49,47,02,16,United States,2020-01-01,2022-02-12
5-14 years,255,135,120,02,16,United States,2020-01-01,2022-02-12
15-24 years,2392,1411,981,02,16,United States,2020-01-01,2022-02-12
25-34 years,10124,6223,3901,02,16,United States,2020-01-01,2022-02-12
35-44 years,25488,15939,9549,02,16,United States,2020-01-01,2022-02-12
45-54 years,61522,39672,21850,02,16,United States,2020-01-01,2022-02-12
55-64 years,134334,83140,51194,02,16,United States,2020-01-01,2022-02-12
65-74 years,209201,124472,84729,02,16,United States,2020-01-01,2022-02-12
75-84 years,235108,131984,103124,02,16,United States,2020-01-01,2022-02-12
85 years and over,235499,102770,132729,02,16,United States,2020-01-01,2022-02-12
