age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,282,153,129,07,06,United States,2020-01-01,2022-07-02
1-4 years,149,76,73,07,06,United States,2020-01-01,2022-07-02
5-14 years,352,181,171,07,06,United States,2020-01-01,2022-07-02
15-24 years,2669,1576,1093,07,06,United States,2020-01-01,2022-07-02
25-34 years,11264,6911,4353,07,06,United States,2020-01-01,2022-07-02
35-44 years,27891,17337,10554,07,06,United States,2020-01-01,2022-07-02
45-54 years,66945,42907,24038,07,06,United States,2020-01-01,2022-07-02
55-64 years,147806,91227,56579,07,06,United States,2020-01-01,2022-07-02
65-74 years,231480,137606,93874,07,06,United States,2020-01-01,2022-07-02
75-84 years,260729,146423,114306,07,06,United States,2020-01-01,2022-07-02
85 years and over,260565,114474,146091,07,06,United States,2020-01-01,2022-07-02
