age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,167,92,75,12,22,United States,2020-01-01,2021-12-18
1-4 years,75,37,38,12,22,United States,2020-01-01,2021-12-18
5-14 years,206,111,95,12,22,United States,2020-01-01,2021-12-18
15-24 years,2053,1219,834,12,22,United States,2020-01-01,2021-12-18
25-34 years,8768,5380,3388,12,22,United States,2020-01-01,2021-12-18
35-44 years,22216,13927,8289,12,22,United States,2020-01-01,2021-12-18
45-54 years,53773,34777,18996,12,22,United States,2020-01-01,2021-12-18
55-64 years,117172,72764,44408,12,22,United States,2020-01-01,2021-12-18
65-74 years,183916,109880,74036,12,22,United States,2020-01-01,2021-12-18
75-84 years,208025,116730,91295,12,22,United States,2020-01-01,2021-12-18
85 years and over,211403,91332,120071,12,22,United States,2020-01-01,2021-12-18
