age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,412,230,182,01,18,United States,2020-01-01,2023-01-14
1-4 years,225,120,105,01,18,United States,2020-01-01,2023-01-14
5-14 years,440,225,215,01,18,United States,2020-01-01,2023-01-14
15-24 years,2903,1725,1178,01,18,United States,2020-01-01,2023-01-14
25-34 years,12001,7358,4643,01,18,United States,2020-01-01,2023-01-14
35-44 years,29337,18154,11183,01,18,United States,2020-01-01,2023-01-14
45-54 years,69892,44543,25349,01,18,United States,2020-01-01,2023-01-14
55-64 years,155510,95537,59973,01,18,United States,2020-01-01,2023-01-14
65-74 years,247352,146676,100676,01,18,United States,2020-01-01,2023-01-14
75-84 years,284593,159464,125129,01,18,United States,2020-01-01,2023-01-14
85 years and over,292058,128691,163367,01,18,United States,2020-01-01,2023-01-14
