age_group,deaths,month,day
Under 1 year,4,04,30
1-4 years,2,04,30
5-14 years,3,04,30
15-24 years,39,04,30
25-34 years,263,04,30
35-44 years,647,04,30
45-54 years,1776,04,30
55-64 years,4347,04,30
65-74 years,7419,04,30
75-84 years,9416,04,30
85 years and over,10605,04,30
