age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,266,142,124,04,27,United States,2020-01-01,2022-04-23
1-4 years,130,66,64,04,27,United States,2020-01-01,2022-04-23
5-14 years,325,168,157,04,27,United States,2020-01-01,2022-04-23
15-24 years,2626,1553,1073,04,27,United States,2020-01-01,2022-04-23
25-34 years,11073,6800,4273,04,27,United States,2020-01-01,2022-04-23
35-44 years,27559,17132,10427,04,27,United States,2020-01-01,2022-04-23
45-54 years,66269,42485,23784,04,27,United States,2020-01-01,2022-04-23
55-64 years,146188,90214,55974,04,27,United States,2020-01-01,2022-04-23
65-74 years,228679,135982,92697,04,27,United States,2020-01-01,2022-04-23
75-84 years,256352,144054,112298,04,27,United States,2020-01-01,2022-04-23
85 years and over,254499,111825,142674,04,27,United States,2020-01-01,2022-04-23
