age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,300,165,135,07,13,United States,2020-01-01,2022-07-09
1-4 years,153,77,76,07,13,United States,2020-01-01,2022-07-09
5-14 years,360,183,177,07,13,United States,2020-01-01,2022-07-09
15-24 years,2700,1597,1103,07,13,United States,2020-01-01,2022-07-09
25-34 years,11360,6972,4388,07,13,United States,2020-01-01,2022-07-09
35-44 years,28041,17420,10621,07,13,United States,2020-01-01,2022-07-09
45-54 years,67212,43057,24155,07,13,United States,2020-01-01,2022-07-09
55-64 years,148491,91598,56893,07,13,United States,2020-01-01,2022-07-09
65-74 years,232603,138280,94323,07,13,United States,2020-01-01,2022-07-09
75-84 years,262080,147190,114890,07,13,United States,2020-01-01,2022-07-09
85 years and over,262131,115191,146940,07,13,United States,2020-01-01,2022-07-09
