age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,248,134,114,04,06,United States,2020-01-01,2022-04-02
1-4 years,121,63,58,04,06,United States,2020-01-01,2022-04-02
5-14 years,303,160,143,04,06,United States,2020-01-01,2022-04-02
15-24 years,2592,1533,1059,04,06,United States,2020-01-01,2022-04-02
25-34 years,10936,6714,4222,04,06,United States,2020-01-01,2022-04-02
35-44 years,27244,16941,10303,04,06,United States,2020-01-01,2022-04-02
45-54 years,65639,42126,23513,04,06,United States,2020-01-01,2022-04-02
55-64 years,144569,89237,55332,04,06,United States,2020-01-01,2022-04-02
65-74 years,226178,134507,91671,04,06,United States,2020-01-01,2022-04-02
75-84 years,253601,142537,111064,04,06,United States,2020-01-01,2022-04-02
85 years and over,251978,110742,141236,04,06,United States,2020-01-01,2022-04-02
