age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,448,247,201,03,15,United States,2020-01-01,2023-03-11
1-4 years,249,133,116,03,15,United States,2020-01-01,2023-03-11
5-14 years,462,237,225,03,15,United States,2020-01-01,2023-03-11
15-24 years,2953,1755,1198,03,15,United States,2020-01-01,2023-03-11
25-34 years,12152,7449,4703,03,15,United States,2020-01-01,2023-03-11
35-44 years,29692,18357,11335,03,15,United States,2020-01-01,2023-03-11
45-54 years,70550,44919,25631,03,15,United States,2020-01-01,2023-03-11
55-64 years,157407,96574,60833,03,15,United States,2020-01-01,2023-03-11
65-74 years,251683,149139,102544,03,15,United States,2020-01-01,2023-03-11
75-84 years,291536,163262,128274,03,15,United States,2020-01-01,2023-03-11
85 years and over,300963,132643,168320,03,15,United States,2020-01-01,2023-03-11
