age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,159,88,71,12,08,United States,2020-01-01,2021-12-04
1-4 years,71,36,35,12,08,United States,2020-01-01,2021-12-04
5-14 years,202,110,92,12,08,United States,2020-01-01,2021-12-04
15-24 years,1965,1169,796,12,08,United States,2020-01-01,2021-12-04
25-34 years,8455,5186,3269,12,08,United States,2020-01-01,2021-12-04
35-44 years,21435,13462,7973,12,08,United States,2020-01-01,2021-12-04
45-54 years,52124,33715,18409,12,08,United States,2020-01-01,2021-12-04
55-64 years,113768,70685,43083,12,08,United States,2020-01-01,2021-12-04
65-74 years,178912,107034,71878,12,08,United States,2020-01-01,2021-12-04
75-84 years,203422,114174,89248,12,08,United States,2020-01-01,2021-12-04
85 years and over,207755,89664,118091,12,08,United States,2020-01-01,2021-12-04
