age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,137,72,65,10,27,United States,2020-01-01,2021-10-23
1-4 years,65,31,34,10,27,United States,2020-01-01,2021-10-23
5-14 years,177,97,80,10,27,United States,2020-01-01,2021-10-23
15-24 years,1722,1024,698,10,27,United States,2020-01-01,2021-10-23
25-34 years,7473,4599,2874,10,27,United States,2020-01-01,2021-10-23
35-44 years,18954,11947,7007,10,27,United States,2020-01-01,2021-10-23
45-54 years,46812,30408,16404,10,27,United States,2020-01-01,2021-10-23
55-64 years,104088,64811,39277,10,27,United States,2020-01-01,2021-10-23
65-74 years,166424,99885,66539,10,27,United States,2020-01-01,2021-10-23
75-84 years,192375,107942,84433,10,27,United States,2020-01-01,2021-10-23
85 years and over,198648,85434,113214,10,27,United States,2020-01-01,2021-10-23
